cas operacie,cislo na indexe,index prvku,dlzka zoznamu,,,
2.12E-05,45,30,67,,,
1.83E-05,22,53,77,,,
1.80E-05,38,47,78,,,
2.19E-05,28,5,76,,,
1.87E-05,7,30,85,,,
1.77E-05,28,50,71,,,
1.71E-05,12,62,68,,,
1.81E-05,42,26,66,,,
2.91E-05,95,14,75,,,
1.98E-05,5,35,73,,,
1.88E-05,4,26,74,,,
1.80E-05,13,8,71,,,
1.82E-05,41,18,49,,,
1.74E-05,20,5,51,,,
1.80E-05,17,15,44,,,
1.71E-05,18,5,45,,,
1.74E-05,17,15,44,,,
1.79E-05,12,23,48,,,
1.78E-05,32,14,55,,,
1.71E-05,5,3,60,,,
1.68E-05,18,1,53,,,
2.10E-05,91,34,51,,,
0.0001373,22,28,45,,,
1.76E-05,40,16,50,,,
1.90E-05,9,8,48,,,
2.05E-05,22,12,48,,,
1.71E-05,16,37,43,,,
1.76E-05,40,15,43,,,
1.78E-05,24,31,48,,,
1.78E-05,15,19,48,,,
1.71E-05,42,3,48,,,
1.71E-05,35,6,47,,,
3.05E-05,30,39,44,,,
1.73E-05,37,5,42,,,
5.36E-05,10,24,43,,,
1.79E-05,92,28,42,,,
1.73E-05,7,20,33,,,
1.71E-05,11,15,25,,,
1.71E-05,11,15,25,,,
1.72E-05,32,3,26,,,
1.72E-05,7,2,25,,,
2.00E-05,26,20,40,,,
1.73E-05,16,30,40,,,
1.74E-05,91,38,40,,,
1.71E-05,39,20,34,,,
1.75E-05,23,25,38,,,
1.76E-05,40,16,38,,,
1.74E-05,38,2,37,,,
1.74E-05,44,6,36,,,
1.77E-05,18,16,36,,,
1.94E-05,11,25,28,,,
1.77E-05,30,0,21,,,
1.69E-05,39,5,21,,,
1.87E-05,30,7,27,,,
2.15E-05,7,6,31,,,
1.72E-05,4,28,30,,,
1.85E-05,8,9,21,,,
2.03E-05,12,9,27,,,
1.80E-05,33,6,29,,,
1.83E-05,12,12,33,,,
1.87E-05,2,19,34,,,
1.68E-05,38,39,44,,,
3.64E-05,5,25,42,,,
2.94E-05,14,19,40,,,
3.02E-05,33,29,40,,,
1.83E-05,3,11,44,,,
1.76E-05,39,34,42,,,
1.78E-05,34,38,44,,,
1.78E-05,44,19,44,,,
1.71E-05,5,37,45,,,
1.72E-05,16,6,48,,,
1.77E-05,24,20,50,,,
1.71E-05,5,1,57,,,
1.79E-05,8,15,57,,,
2.53E-05,29,13,73,,,
2.29E-05,44,73,75,,,
2.31E-05,18,8,78,,,
1.70E-05,8,84,86,,,
1.84E-05,38,43,86,,,
2.35E-05,34,36,88,,,
