cas operacie,vlozene cislo,priorita,velkost frontu,,,
2.50E-06,23,1336,7,,,
3.00E-06,25,2100,8,,,
2.90E-06,4,6695,9,,,
1.60E-06,34,748,8,,,
1.50E-06,30,546,8,,,
1.40E-06,5,8375,9,,,
1.90E-06,1,5905,10,,,
2.70E-06,34,1983,11,,,
1.50E-06,25,722,10,,,
1.60E-06,35,1841,10,,,
1.60E-06,13,2245,10,,,
1.50E-06,5,79,9,,,
1.60E-06,33,2167,9,,,
1.90E-06,3,2571,10,,,
1.50E-06,21,9980,10,,,
1.50E-06,12,7839,11,,,
1.70E-06,20,3779,9,,,
1.50E-06,19,1808,7,,,
1.60E-06,33,723,7,,,
1.90E-06,16,8933,5,,,
1.60E-06,4,8632,3,,,
1.50E-06,7,7899,2,,,
1.60E-06,17,2072,2,,,
2.00E-06,8,9956,3,,,
1.60E-06,25,2687,2,,,
2.00E-06,16,8099,3,,,
1.50E-06,34,1659,2,,,
1.90E-06,15,5105,3,,,
1.50E-06,31,5067,2,,,
1.60E-06,22,4109,2,,,
1.90E-06,18,5162,3,,,
1.90E-06,20,5955,4,,,
1.80E-06,17,1271,4,,,
1.90E-06,30,9687,4,,,
2.60E-06,31,7179,5,,,
1.60E-06,1,3401,3,,,
1.60E-06,16,1972,4,,,
8.20E-06,12,7457,5,,,
1.60E-06,30,267,3,,,
2.00E-06,12,3269,4,,,
2.00E-06,17,2371,5,,,
2.90E-06,10,6754,6,,,
2.70E-06,28,2977,7,,,
1.50E-06,24,5092,8,,,
1.50E-06,16,7784,9,,,
1.50E-06,30,5642,10,,,
1.50E-06,17,6569,11,,,
1.50E-06,9,4013,12,,,
1.50E-06,21,7656,13,,,
1.70E-06,2,53,13,,,
2.90E-06,20,631,14,,,
2.80E-06,10,1255,15,,,
1.50E-06,12,8874,13,,,
3.00E-06,16,6334,9,,,
1.60E-06,20,7811,7,,,
1.50E-06,5,7472,8,,,
2.70E-06,9,772,8,,,
1.80E-06,16,3947,8,,,
1.50E-06,8,8916,8,,,
1.80E-06,35,1571,9,,,
2.00E-06,2,7739,9,,,
2.70E-06,23,2997,10,,,
9.90E-06,20,2420,10,,,
1.70E-06,6,6647,10,,,
1.50E-06,16,9076,11,,,
2.60E-06,16,4289,12,,,
2.70E-06,33,2467,13,,,
1.40E-06,26,9269,14,,,
2.60E-06,7,2288,15,,,
1.60E-06,17,1722,14,,,
1.50E-06,25,4636,13,,,
2.60E-06,35,3059,12,,,
1.40E-06,8,8017,13,,,
1.50E-06,9,7940,14,,,
1.40E-06,22,9330,13,,,
1.40E-06,29,7961,14,,,
1.60E-06,10,3055,14,,,
1.50E-06,2,1378,15,,,
2.20E-06,20,3246,16,,,
1.50E-06,22,9505,17,,,
1.70E-06,19,2089,15,,,
1.60E-06,14,506,16,,,
2.00E-06,6,4879,15,,,
1.60E-06,10,4698,16,,,
1.80E-06,6,1315,17,,,
3.80E-06,32,782,18,,,
6.31E-05,30,4044,17,,,
2.00E-06,2,2791,18,,,
1.70E-06,8,1929,17,,,
1.70E-06,6,216,18,,,
1.80E-06,6,1765,18,,,
3.20E-06,17,3173,19,,,
1.70E-06,26,2490,18,,,
1.70E-06,26,2356,19,,,
1.60E-06,17,8713,9,,,
2.50E-06,21,2343,8,,,
1.60E-06,17,2321,6,,,
1.50E-06,33,84,6,,,
1.50E-06,17,474,6,,,
1.70E-06,21,2920,4,,,
2.40E-06,32,2865,5,,,
2.70E-06,7,5579,6,,,
1.80E-06,22,1305,6,,,
2.90E-06,15,7456,7,,,
1.50E-06,35,1236,6,,,
1.90E-06,32,5346,7,,,
1.60E-06,30,9923,6,,,
1.40E-06,2,9053,6,,,
1.40E-06,13,8788,7,,,
1.40E-06,22,9243,8,,,
1.40E-06,16,8429,9,,,
1.80E-06,20,2537,8,,,
2.50E-06,4,6394,5,,,
2.50E-06,18,4499,6,,,
1.70E-06,19,3780,6,,,
1.80E-06,2,3608,6,,,
1.80E-06,34,3941,6,,,
1.50E-06,34,2687,5,,,
1.90E-06,35,5409,6,,,
2.00E-06,20,6504,6,,,
1.70E-06,33,2259,6,,,
1.50E-06,31,5282,3,,,
1.60E-06,22,8344,2,,,
1.50E-06,32,4686,3,,,
1.60E-06,30,1807,4,,,
2.00E-06,11,9738,3,,,
1.50E-06,28,2154,3,,,
1.70E-06,30,1752,4,,,
2.70E-06,13,3761,5,,,
1.60E-06,33,1434,5,,,
2.60E-06,9,3659,6,,,
1.50E-06,31,4439,7,,,
1.40E-06,34,9772,7,,,
1.60E-06,13,6016,3,,,
2.00E-06,19,9418,4,,,
1.60E-06,17,6640,2,,,
2.00E-06,29,6673,3,,,
1.70E-06,20,3791,4,,,
2.50E-06,9,2615,5,,,
2.50E-06,5,1702,6,,,
1.90E-06,6,3498,6,,,
1.90E-06,3,6982,3,,,
1.70E-06,24,6629,4,,,
1.90E-06,31,8397,4,,,
1.70E-06,10,2315,4,,,
1.50E-06,24,7695,2,,,
1.50E-06,17,5272,3,,,
1.70E-06,13,3026,4,,,
2.70E-06,31,5639,5,,,
1.60E-06,35,2366,4,,,
1.60E-06,6,4284,3,,,
1.50E-06,19,1091,2,,,
1.90E-06,13,2159,3,,,
1.80E-06,21,4674,4,,,
2.80E-06,32,9074,5,,,
1.40E-06,13,9506,4,,,
1.60E-06,22,1381,2,,,
1.90E-06,34,2694,3,,,
1.50E-06,20,651,2,,,
1.60E-06,7,2308,2,,,
1.50E-06,15,4387,2,,,
1.50E-06,28,8296,2,,,
1.60E-06,26,5479,2,,,
1.90E-06,20,8157,3,,,
1.60E-06,7,5294,4,,,
2.40E-06,15,448,5,,,
1.60E-06,35,3530,5,,,
2.60E-06,30,2187,6,,,
1.50E-06,30,8281,6,,,
1.40E-06,26,9903,6,,,
1.30E-06,8,6250,7,,,
2.70E-06,16,5743,6,,,
2.60E-06,3,1790,7,,,
3.10E-06,7,3475,8,,,
2.80E-06,22,1989,9,,,
1.70E-06,23,3711,5,,,
2.80E-06,33,6871,6,,,
2.70E-06,15,5414,7,,,
1.60E-06,27,6070,6,,,
1.70E-06,3,4987,7,,,
1.90E-06,9,6483,7,,,
2.90E-06,19,7838,8,,,
1.80E-06,26,676,8,,,
1.40E-06,30,8707,9,,,
1.70E-06,9,5844,9,,,
1.70E-06,14,4511,9,,,
2.60E-06,1,1615,10,,,
1.40E-06,5,1161,8,,,
1.50E-06,24,1022,9,,,
1.50E-06,11,7759,10,,,
2.00E-06,23,1992,11,,,
2.90E-06,34,2489,12,,,
2.80E-06,22,2232,13,,,
1.40E-06,23,6042,12,,,
1.50E-06,17,1292,13,,,
2.60E-06,18,5842,11,,,
1.40E-06,33,7857,12,,,
2.90E-06,32,6352,13,,,
1.60E-06,28,3322,12,,,
1.60E-06,2,1634,13,,,
1.50E-06,28,9542,10,,,
1.70E-06,17,1830,10,,,
2.80E-06,20,4333,11,,,
2.70E-06,23,2709,12,,,
2.90E-06,22,6181,13,,,
2.50E-06,29,3861,10,,,
2.90E-06,17,5632,11,,,
2.40E-06,6,598,12,,,
2.70E-06,8,5105,13,,,
1.90E-06,30,4106,13,,,
1.40E-06,5,9589,14,,,
1.70E-06,29,3492,14,,,
2.70E-06,28,3578,15,,,
1.50E-06,17,8816,15,,,
1.40E-06,23,6737,16,,,
1.40E-06,14,5671,16,,,
2.40E-06,14,2671,15,,,
1.70E-06,24,5112,15,,,
2.80E-06,29,6608,16,,,
1.50E-06,20,9500,15,,,
1.40E-06,8,9468,16,,,
1.50E-06,28,1202,17,,,
2.60E-06,2,9406,18,,,
2.00E-06,29,4093,19,,,
2.80E-06,10,1629,20,,,
1.40E-06,31,8111,21,,,
1.40E-06,17,6989,21,,,
1.40E-06,24,9656,22,,,
2.50E-06,28,7963,23,,,
1.40E-06,11,9767,23,,,
1.60E-06,33,714,24,,,
1.50E-06,18,6800,25,,,
1.50E-06,4,9535,26,,,
1.80E-06,1,3447,23,,,
1.30E-06,27,7417,24,,,
1.40E-06,21,7832,25,,,
1.70E-06,32,5356,25,,,
1.50E-06,4,8539,23,,,
2.70E-06,32,5818,23,,,
1.70E-06,28,7349,23,,,
1.70E-06,33,2986,23,,,
2.70E-06,15,7613,24,,,
1.70E-06,1,3126,24,,,
1.50E-06,19,9449,24,,,
1.60E-06,19,398,23,,,
1.90E-06,11,4810,24,,,
1.90E-06,24,6931,25,,,
1.50E-06,5,6385,24,,,
2.70E-06,27,1483,20,,,
3.00E-06,20,1906,21,,,
3.90E-06,16,593,22,,,
4.20E-06,13,1378,23,,,
2.50E-06,4,8658,21,,,
2.80E-06,17,5452,20,,,
2.10E-06,32,277,18,,,
2.70E-06,2,3565,19,,,
2.60E-06,5,7763,19,,,
2.40E-06,12,3822,20,,,
3.30E-06,9,7937,21,,,
2.10E-06,34,4363,21,,,
3.00E-06,27,5970,22,,,
1.70E-06,31,3450,21,,,
1.70E-06,28,2047,22,,,
1.80E-06,28,50,22,,,
1.60E-06,27,9606,22,,,
2.40E-06,16,2034,23,,,
2.60E-06,16,1869,20,,,
2.80E-06,3,7574,21,,,
1.70E-06,12,7314,19,,,
2.60E-06,20,2806,18,,,
1.80E-06,11,1741,18,,,
2.90E-06,21,3692,19,,,
