cas operacie,vybrane cislo,velkost frontu,,
1.30E-06,17,5,,
9.10E-06,26,4,,
1.20E-06,22,3,,
1.40E-06,32,5,,
1.20E-06,22,6,,
1.30E-06,21,5,,
1.30E-06,35,6,,
1.60E-06,32,5,,
1.30E-06,7,5,,
2.43E-05,15,8,,
1.40E-06,16,7,,
1.20E-06,20,7,,
1.30E-06,13,6,,
1.30E-06,2,5,,
9.20E-06,22,4,,
1.30E-06,18,5,,
1.30E-06,19,5,,
1.40E-06,2,5,,
1.30E-06,34,5,,
1.30E-06,4,4,,
1.30E-06,34,5,,
1.30E-06,35,5,,
1.30E-06,33,5,,
1.30E-06,20,4,,
1.30E-06,22,3,,
5.70E-06,30,2,,
1.30E-06,31,2,,
1.10E-06,30,1,,
1.30E-06,30,3,,
1.30E-06,32,2,,
1.20E-06,22,2,,
1.30E-06,30,4,,
1.30E-06,33,6,,
1.30E-06,28,6,,
1.30E-06,9,5,,
9.30E-06,13,4,,
1.20E-06,31,3,,
1.20E-06,11,2,,
1.20E-06,13,3,,
1.20E-06,19,2,,
1.20E-06,34,1,,
1.30E-06,5,5,,
1.20E-06,9,5,,
1.30E-06,6,4,,
1.30E-06,20,3,,
5.80E-06,17,2,,
1.20E-06,24,3,,
1.20E-06,29,3,,
1.20E-06,10,3,,
1.20E-06,3,2,,
1.20E-06,31,1,,
1.30E-06,13,4,,
1.30E-06,17,3,,
1.30E-06,35,3,,
1.20E-06,31,2,,
1.20E-06,6,2,,
4.00E-06,24,1,,
1.30E-06,19,4,,
1.30E-06,13,3,,
1.30E-06,21,3,,
5.90E-06,32,2,,
1.20E-06,13,1,,
1.20E-06,22,2,,
1.20E-06,34,1,,
1.20E-06,20,1,,
1.30E-06,7,1,,
1.20E-06,15,1,,
1.20E-06,28,1,,
1.30E-06,15,4,,
1.40E-06,30,5,,
1.30E-06,35,5,,
1.30E-06,7,6,,
1.24E-05,26,5,,
1.50E-06,3,8,,
1.30E-06,22,7,,
1.30E-06,7,6,,
1.18E-05,16,5,,
1.20E-06,8,4,,
1.40E-06,23,6,,
1.20E-06,15,5,,
1.30E-06,3,6,,
1.30E-06,27,7,,
1.20E-06,26,8,,
1.30E-06,9,8,,
1.30E-06,1,9,,
1.30E-06,14,8,,
1.30E-06,9,7,,
1.30E-06,24,12,,
1.30E-06,5,11,,
1.20E-06,17,12,,
1.20E-06,23,11,,
2.46E-05,22,10,,
1.30E-06,34,12,,
1.30E-06,18,11,,
1.30E-06,2,12,,
1.30E-06,28,11,,
1.30E-06,23,10,,
2.15E-05,32,9,,
1.30E-06,33,9,,
1.30E-06,17,12,,
1.30E-06,23,11,,
1.30E-06,20,10,,
2.16E-05,22,9,,
1.30E-06,6,12,,
1.30E-06,29,13,,
1.30E-06,29,14,,
1.30E-06,28,15,,
1.30E-06,30,15,,
3.47E-05,8,14,,
1.30E-06,14,14,,
1.30E-06,24,15,,
1.30E-06,17,14,,
1.30E-06,28,20,,
1.40E-06,10,22,,
1.30E-06,33,25,,
1.20E-06,29,24,,
6.09E-05,14,23,,
1.30E-06,29,22,,
1.30E-06,1,24,,
1.20E-06,32,24,,
1.30E-06,23,23,,
1.30E-06,18,22,,
5.69E-05,17,22,,
1.40E-06,32,22,,
1.20E-06,28,22,,
1.30E-06,33,23,,
1.20E-06,1,23,,
1.20E-06,27,23,,
1.20E-06,15,22,,
1.20E-06,19,24,,
1.30E-06,11,23,,
1.20E-06,5,23,,
1.30E-06,24,22,,
0.0002773,11,21,,
1.90E-06,21,20,,
2.30E-06,19,19,,
2.50E-06,16,22,,
1.70E-06,13,21,,
2.10E-06,27,20,,
9.86E-05,20,20,,
1.80E-06,33,19,,
1.90E-06,17,19,,
1.90E-06,28,18,,
1.80E-06,31,17,,
2.00E-06,32,18,,
1.60E-06,2,20,,
1.30E-06,12,21,,
1.30E-06,34,20,,
1.30E-06,28,21,,
1.30E-06,28,21,,
1.30E-06,16,22,,
1.40E-06,31,21,,
1.40E-06,27,20,,
5.12E-05,5,19,,
1.40E-06,16,20,,
1.40E-06,3,19,,
1.40E-06,9,18,,
1.40E-06,12,18,,
4.41E-05,20,17,,
1.40E-06,20,17,,
1.50E-06,21,24,,
1.40E-06,11,23,,
1.40E-06,10,22,,
5.48E-05,14,21,,
1.30E-06,21,20,,
1.30E-06,35,20,,
1.30E-06,3,19,,
1.30E-06,13,19,,
6.45E-05,10,18,,
1.50E-06,29,18,,
1.80E-06,31,19,,
1.40E-06,30,18,,
1.30E-06,17,18,,
1.30E-06,19,17,,
4.09E-05,4,16,,
1.40E-06,4,15,,
1.30E-06,30,15,,
1.30E-06,8,15,,
1.30E-06,17,14,,
4.66E-05,2,13,,
1.40E-06,11,13,,
1.30E-06,19,12,,
1.30E-06,30,12,,
1.30E-06,33,12,,
1.30E-06,22,15,,
1.30E-06,28,16,,
1.40E-06,6,18,,
1.40E-06,34,18,,
1.30E-06,13,19,,
1.30E-06,31,21,,
1.30E-06,35,20,,
1.30E-06,14,19,,
4.64E-05,6,18,,
1.40E-06,17,18,,
1.30E-06,32,20,,
2.00E-06,10,19,,
2.10E-06,26,19,,
1.80E-06,32,20,,
1.80E-06,13,19,,
1.70E-06,12,18,,
4.73E-05,23,18,,
1.40E-06,4,17,,
1.40E-06,17,17,,
1.30E-06,32,16,,
1.40E-06,11,16,,
1.30E-06,33,17,,
1.30E-06,26,17,,
1.40E-06,31,18,,
1.40E-06,34,19,,
1.40E-06,4,19,,
1.40E-06,13,18,,
1.30E-06,28,18,,
1.40E-06,35,17,,
1.30E-06,32,19,,
1.30E-06,20,19,,
1.40E-06,25,18,,
4.34E-05,26,17,,
1.30E-06,3,18,,
1.30E-06,32,19,,
1.30E-06,29,21,,
1.40E-06,4,22,,
1.40E-06,25,21,,
1.40E-06,19,21,,
1.40E-06,13,21,,
1.30E-06,33,23,,
1.40E-06,4,22,,
1.30E-06,11,21,,
1.30E-06,13,22,,
5.60E-05,15,21,,
1.30E-06,23,20,,
1.40E-06,21,20,,
1.40E-06,17,19,,
1.30E-06,30,18,,
4.46E-05,15,17,,
1.30E-06,8,17,,
1.40E-06,4,16,,
1.40E-06,2,19,,
1.40E-06,11,19,,
1.30E-06,25,18,,
1.40E-06,1,18,,
1.30E-06,8,17,,
1.30E-06,31,17,,
1.40E-06,33,17,,
4.51E-05,8,16,,
1.30E-06,22,16,,
1.30E-06,20,15,,
1.40E-06,3,16,,
1.30E-06,24,18,,
1.40E-06,31,19,,
1.30E-06,27,18,,
1.30E-06,6,17,,
1.30E-06,19,17,,
1.40E-06,3,18,,
4.29E-05,23,17,,
1.40E-06,29,17,,
1.30E-06,16,17,,
1.70E-06,2,18,,
1.30E-06,35,19,,
1.30E-06,2,19,,
1.40E-06,9,18,,
1.30E-06,35,17,,
1.40E-06,9,19,,
1.40E-06,30,19,,
1.40E-06,21,19,,
1.30E-06,19,20,,
1.30E-06,19,20,,
1.30E-06,34,20,,
1.50E-06,24,22,,
1.40E-06,30,22,,
5.42E-05,22,21,,
1.30E-06,10,20,,
1.30E-06,31,19,,
1.40E-06,19,18,,
4.33E-05,17,17,,
1.30E-06,25,20,,
1.30E-06,15,19,,
1.30E-06,31,18,,
4.43E-05,26,18,,
1.30E-06,14,21,,
1.30E-06,34,20,,
1.20E-06,18,19,,
4.36E-05,6,18,,
1.30E-06,10,18,,
1.30E-06,34,19,,
1.30E-06,17,21,,
1.40E-06,23,25,,
1.30E-06,3,25,,
1.30E-06,21,25,,
1.40E-06,8,25,,
1.30E-06,35,24,,
1.30E-06,15,27,,
1.30E-06,28,28,,
1.30E-06,21,28,,
1.30E-06,18,28,,
7.00E-05,9,27,,
1.30E-06,14,29,,
1.40E-06,3,28,,
1.30E-06,35,27,,
6.66E-05,32,26,,
1.30E-06,14,25,,
1.30E-06,17,24,,
1.20E-06,7,23,,
5.46E-05,10,22,,
1.30E-06,17,25,,
1.30E-06,23,25,,
1.30E-06,18,26,,
1.30E-06,15,25,,
0.0001111,1,24,,
2.60E-06,26,23,,
3.50E-06,1,25,,
2.60E-06,17,24,,
2.30E-06,13,23,,
9.57E-05,6,22,,
2.10E-06,22,21,,
5.40E-06,27,22,,
1.80E-06,7,21,,
2.60E-06,13,20,,
2.80E-06,3,20,,
6.95E-05,35,19,,
1.80E-06,20,19,,
1.60E-06,18,19,,
1.70E-06,7,20,,
1.60E-06,9,19,,
1.50E-06,12,18,,
1.40E-06,2,20,,
1.40E-06,1,19,,
1.30E-06,29,18,,
4.37E-05,31,17,,
1.30E-06,25,16,,
1.30E-06,4,15,,
1.40E-06,22,19,,
1.30E-06,23,18,,
1.30E-06,33,18,,
1.30E-06,5,17,,
1.30E-06,9,18,,
1.30E-06,29,17,,
1.30E-06,6,17,,
1.40E-06,23,20,,
1.30E-06,22,19,,
1.30E-06,11,19,,
1.40E-06,22,19,,
4.53E-05,29,18,,
1.30E-06,11,18,,
