cas operacie,vlozene cislo,index prvku,dlzka zoznamu,
3e-07,43,52,53,
3e-07,32,52,53,
4e-07,4,54,55,
3e-07,10,54,55,
3e-07,20,55,56,
3e-07,23,54,55,
3e-07,37,56,57,
3e-07,45,57,58,
2e-07,28,56,57,
3e-07,28,55,56,
3e-07,31,59,60,
3e-07,45,60,61,
1.1e-06,26,61,62,
3e-07,31,62,63,
4e-07,27,65,66,
2e-07,9,57,58,
3e-07,16,57,58,
2e-07,36,59,60,
3e-07,28,61,62,
3e-07,3,64,65,
3e-07,13,61,62,
3e-07,3,64,65,
3e-07,26,66,67,
3e-07,42,66,67,
3e-07,2,64,65,
3e-07,10,65,66,
3e-07,27,66,67,
3e-07,40,63,64,
3e-07,33,63,64,
3e-07,42,64,65,
3e-07,44,61,62,
3e-07,34,62,63,
2e-07,37,62,63,
3e-07,19,62,63,
3e-07,26,62,63,
2e-07,40,58,59,
3e-07,34,58,59,
3e-07,40,55,56,
3e-07,38,52,53,
3e-07,28,56,57,
2e-07,40,58,59,
3e-07,32,59,60,
3e-07,30,58,59,
3e-07,1,56,57,
2e-07,42,55,56,
3e-07,9,53,54,
3e-07,17,53,54,
3e-07,19,54,55,
2e-07,4,52,53,
3e-07,44,53,54,
3e-07,37,54,55,
3e-07,24,56,57,
2e-07,44,53,54,
3e-07,43,51,52,
3e-07,26,52,53,
3e-07,40,48,49,
3e-07,36,48,49,
3e-07,30,49,50,
3e-07,30,52,53,
2e-07,18,52,53,
3e-07,3,54,55,
3e-07,31,52,53,
2e-07,14,51,52,
3e-07,14,52,53,
3e-07,30,53,54,
3e-07,39,53,54,
3e-07,28,55,56,
2e-07,10,55,56,
3e-07,8,56,57,
2e-07,1,52,53,
2e-07,34,52,53,
4e-07,12,50,51,
2e-07,3,51,52,
3e-07,8,49,50,
3e-07,28,50,51,
3e-07,10,52,53,
3e-07,25,53,54,
3e-07,13,51,52,
3e-07,27,52,53,
3e-07,9,53,54,
2e-07,34,53,54,
3e-07,22,54,55,
2e-07,4,53,54,
3e-07,25,53,54,
2e-07,8,54,55,
3e-07,4,55,56,
3e-07,8,53,54,
3e-07,18,43,44,
3e-07,19,43,44,
3e-07,19,44,45,
3e-07,22,40,41,
3e-07,9,41,42,
3e-07,29,40,41,
3e-07,40,40,41,
3e-07,23,38,39,
3e-07,18,36,37,
3e-07,12,31,32,
3e-07,30,32,33,
5e-07,18,29,30,
3e-07,31,25,26,
4e-07,25,26,27,
4e-07,6,25,26,
4e-07,11,33,34,
3e-07,17,32,33,
4e-07,36,33,34,
4e-07,2,34,35,
5e-07,40,31,32,
3e-07,29,27,28,
3e-07,2,25,26,
3e-07,38,27,28,
3e-07,20,23,24,
3e-07,40,28,29,
3e-07,12,30,31,
3e-07,4,30,31,
3e-07,16,30,31,
3e-07,42,32,33,
3e-07,17,29,30,
3e-07,35,32,33,
3e-07,3,37,38,
2e-07,14,37,38,
2e-07,2,36,37,
3e-07,45,38,39,
2e-07,5,39,40,
3e-07,27,43,44,
3e-07,30,45,46,
2e-07,16,48,49,
3e-07,33,49,50,
