cas operacie,index prvku,dlzka zoznamu,
3e-07,8,23,
3e-07,15,22,
3e-07,13,21,
2e-07,3,12,
3e-07,0,16,
2e-07,0,12,
3e-07,6,9,
3e-07,2,10,
3e-07,0,10,
3e-07,0,11,
3e-07,9,16,
4e-07,13,15,
3e-07,9,17,
3e-07,12,18,
3e-07,11,18,
3e-07,14,17,
3e-07,12,17,
2e-07,0,18,
3e-07,6,17,
3e-07,15,16,
3e-07,12,20,
3e-07,12,19,
2e-07,8,19,
3e-07,6,15,
3e-07,14,17,
3e-07,5,15,
3e-07,10,13,
2e-07,2,11,
3e-07,9,11,
3e-07,3,10,
3e-07,6,11,
3e-07,8,16,
3e-07,15,17,
2e-07,1,14,
3e-07,4,13,
3e-07,10,11,
2e-07,0,7,
2e-07,7,8,
3e-07,4,6,
2e-07,3,6,
2e-07,0,3,
2e-07,0,1,
2e-07,0,1,
2e-07,0,1,
3e-07,2,3,
3e-07,1,2,
3e-07,0,0,
2e-07,0,0,
2e-07,0,1,
2e-07,0,1,
2e-07,1,7,
3e-07,2,7,
3e-07,1,8,
3e-07,2,7,
3e-07,3,4,
3e-07,1,3,
3e-07,1,2,
2e-07,0,0,
2e-07,0,0,
2e-07,0,1,
3e-07,0,1,
2e-07,0,0,
3e-07,0,3,
2e-07,0,1,
3e-07,6,8,
3e-07,3,11,
2e-07,4,10,
3e-07,1,10,
2e-07,0,9,
3e-07,2,5,
3e-07,2,4,
2e-07,1,7,
3e-07,1,5,
3e-07,6,7,
3e-07,1,6,
3e-07,2,6,
3e-07,2,6,
3e-07,2,7,
2e-07,2,4,
2e-07,1,3,
3e-07,0,1,
3e-07,1,3,
3e-07,1,2,
3e-07,3,5,
3e-07,4,7,
3e-07,5,6,
3e-07,2,6,
3e-07,1,5,
2e-07,5,6,
2e-07,1,6,
3e-07,8,9,
3e-07,5,10,
3e-07,6,11,
3e-07,10,11,
3e-07,3,21,
2e-07,1,20,
3e-07,10,19,
3e-07,2,18,
3e-07,15,17,
4e-07,15,18,
3e-07,6,20,
4e-07,18,19,
2e-07,7,17,
2e-07,3,17,
3e-07,1,18,
2.5e-06,9,33,
6e-07,4,34,
4e-07,21,33,
5e-07,34,36,
4e-07,12,35,
5e-07,15,34,
4e-07,29,32,
4e-07,19,31,
3e-07,12,30,
4e-07,28,29,
3e-07,3,31,
4e-07,18,28,
4e-07,16,34,
3e-07,14,33,
3e-07,16,33,
3e-07,18,31,
2e-07,3,29,
3e-07,2,27,
4e-07,19,25,
2.3e-06,22,24,
3e-07,17,25,
3e-07,1,24,
3e-07,2,23,
2e-07,8,21,
3e-07,15,21,
2e-07,5,22,
3e-07,15,19,
3e-07,16,17,
2e-07,6,16,
