cas operacie,vlozene cislo,index prvku,dlzka zoznamu,
3e-07,19,19,46,
2e-07,2,2,42,
3e-07,17,17,41,
2e-07,5,5,38,
1e-07,3,3,40,
3e-07,18,18,36,
1e-07,8,8,35,
2e-07,5,5,41,
1e-07,2,2,35,
1e-07,1,1,36,
1e-07,2,2,35,
1e-07,5,5,34,
4e-07,27,27,28,
2e-07,6,6,34,
2e-07,8,8,33,
2e-07,4,4,26,
1e-07,7,7,26,
2e-07,3,3,25,
1e-07,5,5,23,
2e-07,4,4,17,
2e-07,5,5,16,
2e-07,18,18,24,
1e-07,2,2,25,
1e-07,2,2,22,
2e-07,6,6,22,
1e-07,1,1,20,
2e-07,13,13,19,
2e-07,17,17,21,
2e-07,12,12,19,
2e-07,15,15,18,
2e-07,7,7,17,
1e-07,9,9,21,
2e-07,14,14,22,
1e-07,3,3,18,
2e-07,6,6,16,
3e-07,14,14,17,
2e-07,4,4,14,
1e-07,1,1,15,
1e-07,1,1,14,
2e-07,12,12,15,
2e-07,0,0,18,
1e-07,4,4,21,
1e-07,2,2,16,
2e-07,9,9,12,
2e-07,6,6,9,
2e-07,3,3,11,
1e-07,8,8,11,
2e-07,8,8,11,
2e-07,7,7,9,
2e-07,8,8,10,
1e-07,0,0,10,
2e-07,10,10,12,
2e-07,2,2,14,
1e-07,2,2,9,
2e-07,7,7,9,
2e-07,11,11,13,
1e-07,7,7,10,
1e-07,2,2,9,
1e-07,1,1,10,
1e-07,2,2,13,
1e-07,4,4,12,
2e-07,0,0,15,
1e-07,1,1,12,
2e-07,1,1,13,
2e-07,6,6,16,
1e-07,1,1,19,
1e-07,10,10,18,
2e-07,7,7,19,
1e-07,4,4,21,
2e-07,8,8,20,
3e-07,13,13,20,
2e-07,7,7,18,
2e-07,5,5,18,
1e-07,5,5,20,
3e-07,13,13,24,
1e-07,8,8,27,
2e-07,6,6,31,
1e-07,0,0,30,
2e-07,4,4,25,
2e-07,4,4,25,
3e-07,8,8,41,
3e-07,18,18,42,
2e-07,10,10,36,
2e-07,7,7,38,
1e-07,1,1,35,
3e-07,9,9,36,
3e-07,15,15,30,
1e-07,3,3,32,
3e-07,26,26,31,
1e-07,7,7,28,
2e-07,9,9,28,
3e-07,15,15,27,
3e-07,21,21,30,
2e-07,7,7,37,
3e-07,27,27,31,
2e-07,10,10,23,
1e-07,0,0,25,
3e-07,11,11,25,
2e-07,15,15,24,
3e-07,20,20,28,
1e-07,5,5,33,
2e-07,3,3,34,
2e-07,13,13,34,
3e-07,16,16,47,
3e-07,13,13,47,
3e-07,11,11,49,
2e-07,9,9,48,
2e-07,12,12,49,
1e-07,9,9,50,
2e-07,9,9,49,
2e-07,14,14,53,
1e-07,6,6,52,
1e-07,2,2,51,
2e-07,12,12,50,
4e-07,41,41,50,
5e-07,46,46,56,
2e-07,6,6,56,
2e-07,9,9,42,
2e-07,12,12,40,
2e-07,7,7,39,
1e-07,10,10,33,
3e-07,28,28,31,
2e-07,0,0,32,
1e-07,0,0,27,
2e-07,6,6,30,
2e-07,13,13,39,
2e-07,15,15,39,
4e-07,33,33,42,
3e-07,29,29,53,
2e-07,12,12,51,
2e-07,3,3,53,
1e-07,0,0,53,
4e-07,36,36,58,
3e-07,38,38,57,
4e-07,30,30,57,
2e-07,7,7,55,
1e-07,1,1,58,
2e-07,15,15,55,
2e-07,10,10,59,
2e-07,12,12,53,
1e-07,0,0,54,
4e-07,37,37,52,
1e-07,1,1,53,
4e-07,32,32,49,
4e-07,30,30,48,
4e-07,27,27,44,
3e-07,27,27,46,
3e-07,28,28,47,
2e-07,9,9,47,
2e-07,11,11,47,
1e-07,0,0,46,
1e-07,4,4,50,
1e-07,3,3,49,
3e-07,31,31,49,
2e-07,5,5,47,
2e-07,4,4,47,
2e-07,11,11,53,
5e-07,48,48,52,
4e-07,48,48,52,
2e-07,17,17,52,
4e-07,47,47,50,
5e-07,45,45,47,
2e-07,6,6,45,
2e-07,15,15,41,
