cas operacie,cislo,index prvku,dlzka zoznamu,
1e-07,91,7,9,
1e-07,93,2,8,
2e-07,95,9,11,
2e-07,95,4,16,
2e-07,92,18,20,
3e-07,92,13,23,
1e-07,95,1,43,
1e-07,93,8,37,
2e-07,93,7,37,
3e-07,95,27,37,
3e-07,92,22,30,
3e-07,95,19,33,
4e-07,95,29,34,
3e-07,93,26,32,
3e-07,91,25,32,
3e-07,95,14,33,
3e-07,91,25,38,
2e-07,93,5,36,
1e-07,91,0,41,
2e-07,92,4,44,
4e-07,93,40,54,
3e-07,95,34,53,
1e-07,95,6,57,
3e-07,93,17,62,
1e-07,93,1,70,
3e-07,95,17,69,
2e-07,92,10,64,
5e-07,95,57,65,
2e-07,91,15,72,
3e-07,93,28,78,
4e-07,95,41,76,
4e-07,94,36,75,
3e-07,94,27,70,
5e-07,91,51,79,
4e-07,91,48,81,
5e-07,94,53,83,
2e-07,91,12,93,
6e-07,93,62,94,
2e-07,91,13,92,
3e-07,94,24,91,
5e-07,92,51,82,
2e-07,95,11,78,
2e-07,94,2,74,
5e-07,95,49,68,
5e-07,94,53,68,
6e-07,92,64,73,
3e-07,94,26,72,
6e-07,91,66,71,
2e-07,95,20,71,
4e-07,94,47,54,
4e-07,92,41,53,
2e-07,92,11,52,
2e-07,94,9,58,
2e-07,92,15,64,
5e-07,93,61,67,
2e-07,95,22,68,
2e-07,91,22,71,
4e-07,93,37,70,
6e-07,95,67,75,
6e-07,95,61,68,
4e-07,94,48,68,
4e-07,93,34,59,
4e-07,93,36,63,
1e-07,95,4,61,
3e-07,93,29,61,
3e-07,93,16,60,
3e-07,95,32,61,
4e-07,92,36,50,
1e-07,95,7,53,
1e-07,93,8,49,
5e-07,93,48,50,
5e-07,95,36,55,
4e-07,95,34,56,
2e-07,93,7,61,
4e-07,94,36,58,
3e-07,94,22,60,
4e-07,94,37,52,
4e-07,93,41,54,
3e-07,94,16,56,
2e-07,94,1,58,
3e-07,92,28,61,
2e-07,93,13,66,
5e-07,95,51,58,
6e-07,95,53,58,
3e-07,92,19,60,
5e-07,92,41,61,
4e-07,93,26,61,
3e-07,95,16,66,
5e-07,95,44,71,
3e-07,93,33,71,
4e-07,94,43,74,
2e-07,91,1,83,
6e-07,94,70,87,
5e-07,91,60,81,
2e-07,95,5,81,
7e-07,93,72,81,
3e-07,92,28,59,
5e-07,93,42,61,
5e-07,92,60,72,
4e-07,91,53,74,
4e-07,92,43,78,
2e-07,92,10,78,
2e-07,91,6,78,
4e-07,91,38,77,
2e-07,94,9,71,
6e-07,93,63,71,
4e-07,95,39,86,
4e-07,95,45,91,
5e-07,92,52,90,
6e-07,95,58,89,
5e-07,94,56,86,
5e-07,95,57,78,
2e-07,93,2,77,
5e-07,91,50,72,
4e-07,95,42,75,
3e-07,91,20,76,
4e-07,92,41,73,
5e-07,93,53,72,
3e-07,92,19,76,
6e-07,93,64,69,
3e-07,92,19,73,
5e-07,93,44,85,
7e-07,95,82,88,
5e-07,91,54,85,
5e-07,92,52,78,
6e-07,91,79,83,
