cas operacie,vlozene cislo,priorita,velkost frontu,,,,,,,,
4.67E-05,22,6697,29,,,,,0.0000384,1,6598,2
3.87E-05,15,6446,30,,,,,0.0000498,5,3187,2
3.90E-05,3,9883,31,,,,,0.0000581,21,3079,2
5.01E-05,35,6389,27,,,,,0.0000525,2,6672,2
3.86E-05,27,2267,27,,,,,0.0000505,34,7752,2
3.89E-05,19,4978,28,,,,,0.0000391,29,4430,2
8.17E-05,15,8813,27,,,,,0.0000407,6,2418,2
5.81E-05,4,2447,27,,,,,0.0000389,31,6840,2
5.58E-05,35,5846,28,,,,,0.0000399,33,2091,2
5.95E-05,27,4998,27,,,,,0.0000392,34,2389,2
5.58E-05,24,8220,28,,,,,0.0000389,33,404,2
5.59E-05,29,4601,29,,,,,0.0000389,26,9365,2
0.0001063,26,1427,30,,,,,0.0000389,24,3677,2
0.000106,26,658,31,,,,,0.000043,25,6421,2
3.90E-05,2,671,31,,,,,0.0000629,30,5040,2
0.0002246,1,929,32,,,,,0.000039,23,9954,2
6.44E-05,7,7612,32,,,,,0.000039,6,7109,2
0.0001483,20,6779,33,,,,,0.0000389,29,799,2
5.94E-05,26,2817,34,,,,,0.0000388,23,2183,2
6.12E-05,13,2894,35,,,,,0.0000395,21,5971,2
5.75E-05,34,1068,33,,,,,0.0000393,30,5751,2
7.23E-05,19,9377,32,,,,,0.000039,32,9954,2
4.03E-05,20,6964,31,,,,,0.000039,12,9360,2
4.80E-05,9,2720,31,,,,,0.0000392,12,1967,2
4.85E-05,21,6026,32,,,,,0.0000391,22,318,2
5.40E-05,26,5897,32,,,,,0.0000529,8,3712,2
5.44E-05,9,4129,33,,,,,0.000039,32,9996,2
4.73E-05,6,2076,33,,,,,0.0000386,13,5435,2
0.0001707,33,330,33,,,,,0.000039,9,1722,2
3.90E-05,16,4585,34,,,,,0.000039,8,9929,2
3.91E-05,35,6749,32,,,,,0.0000389,5,4508,2
3.90E-05,24,4044,33,,,,,0.0000792,30,3197,2
3.91E-05,8,2733,34,,,,,0.0002763,28,699,2
3.91E-05,15,2156,35,,,,,0.0000506,11,1371,2
0.0001059,3,5276,36,,,,,0.0000562,22,4346,2
3.89E-05,33,1226,34,,,,,0.0000393,12,4151,2
3.89E-05,24,1905,33,,,,,0.000039,31,5926,2
5.14E-05,22,6461,33,,,,,0.0000391,13,2018,2
0.0003089,25,126,34,,,,,0.000039,13,3150,2
5.03E-05,16,4640,34,,,,,0.0000385,10,5373,2
5.24E-05,3,4219,33,,,,,0.0000388,13,2953,2
5.17E-05,23,839,34,,,,,0.000039,16,2410,2
5.13E-05,24,8140,35,,,,,0.0000548,32,39,2
0.0001448,31,4619,36,,,,,0.0000502,9,1028,2
5.18E-05,34,4461,35,,,,,0.0000508,27,8954,2
0.0001072,24,282,34,,,,,0.0000496,21,8524,2
3.93E-05,34,1269,35,,,,,0.0000503,5,1055,2
3.89E-05,23,4034,35,,,,,0.0000499,9,4337,2
0.0001061,32,3786,36,,,,,0.0000464,22,1287,2
3.92E-05,27,7611,34,,,,,0.0000379,35,680,2
4.44E-05,23,3665,35,,,,,0.0000495,11,2225,2
0.0001063,10,2240,36,,,,,0.0000392,22,7522,2
3.91E-05,30,2337,36,,,,,0.000056,11,5842,2
0.0001055,21,825,37,,,,,0.0000396,15,2141,2
4.50E-05,1,8325,34,,,,,0.0000391,32,7393,2
3.88E-05,27,6030,34,,,,,0.0000389,14,8648,2
3.89E-05,20,8267,35,,,,,0.000039,14,4454,2
3.88E-05,29,2674,34,,,,,0.0000388,34,242,2
3.87E-05,34,1292,35,,,,,0.0000388,4,2589,2
3.86E-05,10,3475,36,,,,,0.000039,1,3044,2
3.87E-05,30,7888,36,,,,,0.0000396,29,4183,2
3.86E-05,29,9510,34,,,,,0.0000397,25,3101,2
3.86E-05,29,3152,33,,,,,0.0000391,15,4091,2
5.06E-05,1,3791,29,,,,,0.0000394,9,1824,2
5.00E-05,31,3180,30,,,,,0.0001222,18,5109,2
3.88E-05,32,4276,30,,,,,0.0000455,18,7140,2
3.87E-05,34,4875,28,,,,,0.0000453,28,2030,2
3.87E-05,34,5137,28,,,,,0.0000497,28,1009,2
3.85E-05,4,5441,29,,,,,0.0000501,15,4900,2
3.86E-05,2,7933,30,,,,,0.0000391,33,9392,2
0.0001053,17,390,31,,,,,0.0000389,16,8147,2
4.49E-05,34,7204,28,,,,,0.0000388,14,888,2
3.89E-05,5,3872,28,,,,,0.0000396,17,7810,2
0.000106,5,1767,28,,,,,0.0000389,19,7547,2
3.92E-05,24,2451,28,,,,,0.000039,10,7046,2
3.86E-05,5,7370,29,,,,,0.00004,6,4737,2
3.93E-05,30,806,20,,,,,0.0000453,25,7556,2
3.86E-05,32,4216,19,,,,,0.0000461,6,9740,2
3.88E-05,34,2025,18,,,,,0.0000512,26,9573,2
3.86E-05,20,2116,18,,,,,0.000052,14,4181,2
3.87E-05,4,4656,19,,,,,0.000059,13,4611,2
4.87E-05,21,7305,19,,,,,0.0000452,20,6743,2
4.99E-05,25,1237,20,,,,,0.0000506,4,407,2
3.91E-05,9,3070,18,,,,,0.0000393,12,2910,3
0.0001051,6,195,19,,,,,0.0000391,14,1818,3
3.91E-05,12,6245,20,,,,,0.0001202,28,1804,3
3.94E-05,6,8734,21,,,,,0.0000393,19,4185,3
3.91E-05,16,2211,21,,,,,0.0000389,17,4963,3
3.92E-05,30,1715,22,,,,,0.0000378,18,640,3
3.93E-05,29,5415,23,,,,,0.0000388,32,1315,3
0.0001373,9,170,23,,,,,0.0000379,26,199,3
8.60E-05,25,8585,24,,,,,0.0000474,2,6639,3
3.92E-05,17,2702,24,,,,,0.0000484,12,4610,3
3.90E-05,20,9156,22,,,,,0.0000394,29,3947,3
3.90E-05,23,2768,23,,,,,0.000039,22,8834,3
3.87E-05,25,1863,21,,,,,0.0000387,8,8694,3
3.92E-05,7,9647,21,,,,,0.0000385,30,392,3
3.89E-05,9,2574,22,,,,,0.0000461,33,7645,3
3.89E-05,15,7737,23,,,,,0.0000387,26,9670,3
5.14E-05,32,5458,16,,,,,0.0000386,19,1134,3
5.34E-05,33,2849,16,,,,,0.0000386,3,7474,3
0.0001004,1,7281,11,,,,,0.000041,4,7373,3
6.66E-05,31,2383,12,,,,,0.0000492,16,9948,3
5.61E-05,10,3811,13,,,,,0.0000396,5,1128,3
5.56E-05,31,5714,14,,,,,0.000063,15,9307,3
5.54E-05,28,9452,15,,,,,0.0000392,13,1230,3
5.56E-05,27,5322,16,,,,,0.0000625,24,7306,3
