cas operacie,vybrane cislo,velkost frontu,,,,,,,
0.000206,11,13,,,,,0.0002181,1,2
0.000201,19,12,,,,,0.0002174,11,2
0.0002006,22,12,,,,,0.000228,34,2
0.0002081,33,13,,,,,0.0002288,7,2
0.0002071,9,12,,,,,0.0002879,23,2
0.0002026,12,14,,,,,0.000196,17,2
0.0006827,25,15,,,,,0.0003123,5,2
0.0007463,18,14,,,,,0.0002448,1,2
0.0005231,13,13,,,,,0.0002367,23,2
0.0008123,23,16,,,,,0.0001796,25,2
0.0002513,19,17,,,,,0.0001795,11,2
0.0002501,8,16,,,,,0.0001802,2,2
0.0002662,16,15,,,,,0.0002079,4,2
0.0002334,11,15,,,,,0.0001802,34,2
0.0002625,21,14,,,,,0.0002296,19,2
0.0002534,28,13,,,,,0.0001823,1,2
0.0002465,31,12,,,,,0.0001784,16,2
0.0002326,19,12,,,,,0.000184,9,2
0.0002409,6,11,,,,,0.0001831,26,2
0.0002877,18,10,,,,,0.0002414,9,2
0.0002657,10,9,,,,,0.0002329,5,2
0.0002959,25,9,,,,,0.0001799,35,2
0.000265,25,8,,,,,0.0001787,5,2
0.0002516,7,7,,,,,0.0001837,20,2
0.0002166,20,6,,,,,0.0002075,35,2
0.0002029,22,5,,,,,0.0001755,5,2
0.0002021,30,4,,,,,0.0001907,33,2
0.0002233,10,4,,,,,0.0001783,21,2
0.000395,2,3,,,,,0.0001842,22,2
0.000258,24,2,,,,,0.0002454,21,2
0.0002042,2,3,,,,,0.0002402,25,2
0.0002151,23,3,,,,,0.0004894,12,2
0.0002021,18,4,,,,,0.0002293,31,2
0.0002024,9,6,,,,,0.0002407,4,2
0.0002375,7,6,,,,,0.0001906,12,2
0.0002684,3,5,,,,,0.0001827,6,2
0.0002027,7,5,,,,,0.0001787,31,2
0.0002078,12,4,,,,,0.0001798,15,2
0.0002025,2,4,,,,,0.0001796,32,2
0.0002024,11,3,,,,,0.0001812,15,2
0.0002328,24,4,,,,,0.0001782,11,2
0.0002706,8,3,,,,,0.0001793,9,2
0.000238,5,2,,,,,0.0001822,16,2
0.0001508,17,1,,,,,0.0002353,1,2
0.0001975,15,2,,,,,0.000228,6,2
0.0001794,13,2,,,,,0.0002184,28,2
0.0001131,1,1,,,,,0.0002479,27,2
0.0002038,29,3,,,,,0.0001795,14,2
0.0002016,24,6,,,,,0.0002248,18,2
0.0002021,5,6,,,,,0.0001783,30,2
0.0002014,4,10,,,,,0.0001785,15,2
0.0002023,8,9,,,,,0.0001802,19,2
0.0002648,7,10,,,,,0.0001792,30,2
0.0002032,7,11,,,,,0.0001804,16,2
0.0002021,31,10,,,,,0.0001798,8,2
0.0002029,35,9,,,,,0.0001773,34,2
0.0002827,3,11,,,,,0.0001794,31,2
0.0002034,30,10,,,,,0.0007207,33,2
0.0002025,13,13,,,,,0.0001789,26,2
0.0002019,31,12,,,,,0.000179,19,2
0.0002013,33,11,,,,,0.0001803,32,2
0.0002021,19,10,,,,,0.0001788,10,2
0.0002009,24,9,,,,,0.0001784,26,2
0.0002285,7,8,,,,,0.0001788,24,2
0.0002017,29,9,,,,,0.0001788,31,2
0.000202,27,9,,,,,0.0001788,10,2
0.0002023,28,9,,,,,0.0001785,13,2
0.0002013,27,10,,,,,0.0002386,8,2
0.0002013,17,9,,,,,0.0004681,24,2
0.0002448,19,8,,,,,0.0002191,18,2
0.0002033,5,7,,,,,0.0003008,17,2
0.0002019,14,7,,,,,0.0003589,32,2
0.000202,7,11,,,,,0.0001861,26,2
0.0002178,23,10,,,,,0.0001798,11,2
0.0002062,26,9,,,,,0.0002416,15,2
0.0002014,15,9,,,,,0.0002605,4,2
0.0002018,16,8,,,,,0.0004456,35,2
0.0002061,2,8,,,,,0.0002313,4,2
0.0002015,14,8,,,,,0.0001797,35,2
0.0002068,29,12,,,,,0.0001798,28,2
0.0002552,26,13,,,,,0.0001916,9,2
0.0002673,14,13,,,,,0.00022,7,2
0.0002497,23,13,,,,,0.0002207,13,2
0.0002022,21,13,,,,,0.0001842,31,2
0.0002233,4,12,,,,,0.0001792,33,2
0.0002035,21,11,,,,,0.0002722,30,2
0.0002026,24,10,,,,,0.0001847,2,2
0.0010288,12,10,,,,,0.0002161,23,2
0.0005193,25,9,,,,,0.0002153,18,2
0.0002822,24,9,,,,,0.0002432,22,2
0.0002903,24,8,,,,,0.0002315,28,2
0.0004276,12,8,,,,,0.00018,13,2
0.0002677,1,10,,,,,0.0003143,18,2
0.0002031,21,11,,,,,0.0002239,33,2
0.0004197,22,11,,,,,0.0002304,31,2
0.0002027,27,10,,,,,0.000232,24,2
0.0002027,18,9,,,,,0.0002521,5,2
0.0002026,18,10,,,,,0.0002246,17,2
