cas operacie,cislo,velkost frontu,,,,,,,
2.36E-05,15,24,,,,,0.0000377,15,2
2.83E-05,15,23,,,,,0.0000232,15,2
2.35E-05,15,22,,,,,0.0000234,15,2
2.33E-05,15,21,,,,,0.0000231,15,2
2.33E-05,15,20,,,,,0.0000234,15,2
2.35E-05,15,20,,,,,0.0000235,15,2
2.32E-05,15,21,,,,,0.0000232,15,2
2.32E-05,15,21,,,,,0.0000232,15,2
2.32E-05,15,21,,,,,0.0000299,15,2
3.30E-05,15,20,,,,,0.0000305,15,2
3.26E-05,15,20,,,,,0.0000229,15,2
2.81E-05,15,20,,,,,0.0000236,15,2
2.31E-05,15,23,,,,,0.0000395,15,2
2.34E-05,15,19,,,,,0.0000308,15,2
2.33E-05,15,18,,,,,0.0000308,15,2
2.35E-05,15,16,,,,,0.0000277,15,2
3.02E-05,15,15,,,,,0.0000311,15,2
9.64E-05,15,15,,,,,0.0000299,15,2
3.15E-05,15,13,,,,,0.0000304,15,2
3.92E-05,15,13,,,,,0.0000234,15,2
0.000102,15,17,,,,,0.0000271,15,2
3.07E-05,15,17,,,,,0.0000237,15,2
3.10E-05,15,17,,,,,0.0001214,15,2
3.32E-05,15,18,,,,,0.0000445,15,2
3.98E-05,15,18,,,,,0.0000731,15,2
3.24E-05,15,16,,,,,0.0000304,15,2
3.23E-05,15,17,,,,,0.0000324,15,2
2.91E-05,15,15,,,,,0.0000301,15,2
3.03E-05,15,16,,,,,0.000096,15,2
3.06E-05,15,19,,,,,0.0000672,15,2
3.09E-05,15,18,,,,,0.000033,15,2
3.47E-05,15,18,,,,,0.000028,15,2
3.89E-05,15,19,,,,,0.0000306,15,2
3.25E-05,15,19,,,,,0.0000291,15,2
3.34E-05,15,19,,,,,0.0000293,15,2
2.93E-05,15,18,,,,,0.0000335,15,2
2.85E-05,15,18,,,,,0.000068,15,2
3.05E-05,15,20,,,,,0.0000334,24,2
2.33E-05,15,21,,,,,0.0000343,24,2
2.32E-05,15,17,,,,,0.0000345,24,2
2.33E-05,15,16,,,,,0.0000329,24,2
3.05E-05,15,15,,,,,0.0000336,24,2
