cas operacie,index prvku,dlzka zoznamu,,,,,,,
8.49E-05,0,20,,,,,0.0000838,0,3
9.52E-05,0,20,,,,,0.0000833,0,3
8.47E-05,0,19,,,,,0.0000837,0,3
0.0002091,0,20,,,,,0.0000858,0,3
8.55E-05,0,20,,,,,0.000084,0,3
8.42E-05,0,19,,,,,0.0000839,0,3
8.48E-05,0,24,,,,,0.0000834,0,3
9.71E-05,0,23,,,,,0.0000847,0,3
8.44E-05,0,21,,,,,0.000093,0,3
9.50E-05,0,19,,,,,0.0000839,0,3
8.55E-05,0,18,,,,,0.0000839,0,3
8.50E-05,0,17,,,,,0.0000839,0,3
8.55E-05,0,15,,,,,0.0000844,0,3
0.0001206,0,12,,,,,0.0001328,0,3
0.0001147,0,10,,,,,0.000083,0,3
8.69E-05,0,16,,,,,0.0001218,0,3
8.50E-05,0,15,,,,,0.0000835,0,3
0.0001034,0,14,,,,,0.0000844,0,3
8.56E-05,0,13,,,,,0.0000884,0,3
8.56E-05,0,13,,,,,0.0000835,0,3
8.46E-05,0,11,,,,,0.0000919,0,3
8.40E-05,0,10,,,,,0.0000874,0,3
8.41E-05,0,11,,,,,0.0001141,0,3
8.81E-05,0,10,,,,,0.0000833,0,3
8.57E-05,0,10,,,,,0.0000836,0,3
8.41E-05,0,9,,,,,0.0000841,0,3
8.38E-05,0,8,,,,,0.0000833,0,3
8.43E-05,0,7,,,,,0.0000842,0,3
0.0001854,0,7,,,,,0.0000846,0,3
9.03E-05,0,8,,,,,0.0000848,0,3
8.46E-05,0,6,,,,,0.000093,0,3
9.11E-05,0,4,,,,,0.0001089,0,3
8.47E-05,0,2,,,,,0.0000842,0,3
8.50E-05,0,2,,,,,0.0000856,0,3
8.45E-05,0,1,,,,,0.0000843,0,3
8.55E-05,0,1,,,,,0.0000839,0,3
8.62E-05,0,2,,,,,0.0000849,0,3
8.44E-05,0,1,,,,,0.000093,0,3
2.46E-05,0,0,,,,,0.0000853,0,3
8.39E-05,0,4,,,,,0.0000837,0,3
8.36E-05,0,7,,,,,0.0001182,0,3
8.40E-05,0,6,,,,,0.0000839,0,3
8.52E-05,0,10,,,,,0.0000836,0,3
8.78E-05,0,9,,,,,0.0000837,0,3
0.0001057,0,8,,,,,0.0000835,0,3
0.0001087,0,9,,,,,0.0000998,0,3
8.32E-05,0,9,,,,,0.0000848,0,3
8.42E-05,0,12,,,,,0.0001279,0,3
8.45E-05,0,10,,,,,0.000091,0,3
9.14E-05,0,12,,,,,0.0000837,0,3
9.12E-05,0,10,,,,,0.0000837,0,3
8.47E-05,0,14,,,,,0.0000845,0,3
8.42E-05,0,13,,,,,0.0000861,0,3
8.39E-05,0,11,,,,,0.0000845,0,3
8.41E-05,0,13,,,,,0.0001359,0,3
8.35E-05,0,13,,,,,0.000084,0,3
8.35E-05,0,12,,,,,0.0000842,0,3
9.23E-05,0,13,,,,,0.0000849,0,3
8.41E-05,0,14,,,,,0.0000866,0,3
8.41E-05,0,15,,,,,0.0000957,0,3
8.39E-05,0,12,,,,,0.0002627,0,3
8.38E-05,0,11,,,,,0.0004472,0,3
0.0001275,0,8,,,,,0.0000841,0,3
9.57E-05,0,8,,,,,0.0000994,0,3
3.08E-05,0,0,,,,,0.0000847,0,3
8.44E-05,0,1,,,,,0.0001083,0,3
2.48E-05,0,0,,,,,0.0001337,0,3
8.34E-05,0,6,,,,,0.0000852,0,3
9.10E-05,0,8,,,,,0.0001817,0,3
8.60E-05,0,12,,,,,0.000126,0,3
8.54E-05,0,11,,,,,0.0000852,0,3
8.56E-05,0,9,,,,,0.0000837,0,3
9.22E-05,0,7,,,,,0.0000839,0,3
8.37E-05,0,5,,,,,0.0000856,0,3
9.01E-05,0,2,,,,,0.0000843,0,3
8.35E-05,0,5,,,,,0.0000834,0,3
0.0001092,0,1,,,,,0.000091,0,3
3.94E-05,0,0,,,,,0.0000842,0,3
9.30E-05,0,1,,,,,0.0000855,0,3
9.29E-05,0,2,,,,,0.0000842,0,3
8.54E-05,0,2,,,,,0.0000859,0,3
0.0001223,0,3,,,,,0.000086,0,3
8.46E-05,0,1,,,,,0.000084,0,3
2.56E-05,0,0,,,,,0.000084,0,3
8.35E-05,0,2,,,,,0.0000841,0,3
8.39E-05,0,1,,,,,0.000087,0,3
8.60E-05,0,2,,,,,0.0000838,0,3
8.38E-05,0,3,,,,,0.0000834,0,3
8.33E-05,0,3,,,,,0.0000842,0,3
2.64E-05,0,0,,,,,0.000084,0,3
8.37E-05,0,3,,,,,0.0000842,0,3
3.04E-05,0,0,,,,,0.0000844,0,3
2.49E-05,0,0,,,,,0.0000924,0,3
8.38E-05,0,2,,,,,0.0000838,0,3
8.58E-05,0,3,,,,,0.0000838,0,3
8.39E-05,0,2,,,,,0.0000838,0,3
0.0002575,0,1,,,,,0.0000853,0,3
0.000183,0,1,,,,,0.0000952,0,3
3.59E-05,0,0,,,,,0.0000836,0,3
0.0001272,0,2,,,,,0.0000991,0,3
8.44E-05,0,5,,,,,0.000083,0,3
8.62E-05,0,1,,,,,0.0000847,0,3
8.67E-05,0,2,,,,,0.0001077,0,3
8.41E-05,0,2,,,,,0.0000837,0,3
2.49E-05,0,0,,,,,0.0000839,0,3
2.44E-05,0,0,,,,,0.000086,0,3
8.40E-05,0,3,,,,,0.0000867,0,3
8.39E-05,0,3,,,,,0.0000841,0,3
8.33E-05,0,2,,,,,0.0000838,0,3
8.45E-05,0,2,,,,,0.0000858,0,3
8.32E-05,0,1,,,,,0.0000839,0,3
8.33E-05,0,1,,,,,0.0000836,0,3
8.38E-05,0,2,,,,,0.0000842,0,3
2.54E-05,0,0,,,,,0.000086,0,3
8.48E-05,0,1,,,,,0.0000839,0,3
2.46E-05,0,0,,,,,0.0000846,0,3
2.51E-05,0,0,,,,,0.000085,0,3
8.51E-05,0,5,,,,,0.0000837,0,3
0.0001237,0,5,,,,,0.0001045,0,3
8.35E-05,0,10,,,,,0.0000838,0,3
8.42E-05,0,9,,,,,0.000084,0,3
8.32E-05,0,13,,,,,0.0000841,0,3
8.47E-05,0,13,,,,,0.0000841,0,3
9.53E-05,0,13,,,,,0.0000845,0,3
8.39E-05,0,18,,,,,0.0001358,0,3
9.14E-05,0,20,,,,,0.0000845,0,3
8.55E-05,0,21,,,,,0.0000854,0,3
8.55E-05,0,21,,,,,0.0000846,0,3
8.49E-05,0,26,,,,,0.0000857,0,3
8.92E-05,0,23,,,,,0.0001327,0,4
8.41E-05,0,22,,,,,0.0005997,0,4
