cas operacie,index prvku,dlzka zoznamu,,,,,,
0.0001421,10,11,,,,0.0003668,1,3
8.48E-05,1,9,,,,0.0001129,2,3
0.0001143,5,9,,,,0.0000849,0,3
0.0001103,7,14,,,,0.0000837,1,3
8.98E-05,7,12,,,,0.0000834,2,3
8.43E-05,1,8,,,,0.0000838,1,3
8.94E-05,1,7,,,,0.0000847,2,3
8.47E-05,7,10,,,,0.0000921,0,3
8.43E-05,7,9,,,,0.0000942,1,3
8.43E-05,4,8,,,,0.0000835,1,3
0.0001206,4,9,,,,0.0000889,2,3
0.0001024,0,7,,,,0.0000917,0,3
8.41E-05,0,3,,,,0.0000852,2,3
0.0001003,2,3,,,,0.0000838,1,3
2.49E-05,0,0,,,,0.0000888,0,3
8.39E-05,2,3,,,,0.0002479,1,3
8.37E-05,4,5,,,,0.0000842,0,3
8.82E-05,2,7,,,,0.0000885,1,3
0.0001125,8,11,,,,0.000085,0,3
8.33E-05,0,8,,,,0.0001364,2,3
8.39E-05,8,10,,,,0.000086,2,3
8.37E-05,0,9,,,,0.0000842,0,3
9.26E-05,7,12,,,,0.000084,2,3
8.36E-05,0,11,,,,0.000085,1,3
8.35E-05,1,11,,,,0.0000893,1,3
8.34E-05,2,9,,,,0.0000842,0,3
9.10E-05,3,7,,,,0.0000837,1,3
8.34E-05,4,9,,,,0.0000837,0,3
8.38E-05,6,12,,,,0.0000847,2,3
8.41E-05,3,14,,,,0.000117,0,3
8.36E-05,10,12,,,,0.0000854,2,3
8.61E-05,11,14,,,,0.0000846,1,3
8.58E-05,10,14,,,,0.0002013,2,3
8.40E-05,12,13,,,,0.0000903,0,3
9.06E-05,3,10,,,,0.0002017,1,3
8.56E-05,0,9,,,,0.0000855,0,3
0.0001059,3,8,,,,0.0001254,0,3
9.12E-05,2,7,,,,0.0000841,2,3
8.66E-05,2,5,,,,0.000084,0,3
2.45E-05,0,0,,,,0.0000842,2,3
8.33E-05,3,7,,,,0.0000846,1,3
8.55E-05,4,7,,,,0.0001159,0,3
8.38E-05,3,9,,,,0.0000851,1,3
8.39E-05,5,10,,,,0.0000839,1,3
8.41E-05,1,6,,,,0.0000842,2,3
8.69E-05,0,3,,,,0.0000876,1,3
8.35E-05,0,5,,,,0.0000838,1,3
0.0002135,3,5,,,,0.0000834,1,3
0.0002222,1,4,,,,0.0000854,2,3
0.0001212,2,4,,,,0.000084,0,3
8.58E-05,0,3,,,,0.0000839,0,3
8.49E-05,1,2,,,,0.0001102,1,3
8.58E-05,1,3,,,,0.0000855,2,3
8.49E-05,1,2,,,,0.0000839,0,3
8.46E-05,1,2,,,,0.0000843,1,3
9.14E-05,1,2,,,,0.0000841,0,3
9.24E-05,0,1,,,,0.0000841,1,3
2.56E-05,0,0,,,,0.0000843,0,3
8.47E-05,0,1,,,,0.0000859,0,3
8.64E-05,1,2,,,,0.000084,1,3
8.41E-05,0,1,,,,0.0000844,1,3
8.37E-05,0,2,,,,0.0000914,1,3
0.0001864,0,1,,,,0.0000836,2,3
2.61E-05,0,0,,,,0.0000842,2,3
8.37E-05,0,4,,,,0.000084,0,3
8.41E-05,1,2,,,,0.0000838,0,3
0.0001347,0,1,,,,0.0000839,1,3
3.72E-05,0,0,,,,0.0000846,0,3
2.58E-05,0,0,,,,0.000084,1,3
2.76E-05,0,0,,,,0.0000838,0,3
0.0001419,0,1,,,,0.0000845,0,3
8.46E-05,0,4,,,,0.0000912,2,3
8.65E-05,1,2,,,,0.0000836,2,3
0.0001252,1,2,,,,0.000084,0,3
8.52E-05,0,1,,,,0.0000915,0,3
5.02E-05,0,0,,,,0.0000899,0,3
8.42E-05,1,4,,,,0.0000839,0,3
8.39E-05,0,1,,,,0.0000849,0,3
2.50E-05,0,0,,,,0.000084,1,3
8.81E-05,1,3,,,,0.0000843,1,3
8.42E-05,1,4,,,,0.0000841,0,3
8.34E-05,1,3,,,,0.0000839,0,3
9.66E-05,0,3,,,,0.0000952,0,3
2.83E-05,0,0,,,,0.0000855,0,3
3.18E-05,0,0,,,,0.0000838,2,3
8.34E-05,6,9,,,,0.0000835,2,3
9.35E-05,5,9,,,,0.0000841,1,3
8.36E-05,7,9,,,,0.0000828,0,3
0.0001624,9,14,,,,0.0000843,1,3
9.63E-05,1,13,,,,0.0000835,2,3
9.14E-05,6,19,,,,0.0001204,0,3
8.40E-05,20,21,,,,0.0000833,2,3
0.0001399,15,20,,,,0.0000838,1,3
8.55E-05,15,23,,,,0.0000839,1,3
8.42E-05,23,26,,,,0.000129,2,4
8.40E-05,22,25,,,,0.0000882,0,4
8.45E-05,0,25,,,,0.000364,1,4
8.42E-05,2,24,,,,0.0001129,1,4
8.51E-05,5,23,,,,0.0001254,2,4
8.45E-05,16,22,,,,0.000118,3,4
8.38E-05,5,25,,,,0.0002222,1,4
8.40E-05,5,26,,,,0.0001212,2,4
8.34E-05,15,23,,,,0.0000837,0,4
8.36E-05,19,22,,,,0.0000846,0,4
8.47E-05,11,20,,,,0.0000842,1,4
8.39E-05,18,19,,,,0.0000842,1,4
8.84E-05,2,19,,,,0.0000859,1,4
8.39E-05,9,17,,,,0.000084,2,4
8.61E-05,13,16,,,,0.0000896,3,4
8.51E-05,9,19,,,,0.0000857,2,4
8.52E-05,0,20,,,,0.0000929,3,4
8.46E-05,9,17,,,,0.0000859,3,4
0.0001259,2,19,,,,0.0000852,1,4
0.0001158,2,13,,,,0.0001666,0,4
9.42E-05,8,11,,,,0.000084,2,4
8.60E-05,2,10,,,,0.0000835,2,4
8.49E-05,6,8,,,,0.0000929,0,4
8.59E-05,1,4,,,,0.0000859,2,4
8.40E-05,2,4,,,,0.0000883,2,4
8.43E-05,2,3,,,,0.0000844,1,4
8.78E-05,0,1,,,,0.0000837,3,4
8.36E-05,2,3,,,,0.0000837,3,4
8.37E-05,1,2,,,,0.0000833,1,4
0.0001225,1,3,,,,0.0000839,0,4
0.0001113,0,6,,,,0.0000858,0,4
8.62E-05,0,6,,,,0.0000837,2,4
8.68E-05,4,6,,,,0.000084,1,4
8.52E-05,4,5,,,,0.0000849,2,4
8.50E-05,3,5,,,,0.000085,1,4
8.37E-05,3,5,,,,0.0000874,1,4
8.96E-05,3,4,,,,0.000083,1,4
8.38E-05,0,1,,,,0.0000842,1,4
2.50E-05,0,0,,,,0.0000841,2,4
8.36E-05,0,1,,,,0.0000852,1,4
2.47E-05,0,0,,,,0.0000848,0,4
8.35E-05,0,6,,,,0.0000922,2,4
8.36E-05,0,5,,,,0.0000921,1,4
8.35E-05,1,5,,,,0.0000884,0,4
8.38E-05,0,5,,,,0.0000838,2,4
8.35E-05,3,6,,,,0.0000835,1,4
8.57E-05,2,4,,,,0.0000833,0,4
8.56E-05,3,5,,,,0.0000908,0,4
8.54E-05,0,5,,,,0.0000967,1,4
9.29E-05,3,4,,,,0.000119,3,4
0.0001176,2,5,,,,0.0001112,1,4
9.22E-05,2,6,,,,0.0000844,1,4
8.59E-05,3,4,,,,0.0001406,1,4
8.50E-05,1,3,,,,0.0000839,3,4
2.48E-05,0,0,,,,0.0000847,3,4
8.37E-05,0,1,,,,0.0000835,1,4
2.64E-05,0,0,,,,0.0000835,2,4
8.38E-05,3,8,,,,0.0000894,1,4
0.0001146,0,5,,,,0.0010261,1,4
8.52E-05,1,4,,,,0.0000839,3,4
0.0001131,1,3,,,,0.0000884,1,4
8.32E-05,4,7,,,,0.0000859,2,4
8.36E-05,5,6,,,,0.0000837,1,4
8.55E-05,1,7,,,,0.0000861,1,4
8.55E-05,3,11,,,,0.0001527,3,4
8.56E-05,5,10,,,,0.0000838,3,4
