cas operacie,cislo na indexe,index prvku,dlzka zoznamu,,
2.92E-05,70,8,16,,
2.87E-05,72,2,16,,
2.98E-05,52,12,15,,
2.79E-05,43,3,14,,
4.24E-05,7,0,15,,
0.0001023,56,1,16,,
2.80E-05,7,0,18,,
3.58E-05,56,1,18,,
3.75E-05,74,9,19,,
3.70E-05,1,12,18,,
0.0006118,5,14,17,,
4.24E-05,3,11,19,,
3.66E-05,74,13,20,,
3.67E-05,10,20,22,,
3.73E-05,74,9,22,,
3.52E-05,83,16,22,,
3.75E-05,59,7,22,,
0.0001,9,13,25,,
3.95E-05,72,9,26,,
4.53E-05,47,1,25,,
4.75E-05,66,19,25,,
4.59E-05,4,20,25,,
4.40E-05,66,15,25,,
2.85E-05,82,4,25,,
3.40E-05,72,9,25,,
2.84E-05,59,8,25,,
2.85E-05,47,2,26,,
3.10E-05,5,19,26,,
0.0004985,59,9,26,,
4.21E-05,4,20,25,,
2.87E-05,5,17,23,,
2.69E-05,9,13,23,,
2.88E-05,61,12,24,,
2.83E-05,82,4,26,,
2.78E-05,10,21,25,,
3.77E-05,87,0,28,,
2.79E-05,10,23,28,,
3.41E-05,73,9,32,,
4.09E-05,45,25,32,,
4.12E-05,87,1,33,,
3.27E-05,66,23,32,,
0.0001241,90,12,35,,
4.31E-05,66,16,35,,
2.82E-05,59,9,34,,
2.79E-05,68,4,34,,
4.62E-05,66,25,37,,
2.83E-05,17,35,37,,
3.25E-05,5,21,36,,
3.70E-05,73,9,36,,
2.84E-05,45,4,35,,
2.82E-05,13,22,34,,
4.01E-05,1,5,34,,
2.79E-05,83,18,35,,
5.57E-05,5,20,35,,
2.86E-05,13,22,35,,
2.77E-05,11,4,35,,
2.80E-05,10,15,35,,
2.84E-05,7,30,40,,
0.0003543,13,23,40,,
4.39E-05,59,8,40,,
3.25E-05,46,35,40,,
4.75E-05,44,24,39,,
3.17E-05,54,5,38,,
2.80E-05,50,7,39,,
3.89E-05,1,33,40,,
3.65E-05,79,0,38,,
2.81E-05,89,15,38,,
2.81E-05,45,3,38,,
3.16E-05,59,9,39,,
4.01E-05,42,30,38,,
9.81E-05,13,21,38,,
2.79E-05,44,23,38,,
2.78E-05,9,25,36,,
0.0001483,7,31,35,,
3.15E-05,55,26,35,,
2.82E-05,42,28,36,,
3.73E-05,87,20,35,,
3.72E-05,89,5,35,,
3.94E-05,16,6,35,,
2.79E-05,63,27,36,,
2.84E-05,8,30,40,,
3.87E-05,42,28,40,,
2.82E-05,66,26,40,,
2.80E-05,78,2,31,,
2.80E-05,55,24,31,,
4.21E-05,8,28,32,,
2.84E-05,12,31,33,,
3.27E-05,84,6,33,,
2.84E-05,62,26,33,,
3.58E-05,46,32,35,,
2.82E-05,84,6,33,,
3.80E-05,76,4,32,,
4.07E-05,77,18,32,,
3.80E-05,76,13,32,,
4.22E-05,53,22,34,,
0.0001698,81,13,34,,
4.11E-05,77,21,34,,
4.27E-05,61,5,33,,
0.0001107,85,11,32,,
3.95E-05,15,22,30,,
0.0002305,14,28,30,,
3.84E-05,16,19,28,,
0.0001017,45,21,30,,
3.71E-05,85,10,30,,
4.00E-05,51,11,29,,
0.0001631,47,0,29,,
3.97E-05,87,14,29,,
4.35E-05,61,9,29,,
4.00E-05,61,21,29,,
4.34E-05,81,3,30,,
4.23E-05,56,21,30,,
4.09E-05,81,2,30,,
4.24E-05,54,25,31,,
3.98E-05,2,18,32,,
3.01E-05,7,5,32,,
2.76E-05,1,8,32,,
3.67E-05,64,18,32,,
0.0001909,41,16,34,,
0.0137159,53,21,35,,
0.000111,89,5,35,,
4.43E-05,89,5,35,,
3.75E-05,12,29,34,,
4.11E-05,61,11,35,,
0.0003461,71,6,34,,
0.0003428,55,12,33,,
3.77E-05,53,21,32,,
0.0002571,15,1,32,,
0.0001837,85,17,32,,
3.63E-05,64,22,35,,
4.28E-05,53,24,35,,
4.07E-05,81,13,35,,
3.74E-05,62,30,35,,
3.92E-05,74,28,35,,
4.12E-05,86,19,35,,
4.10E-05,79,0,35,,
3.16E-05,89,8,35,,
3.90E-05,77,23,35,,
3.50E-05,71,7,35,,
3.93E-05,89,9,32,,
4.04E-05,89,7,32,,
4.45E-05,74,10,32,,
3.85E-05,51,17,31,,
4.58E-05,50,23,29,,
4.07E-05,71,8,29,,
2.85E-05,62,27,29,,
3.08E-05,50,23,29,,
2.83E-05,9,25,30,,
0.0001291,49,4,30,,
3.73E-05,84,15,30,,
2.80E-05,41,15,29,,
4.16E-05,62,17,29,,
3.39E-05,52,18,29,,
4.02E-05,71,10,30,,
4.10E-05,45,23,30,,
3.06E-05,84,22,28,,
2.86E-05,52,17,28,,
3.12E-05,84,12,29,,
2.86E-05,89,6,29,,
3.13E-05,51,19,28,,
2.83E-05,63,17,28,,
2.84E-05,17,24,28,,
2.84E-05,17,23,28,,
3.95E-05,60,19,28,,
3.14E-05,10,14,28,,
2.82E-05,84,19,26,,
3.77E-05,51,17,26,,
2.82E-05,63,1,28,,
3.88E-05,52,16,28,,
2.90E-05,88,7,28,,
3.78E-05,63,3,27,,
2.84E-05,73,5,27,,
2.80E-05,63,7,27,,
2.80E-05,73,5,27,,
3.18E-05,63,17,27,,
2.82E-05,10,3,27,,
2.79E-05,63,8,27,,
2.79E-05,19,2,27,,
3.92E-05,10,3,27,,
4.08E-05,63,8,27,,
0.0001821,4,3,28,,
3.87E-05,75,13,28,,
0.0001844,53,6,27,,
3.75E-05,84,8,27,,
3.69E-05,41,17,28,,
3.85E-05,89,12,28,,
2.88E-05,16,19,28,,
4.76E-05,2,16,29,,
3.86E-05,52,21,30,,
3.68E-05,7,10,29,,
4.01E-05,61,26,29,,
2.85E-05,52,21,28,,
3.86E-05,63,8,28,,
2.69E-05,18,21,25,,
3.91E-05,89,11,27,,
3.16E-05,2,14,26,,
3.46E-05,88,11,29,,
2.66E-05,88,10,28,,
2.82E-05,89,9,28,,
3.20E-05,63,20,30,,
2.82E-05,2,15,32,,
3.78E-05,9,25,33,,
2.89E-05,20,14,33,,
9.78E-05,87,7,32,,
2.79E-05,88,14,32,,
2.78E-05,59,7,32,,
4.35E-05,44,28,33,,
0.0007849,10,6,33,,
3.43E-05,87,8,33,,
2.87E-05,20,15,30,,
2.87E-05,80,16,30,,
3.95E-05,54,13,33,,
3.90E-05,89,11,33,,
3.57E-05,59,5,33,,
3.27E-05,85,13,33,,
3.55E-05,46,2,30,,
3.73E-05,62,23,29,,
3.63E-05,7,17,30,,
3.97E-05,84,15,30,,
3.97E-05,7,15,30,,
0.0001684,46,1,29,,
3.47E-05,50,11,29,,
3.35E-05,87,9,29,,
3.92E-05,53,15,30,,
3.91E-05,62,21,30,,
3.71E-05,18,20,32,,
3.25E-05,46,24,33,,
3.15E-05,63,6,33,,
3.78E-05,48,5,34,,
3.46E-05,46,3,34,,
3.53E-05,58,1,33,,
3.67E-05,87,11,33,,
0.0001073,65,6,34,,
3.60E-05,52,20,34,,
3.74E-05,82,9,34,,
3.76E-05,9,0,34,,
3.68E-05,52,20,34,,
2.85E-05,11,0,35,,
2.80E-05,63,7,33,,
3.87E-05,16,19,33,,
3.25E-05,5,26,33,,
2.84E-05,10,30,34,,
2.98E-05,82,9,34,,
2.81E-05,46,28,36,,
2.77E-05,46,28,36,,
3.08E-05,75,14,34,,
2.81E-05,75,14,38,,
2.81E-05,5,16,38,,
2.86E-05,5,1,38,,
4.10E-05,7,33,38,,
4.57E-05,13,22,37,,
0.0001151,16,33,38,,
3.80E-05,59,4,38,,
0.000381,73,9,38,,
3.74E-05,46,28,38,,
3.72E-05,49,30,37,,
4.30E-05,52,20,36,,
4.06E-05,16,32,37,,
3.80E-05,55,28,37,,
0.0001068,79,11,36,,
3.00E-05,87,11,36,,
0.000312,82,10,36,,
0.0001079,59,7,36,,
4.01E-05,84,15,37,,
3.73E-05,19,0,38,,
4.05E-05,53,30,38,,
0.0003866,55,29,38,,
3.64E-05,54,16,38,,
4.03E-05,55,28,36,,
4.01E-05,53,29,36,,
3.83E-05,72,14,36,,
3.54E-05,55,4,36,,
3.65E-05,65,0,36,,
3.97E-05,65,0,38,,
4.17E-05,6,24,38,,
3.57E-05,83,1,35,,
3.21E-05,75,11,34,,
3.93E-05,82,8,33,,
3.11E-05,60,15,33,,
3.46E-05,16,29,33,,
4.50E-05,82,8,35,,
3.76E-05,10,32,35,,
3.94E-05,59,6,35,,
3.39E-05,20,20,36,,
0.0001022,55,1,37,,
3.81E-05,6,23,37,,
4.36E-05,10,32,37,,
3.79E-05,5,25,37,,
4.18E-05,5,25,38,,
3.70E-05,16,31,38,,
3.53E-05,46,5,39,,
3.55E-05,57,18,40,,
0.000336,57,18,40,,
3.89E-05,50,26,41,,
4.17E-05,77,2,42,,
3.61E-05,7,37,42,,
4.35E-05,60,5,43,,
4.32E-05,75,7,43,,
4.18E-05,90,24,43,,
3.86E-05,50,11,43,,
3.67E-05,3,9,43,,
3.84E-05,4,9,43,,
3.34E-05,4,9,43,,
4.00E-05,13,20,43,,
0.0002676,75,15,43,,
3.91E-05,90,25,43,,
4.00E-05,90,25,43,,
3.78E-05,53,33,44,,
4.74E-05,4,9,44,,
3.18E-05,50,11,41,,
2.96E-05,1,39,41,,
2.98E-05,52,16,41,,
2.87E-05,42,33,41,,
2.84E-05,78,28,41,,
2.86E-05,10,38,41,,
0.0003213,82,38,41,,
2.83E-05,16,35,41,,
2.87E-05,90,24,39,,
2.83E-05,52,17,41,,
2.81E-05,77,11,41,,
2.77E-05,77,3,41,,
3.20E-05,60,1,40,,
3.95E-05,78,29,41,,
3.67E-05,12,37,40,,
3.25E-05,59,5,41,,
2.82E-05,67,29,40,,
2.80E-05,66,6,38,,
2.77E-05,13,18,38,,
2.82E-05,78,25,37,,
3.71E-05,85,22,37,,
3.78E-05,57,20,36,,
3.88E-05,54,16,36,,
3.96E-05,45,17,35,,
4.84E-05,75,14,35,,
3.09E-05,65,2,35,,
3.71E-05,65,2,35,,
4.74E-05,41,27,35,,
3.12E-05,88,26,36,,
2.82E-05,6,23,35,,
2.87E-05,45,32,35,,
2.87E-05,88,25,35,,
3.17E-05,6,23,35,,
3.84E-05,6,23,35,,
2.89E-05,65,12,35,,
2.81E-05,65,1,35,,
2.82E-05,43,21,35,,
2.80E-05,88,24,35,,
2.79E-05,68,30,35,,
2.77E-05,76,10,34,,
2.93E-05,3,2,37,,
2.78E-05,42,23,36,,
3.14E-05,68,31,34,,
3.63E-05,1,26,34,,
2.90E-05,77,8,34,,
2.79E-05,74,5,33,,
2.86E-05,88,23,33,,
2.83E-05,55,19,34,,
3.13E-05,65,1,35,,
8.07E-05,89,24,35,,
3.74E-05,55,10,34,,
0.0001609,43,21,34,,
2.82E-05,81,5,35,,
2.87E-05,75,32,35,,
2.81E-05,70,15,36,,
2.89E-05,88,27,36,,
2.82E-05,70,4,36,,
2.81E-05,43,26,38,,
2.80E-05,90,21,36,,
2.79E-05,88,27,37,,
3.51E-05,45,17,38,,
2.83E-05,81,7,38,,
2.81E-05,41,28,38,,
3.06E-05,70,4,39,,
2.83E-05,16,21,39,,
2.82E-05,59,29,41,,
3.57E-05,42,26,41,,
4.31E-05,46,20,41,,
3.67E-05,42,21,41,,
3.58E-05,43,27,41,,
0.0001981,88,18,41,,
3.12E-05,10,33,40,,
3.02E-05,81,7,41,,
2.85E-05,1,31,41,,
3.22E-05,47,10,41,,
2.84E-05,55,13,41,,
0.0002744,85,27,40,,
3.97E-05,47,12,43,,
3.68E-05,12,33,43,,
3.05E-05,19,6,44,,
3.99E-05,74,12,42,,
4.36E-05,74,12,42,,
3.99E-05,74,13,43,,
4.28E-05,14,40,45,,
3.90E-05,74,13,45,,
4.16E-05,74,4,44,,
3.91E-05,75,41,44,,
3.85E-05,19,8,47,,
5.99E-05,59,36,47,,
5.76E-05,86,18,47,,
3.89E-05,83,7,47,,
2.90E-05,61,6,46,,
3.01E-05,12,4,46,,
2.80E-05,43,32,46,,
3.10E-05,67,12,43,,
0.0002194,83,8,42,,
4.34E-05,83,8,42,,
4.03E-05,64,26,41,,
0.0004708,86,24,41,,
0.0005804,14,37,41,,
0.0004068,14,40,42,,
2.84E-05,82,8,41,,
2.85E-05,15,29,42,,
2.83E-05,45,30,42,,
2.82E-05,61,7,42,,
3.23E-05,76,10,42,,
2.83E-05,11,16,41,,
2.80E-05,12,33,41,,
2.82E-05,2,8,44,,
2.82E-05,2,26,44,,
3.19E-05,3,40,43,,
2.78E-05,53,10,43,,
3.48E-05,86,22,43,,
3.86E-05,14,38,43,,
2.83E-05,3,1,43,,
4.34E-05,86,34,42,,
2.90E-05,2,29,41,,
3.25E-05,44,23,41,,
2.82E-05,86,39,41,,
2.80E-05,65,7,41,,
2.81E-05,74,12,41,,
2.80E-05,70,15,41,,
2.78E-05,61,17,42,,
4.29E-05,16,25,42,,
2.81E-05,14,23,40,,
2.85E-05,41,30,41,,
2.79E-05,86,31,40,,
2.78E-05,82,16,40,,
4.27E-05,60,8,39,,
3.75E-05,43,11,37,,
4.16E-05,74,7,37,,
3.90E-05,59,10,36,,
4.97E-05,65,4,35,,
3.88E-05,85,8,34,,
3.88E-05,61,13,32,,
4.07E-05,50,17,32,,
3.84E-05,18,11,32,,
4.29E-05,70,5,36,,
4.15E-05,54,32,37,,
4.04E-05,15,9,37,,
2.87E-05,48,4,37,,
2.86E-05,48,18,38,,
2.80E-05,65,35,39,,
2.82E-05,18,38,40,,
2.80E-05,2,31,40,,
2.79E-05,53,9,39,,
2.77E-05,16,2,39,,
2.84E-05,62,21,39,,
2.76E-05,17,0,39,,
5.48E-05,82,21,41,,
3.11E-05,55,30,41,,
3.61E-05,54,34,41,,
4.27E-05,16,9,42,,
3.43E-05,83,4,41,,
4.04E-05,62,20,40,,
3.95E-05,47,15,40,,
3.93E-05,59,14,40,,
4.17E-05,70,6,40,,
3.59E-05,78,20,39,,
3.29E-05,48,17,38,,
3.40E-05,20,23,38,,
3.18E-05,83,2,37,,
2.89E-05,62,19,37,,
