cas operacie,index prvku,dlzka zoznamu,,,,,,
4.08E-05,41,41,,,,0.0000245,2,2
3.88E-05,43,43,,,,0.0000243,2,2
4.26E-05,43,43,,,,0.0000251,2,2
4.27E-05,44,44,,,,0.0000387,2,2
2.81E-05,41,41,,,,0.0000258,2,2
3.37E-05,38,38,,,,0.0000253,2,2
2.86E-05,32,32,,,,0.000025,2,2
3.16E-05,32,32,,,,0.0000253,2,2
4.97E-05,32,32,,,,0.0000247,2,2
3.64E-05,30,30,,,,0.0000263,2,2
5.12E-05,29,29,,,,0.0000246,2,2
3.86E-05,27,27,,,,0.0000245,2,2
3.27E-05,29,29,,,,0.0000251,2,2
2.87E-05,28,28,,,,0.0000248,2,2
3.19E-05,28,28,,,,0.0000249,2,2
2.86E-05,26,26,,,,0.0000265,2,2
4.09E-05,26,26,,,,0.0000247,2,2
2.90E-05,23,23,,,,0.000026,2,2
4.21E-05,24,24,,,,0.0000246,2,2
2.84E-05,23,23,,,,0.0000252,2,2
2.83E-05,23,23,,,,0.0000246,2,2
3.86E-05,21,21,,,,0.0000244,2,2
2.81E-05,18,18,,,,0.000026,2,2
2.83E-05,19,19,,,,0.0000257,2,2
2.82E-05,17,17,,,,0.0000291,2,2
2.92E-05,17,17,,,,0.0000445,2,2
3.84E-05,17,17,,,,0.0000246,2,2
4.02E-05,14,14,,,,0.0000246,2,2
3.88E-05,14,14,,,,0.0000321,2,2
3.80E-05,15,15,,,,0.000026,2,2
5.43E-05,26,26,,,,0.000026,2,2
3.13E-05,28,28,,,,0.0000254,2,2
7.14E-05,22,22,,,,0.0000256,2,2
3.13E-05,18,18,,,,0.0000282,2,2
3.29E-05,24,24,,,,0.0000247,2,2
3.14E-05,22,22,,,,0.0000245,2,2
3.75E-05,22,22,,,,0.0000248,2,2
4.61E-05,21,21,,,,0.0000333,2,2
4.91E-05,22,22,,,,0.0000246,2,2
3.65E-05,21,21,,,,0.0000246,2,2
4.11E-05,19,19,,,,0.0000257,2,2
2.83E-05,20,20,,,,0.000026,2,2
8.04E-05,21,21,,,,0.0000287,2,2
3.72E-05,19,19,,,,0.000033,2,2
2.88E-05,22,22,,,,0.0000339,2,2
2.82E-05,21,21,,,,0.0000261,2,2
3.02E-05,23,23,,,,0.0000261,2,2
2.86E-05,22,22,,,,0.0000247,2,2
2.84E-05,23,23,,,,0.0000252,2,2
2.91E-05,26,26,,,,0.0000283,2,2
2.80E-05,25,25,,,,0.0000253,2,2
2.78E-05,24,24,,,,0.0000245,2,2
4.39E-05,24,24,,,,0.0000262,2,2
2.49E-05,22,22,,,,0.0000246,2,2
2.56E-05,20,20,,,,0.0000249,2,2
2.52E-05,19,19,,,,0.0000249,2,2
2.64E-05,23,23,,,,0.0000248,2,2
2.57E-05,22,22,,,,0.0000247,2,2
2.49E-05,23,23,,,,0.0000248,2,2
2.50E-05,28,28,,,,0.0000247,2,2
2.59E-05,26,26,,,,0.0000242,2,2
3.44E-05,24,24,,,,0.0000246,2,2
2.60E-05,24,24,,,,0.0000246,2,2
2.46E-05,21,21,,,,0.0000246,2,2
4.17E-05,21,21,,,,0.0000247,2,2
3.76E-05,20,20,,,,0.0000246,2,2
3.70E-05,20,20,,,,0.0000262,2,2
3.59E-05,20,20,,,,0.0000245,2,2
3.36E-05,18,18,,,,0.0000247,2,2
2.75E-05,17,17,,,,0.0000248,2,2
3.54E-05,18,18,,,,0.000202,2,2
2.52E-05,19,19,,,,0.0000248,2,2
2.51E-05,18,18,,,,0.0000247,2,2
2.49E-05,19,19,,,,0.0000246,2,2
2.45E-05,18,18,,,,0.0000246,2,2
4.16E-05,16,16,,,,0.0000245,2,2
2.55E-05,14,14,,,,0.0000248,2,2
2.47E-05,14,14,,,,0.0000246,2,2
4.99E-05,14,14,,,,0.0000248,2,2
2.56E-05,18,18,,,,0.0000308,2,2
3.97E-05,16,16,,,,0.0000429,2,2
3.90E-05,15,15,,,,0.0000252,2,2
3.50E-05,22,22,,,,0.0000247,2,2
4.00E-05,26,26,,,,0.0000257,2,2
4.11E-05,25,25,,,,0.0000246,2,2
4.42E-05,25,25,,,,0.0000268,2,2
3.93E-05,22,22,,,,0.0000246,2,2
3.72E-05,19,19,,,,0.0000247,2,2
3.58E-05,17,17,,,,0.0000269,2,2
0.0001899,15,15,,,,0.0000251,2,2
4.32E-05,15,15,,,,0.0000247,2,2
3.91E-05,14,14,,,,0.0000255,2,2
3.96E-05,16,16,,,,0.0000248,2,2
3.89E-05,18,18,,,,0.0000261,2,2
4.13E-05,17,17,,,,0.0000282,3,3
4.24E-05,17,17,,,,0.0000375,3,3
3.64E-05,16,16,,,,0.0000244,3,3
2.76E-05,16,16,,,,0.0000246,3,3
2.59E-05,16,16,,,,0.0000248,3,3
2.61E-05,16,16,,,,0.0000263,3,3
2.61E-05,20,20,,,,0.0000343,3,3
2.56E-05,21,21,,,,0.0000247,3,3
2.55E-05,20,20,,,,0.0000255,3,3
2.61E-05,21,21,,,,0.0000244,3,3
3.88E-05,19,19,,,,0.0000256,3,3
3.57E-05,18,18,,,,0.0000257,3,3
3.53E-05,19,19,,,,0.0000257,3,3
0.0001298,17,17,,,,0.0000256,3,3
2.65E-05,17,17,,,,0.0000247,3,3
2.57E-05,18,18,,,,0.0000249,3,3
2.57E-05,17,17,,,,0.0000247,3,3
2.59E-05,18,18,,,,0.0000245,3,3
2.55E-05,21,21,,,,0.0001553,3,3
2.57E-05,19,19,,,,0.0000247,3,3
2.57E-05,22,22,,,,0.0000246,3,3
2.59E-05,22,22,,,,0.0000252,3,3
2.57E-05,24,24,,,,0.0000264,3,3
4.59E-05,25,25,,,,0.000025,3,3
2.59E-05,24,24,,,,0.0000248,3,3
2.71E-05,20,20,,,,0.0000261,3,3
2.62E-05,15,15,,,,0.0000268,3,3
3.53E-05,13,13,,,,0.0000265,3,3
2.59E-05,9,9,,,,0.0000332,3,3
2.58E-05,15,15,,,,0.0000246,3,3
2.57E-05,9,9,,,,0.0000248,3,3
2.56E-05,9,9,,,,0.0000318,3,3
2.57E-05,5,5,,,,0.0000248,3,3
2.50E-05,1,1,,,,0.0000248,3,3
2.46E-05,2,2,,,,0.0000255,3,3
2.67E-05,2,2,,,,0.0000246,3,3
2.47E-05,2,2,,,,0.0000247,3,3
2.50E-05,0,0,,,,0.0000288,3,3
2.46E-05,0,0,,,,0.0000245,3,3
3.31E-05,4,4,,,,0.0000451,3,3
2.44E-05,3,3,,,,0.0000252,3,3
2.54E-05,7,7,,,,0.0000352,3,3
2.45E-05,7,7,,,,0.0000249,3,3
2.60E-05,10,10,,,,0.0000328,3,3
4.17E-05,9,9,,,,0.000026,3,3
2.48E-05,9,9,,,,0.000025,3,3
2.48E-05,9,9,,,,0.0000249,3,3
2.49E-05,11,11,,,,0.0000248,3,3
2.46E-05,9,9,,,,0.0000247,3,3
2.46E-05,12,12,,,,0.0000262,3,3
2.46E-05,8,8,,,,0.0000276,3,3
2.47E-05,8,8,,,,0.0000258,3,3
2.47E-05,9,9,,,,0.0000251,3,3
2.49E-05,15,15,,,,0.0000256,3,3
2.47E-05,9,9,,,,0.0000257,3,3
3.27E-05,6,6,,,,0.0000247,3,3
3.72E-05,4,4,,,,0.0000246,3,3
2.46E-05,4,4,,,,0.0000248,3,3
2.46E-05,3,3,,,,0.0000259,3,3
4.15E-05,2,2,,,,0.0000257,3,3
2.60E-05,1,1,,,,0.0000245,3,3
2.45E-05,0,0,,,,0.0000244,3,3
2.50E-05,7,7,,,,0.0000248,3,3
2.53E-05,9,9,,,,0.0000247,3,3
2.49E-05,9,9,,,,0.0000314,3,3
2.48E-05,8,8,,,,0.0000246,3,3
2.44E-05,7,7,,,,0.0000286,3,3
3.17E-05,9,9,,,,0.0000358,3,3
2.47E-05,12,12,,,,0.0000258,3,3
2.47E-05,10,10,,,,0.0000468,3,3
2.46E-05,8,8,,,,0.0000251,3,3
2.53E-05,8,8,,,,0.0000272,3,3
2.47E-05,4,4,,,,0.0000252,3,3
2.43E-05,4,4,,,,0.0000431,3,3
2.48E-05,3,3,,,,0.0000256,3,3
2.62E-05,4,4,,,,0.0000364,3,3
2.59E-05,2,2,,,,0.0000247,3,3
2.63E-05,3,3,,,,0.0000248,3,3
2.58E-05,2,2,,,,0.0000262,3,3
2.55E-05,1,1,,,,0.0000282,3,3
2.56E-05,0,0,,,,0.0000247,3,3
3.93E-05,1,1,,,,0.0000246,3,3
3.43E-05,3,3,,,,0.0000249,3,3
2.47E-05,3,3,,,,0.0000286,3,3
2.55E-05,3,3,,,,0.0000258,3,3
2.57E-05,2,2,,,,0.0000258,3,3
2.44E-05,3,3,,,,0.0000248,3,3
3.85E-05,2,2,,,,0.0000252,3,3
2.52E-05,2,2,,,,0.0000248,3,3
2.48E-05,1,1,,,,0.0000252,3,3
2.59E-05,0,0,,,,0.0000246,3,3
2.63E-05,4,4,,,,0.0000247,3,3
2.56E-05,3,3,,,,0.0000258,3,3
2.56E-05,0,0,,,,0.0000246,3,3
2.57E-05,3,3,,,,0.0000245,3,3
