cas operacie,cislo na indexe,index prvku,dlzka zoznamu,,,
1.71E-05,6,3,14,,,
1.82E-05,83,8,17,,,
3.42E-05,23,14,16,,,
2.09E-05,23,12,16,,,
2.24E-05,77,4,16,,,
1.72E-05,81,13,16,,,
1.72E-05,30,10,18,,,
1.68E-05,24,1,14,,,
2.73E-05,76,8,12,,,
1.85E-05,27,8,17,,,
1.80E-05,4,2,20,,,
3.87E-05,10,2,21,,,
4.01E-05,2,16,21,,,
1.85E-05,11,11,20,,,
1.82E-05,87,1,22,,,
1.79E-05,3,21,24,,,
1.84E-05,30,19,23,,,
1.80E-05,8,22,24,,,
1.77E-05,88,5,26,,,
1.86E-05,71,18,26,,,
2.31E-05,28,8,30,,,
1.84E-05,88,5,31,,,
1.80E-05,9,2,33,,,
1.73E-05,22,5,28,,,
1.85E-05,88,0,25,,,
2.29E-05,76,17,26,,,
1.75E-05,2,19,36,,,
1.77E-05,17,12,37,,,
1.72E-05,14,27,37,,,
1.88E-05,24,33,41,,,
1.94E-05,28,38,46,,,
3.43E-05,1,4,45,,,
1.87E-05,27,20,43,,,
2.50E-05,83,10,44,,,
1.73E-05,1,5,42,,,
1.87E-05,17,13,46,,,
1.74E-05,14,41,47,,,
1.92E-05,29,32,47,,,
1.70E-05,4,4,48,,,
2.37E-05,20,21,48,,,
1.87E-05,27,10,49,,,
2.74E-05,2,14,45,,,
1.86E-05,81,30,42,,,
3.01E-05,14,34,42,,,
1.82E-05,19,31,39,,,
1.86E-05,72,20,39,,,
1.88E-05,72,22,40,,,
1.86E-05,17,13,40,,,
2.47E-05,29,22,43,,,
2.49E-05,76,37,43,,,
1.79E-05,78,22,41,,,
1.77E-05,24,4,45,,,
1.71E-05,28,41,46,,,
1.76E-05,80,19,46,,,
4.71E-05,84,25,47,,,
1.94E-05,5,0,47,,,
2.24E-05,32,1,46,,,
1.83E-05,24,9,47,,,
1.81E-05,79,3,51,,,
1.79E-05,1,23,46,,,
1.71E-05,19,38,44,,,
1.86E-05,90,27,46,,,
1.76E-05,72,20,44,,,
1.69E-05,29,40,44,,,
2.34E-05,76,32,41,,,
1.87E-05,73,15,42,,,
1.84E-05,73,14,42,,,
2.55E-05,20,24,41,,,
1.88E-05,72,25,42,,,
2.82E-05,73,14,45,,,
1.84E-05,5,38,45,,,
1.77E-05,31,1,39,,,
2.08E-05,87,12,34,,,
2.01E-05,75,6,36,,,
2.20E-05,20,21,36,,,
2.18E-05,16,6,36,,,
2.38E-05,85,30,36,,,
2.12E-05,4,2,44,,,
1.79E-05,6,38,42,,,
2.31E-05,33,8,47,,,
1.84E-05,83,32,48,,,
1.83E-05,34,35,47,,,
1.85E-05,74,21,46,,,
1.83E-05,26,27,46,,,
1.80E-05,11,35,48,,,
1.81E-05,78,30,44,,,
1.87E-05,20,42,45,,,
1.82E-05,1,41,45,,,
2.83E-05,86,20,45,,,
1.87E-05,77,16,45,,,
1.78E-05,1,0,53,,,
2.82E-05,86,24,52,,,
2.92E-05,82,9,51,,,
1.88E-05,86,25,53,,,
2.24E-05,89,15,49,,,
1.83E-05,7,32,47,,,
1.80E-05,85,10,44,,,
1.86E-05,17,28,45,,,
2.22E-05,81,25,43,,,
1.81E-05,2,0,43,,,
1.82E-05,13,28,41,,,
1.84E-05,9,11,43,,,
1.86E-05,87,3,42,,,
2.00E-05,77,28,42,,,
1.86E-05,18,38,41,,,
1.81E-05,9,6,39,,,
2.37E-05,26,13,40,,,
1.96E-05,78,10,39,,,
1.82E-05,76,35,39,,,
2.03E-05,81,21,40,,,
1.86E-05,22,8,42,,,
1.81E-05,89,4,46,,,
1.98E-05,81,23,44,,,
1.82E-05,77,30,43,,,
1.82E-05,88,9,45,,,
1.85E-05,79,26,43,,,
1.83E-05,77,25,45,,,
1.92E-05,23,34,46,,,
1.87E-05,2,21,46,,,
1.83E-05,77,28,47,,,
1.80E-05,86,2,46,,,
1.78E-05,33,39,44,,,
1.78E-05,86,3,46,,,
1.95E-05,16,9,42,,,
1.86E-05,16,26,50,,,
1.83E-05,86,8,50,,,
2.21E-05,25,2,54,,,
1.90E-05,72,18,53,,,
1.83E-05,27,51,60,,,
1.96E-05,85,29,61,,,
2.08E-05,15,31,63,,,
1.85E-05,35,43,63,,,
1.85E-05,88,17,62,,,
1.83E-05,23,7,62,,,
1.86E-05,71,49,66,,,
2.26E-05,85,30,64,,,
2.21E-05,35,46,68,,,
1.81E-05,33,60,70,,,
1.82E-05,87,52,69,,,
1.93E-05,15,31,70,,,
1.93E-05,2,40,71,,,
1.81E-05,1,3,71,,,
1.83E-05,6,9,70,,,
1.91E-05,31,37,72,,,
6.10E-05,31,35,72,,,
1.91E-05,15,33,81,,,
2.37E-05,10,67,80,,,
