cas operacie,cislo,index prvku,dlzka zoznamu,,,
1.74E-05,90,0,2,,,
1.73E-05,88,0,1,,,
1.79E-05,79,0,2,,,
1.73E-05,86,4,7,,,
1.72E-05,72,5,7,,,
1.89E-05,71,1,9,,,
1.85E-05,71,3,12,,,
2.18E-05,85,7,14,,,
1.78E-05,83,11,14,,,
1.81E-05,72,10,14,,,
1.75E-05,82,6,13,,,
1.73E-05,83,4,13,,,
1.72E-05,80,9,13,,,
1.75E-05,88,8,15,,,
1.76E-05,86,6,16,,,
1.74E-05,76,8,17,,,
1.76E-05,82,8,18,,,
1.76E-05,80,10,16,,,
3.03E-05,81,13,16,,,
3.31E-05,77,4,16,,,
1.85E-05,76,12,14,,,
1.84E-05,81,4,16,,,
1.74E-05,72,12,17,,,
1.79E-05,74,5,15,,,
1.79E-05,88,4,14,,,
1.84E-05,84,7,12,,,
1.85E-05,77,3,18,,,
3.20E-05,86,5,20,,,
2.60E-05,87,13,20,,,
1.84E-05,71,6,19,,,
1.83E-05,85,3,22,,,
1.88E-05,88,8,23,,,
1.82E-05,80,18,20,,,
1.82E-05,87,3,19,,,
1.83E-05,83,19,24,,,
1.93E-05,71,14,24,,,
1.85E-05,82,6,23,,,
2.79E-05,75,1,23,,,
1.83E-05,72,14,26,,,
1.98E-05,82,6,33,,,
2.22E-05,78,1,28,,,
1.73E-05,83,1,26,,,
1.84E-05,71,6,32,,,
1.77E-05,88,8,33,,,
1.91E-05,89,10,40,,,
3.55E-05,79,36,40,,,
1.80E-05,78,11,43,,,
2.07E-05,77,6,47,,,
1.89E-05,71,5,45,,,
1.82E-05,75,5,43,,,
1.89E-05,81,28,42,,,
1.90E-05,83,34,42,,,
2.10E-05,85,24,44,,,
1.86E-05,80,9,43,,,
2.74E-05,85,9,45,,,
1.75E-05,87,40,47,,,
1.82E-05,85,23,48,,,
1.82E-05,85,30,47,,,
1.84E-05,87,7,42,,,
2.93E-05,71,6,41,,,
1.87E-05,85,1,40,,,
1.86E-05,76,33,42,,,
1.92E-05,84,21,44,,,
1.79E-05,82,16,45,,,
2.26E-05,88,42,46,,,
1.94E-05,73,19,46,,,
1.88E-05,82,13,46,,,
1.95E-05,72,36,46,,,
1.82E-05,79,1,48,,,
2.49E-05,84,31,49,,,
1.85E-05,72,25,49,,,
1.76E-05,76,39,49,,,
2.33E-05,74,3,51,,,
1.92E-05,73,24,52,,,
1.84E-05,77,23,48,,,
1.76E-05,90,28,46,,,
1.80E-05,79,6,43,,,
1.83E-05,87,20,46,,,
1.74E-05,73,8,45,,,
1.78E-05,85,33,45,,,
1.71E-05,81,0,44,,,
1.91E-05,89,28,42,,,
3.61E-05,73,8,42,,,
1.91E-05,77,20,43,,,
1.86E-05,76,37,44,,,
2.64E-05,73,19,45,,,
1.87E-05,75,10,46,,,
1.94E-05,72,26,46,,,
1.85E-05,83,32,44,,,
1.83E-05,76,36,44,,,
1.86E-05,83,30,40,,,
1.89E-05,74,18,40,,,
2.16E-05,80,0,35,,,
2.13E-05,85,14,35,,,
2.39E-05,85,31,36,,,
2.39E-05,83,21,36,,,
2.41E-05,88,1,36,,,
1.86E-05,81,10,41,,,
9.36E-05,89,31,48,,,
2.98E-05,76,17,47,,,
1.92E-05,89,21,48,,,
1.87E-05,78,31,46,,,
3.31E-05,80,4,42,,,
1.86E-05,74,37,45,,,
1.88E-05,72,27,46,,,
1.83E-05,77,38,47,,,
1.90E-05,86,22,49,,,
1.87E-05,81,29,49,,,
3.10E-05,75,35,48,,,
3.73E-05,88,19,45,,,
1.83E-05,77,40,45,,,
2.89E-05,82,40,53,,,
2.17E-05,88,50,53,,,
1.87E-05,77,36,52,,,
1.87E-05,76,44,52,,,
1.87E-05,87,6,48,,,
9.92E-05,79,8,48,,,
1.82E-05,88,0,48,,,
1.88E-05,76,24,44,,,
1.87E-05,73,14,45,,,
1.88E-05,87,19,44,,,
1.92E-05,81,9,46,,,
1.80E-05,73,2,46,,,
1.86E-05,77,35,44,,,
1.88E-05,73,9,42,,,
1.86E-05,71,26,43,,,
1.82E-05,71,3,42,,,
1.82E-05,82,0,42,,,
1.89E-05,81,23,40,,,
2.57E-05,77,1,41,,,
2.60E-05,81,19,43,,,
1.89E-05,74,25,43,,,
1.86E-05,80,8,42,,,
2.19E-05,72,25,44,,,
1.94E-05,82,18,44,,,
1.91E-05,79,24,41,,,
1.96E-05,77,24,45,,,
1.89E-05,76,14,46,,,
1.87E-05,80,13,42,,,
1.83E-05,85,4,46,,,
1.84E-05,82,37,46,,,
1.82E-05,89,39,43,,,
1.83E-05,72,40,43,,,
1.83E-05,72,4,43,,,
1.86E-05,73,10,42,,,
1.86E-05,89,14,43,,,
2.94E-05,87,11,45,,,
1.91E-05,87,30,47,,,
1.85E-05,78,6,46,,,
1.84E-05,82,43,47,,,
1.81E-05,86,2,48,,,
1.92E-05,78,12,45,,,
2.00E-05,88,2,43,,,
1.87E-05,73,15,45,,,
1.94E-05,76,40,44,,,
1.87E-05,71,35,48,,,
1.94E-05,88,25,50,,,
1.92E-05,73,24,50,,,
1.91E-05,83,31,61,,,
1.87E-05,72,47,61,,,
1.96E-05,83,31,62,,,
1.92E-05,78,36,62,,,
1.85E-05,89,54,63,,,
1.91E-05,74,48,67,,,
1.88E-05,76,50,68,,,
1.97E-05,77,36,65,,,
1.88E-05,78,55,70,,,
1.98E-05,82,32,70,,,
2.68E-05,80,42,72,,,
1.92E-05,88,43,70,,,
1.97E-05,81,35,72,,,
2.26E-05,88,8,81,,,
1.98E-05,80,40,81,,,
2.72E-05,89,32,81,,,
3.42E-05,87,34,80,,,
1.83E-05,71,6,86,,,
1.91E-05,78,59,87,,,
1.89E-05,77,57,85,,,
1.95E-05,78,50,83,,,
1.84E-05,82,6,84,,,
1.98E-05,84,38,84,,,
4.70E-05,79,17,85,,,
2.47E-05,75,20,85,,,
3.24E-05,82,30,87,,,
2.22E-05,75,28,83,,,
2.31E-05,84,74,83,,,
2.88E-05,83,79,91,,,
3.03E-05,87,55,90,,,
2.59E-05,73,34,90,,,
9.66E-05,89,22,90,,,
3.03E-05,74,33,85,,,
2.93E-05,76,12,85,,,
2.60E-05,88,7,84,,,
2.83E-05,72,39,85,,,
2.74E-05,89,68,80,,,
2.47E-05,85,64,81,,,
2.74E-05,77,48,77,,,
7.97E-05,76,69,72,,,
2.82E-05,78,11,73,,,
2.07E-05,86,38,73,,,
1.87E-05,76,65,70,,,
9.51E-05,77,52,67,,,
2.73E-05,71,59,66,,,
2.79E-05,84,19,67,,,
2.94E-05,77,67,74,,,
0.0001144,89,0,77,,,
2.41E-05,83,45,78,,,
9.98E-05,84,12,78,,,
0.0001027,84,71,78,,,
3.05E-05,77,26,79,,,
2.59E-05,80,17,79,,,
2.33E-05,75,66,82,,,
1.85E-05,80,74,80,,,
3.18E-05,79,53,80,,,
2.66E-05,86,62,80,,,
2.45E-05,83,69,80,,,
0.0001294,90,26,79,,,
1.90E-05,75,74,87,,,
1.98E-05,72,7,90,,,
2.30E-05,84,28,90,,,
1.95E-05,85,43,86,,,
1.84E-05,78,82,87,,,
1.87E-05,84,5,88,,,
1.82E-05,72,1,88,,,
1.91E-05,71,62,88,,,
