cas operacie,index prvku,dlzka zoznamu,,
1.03E-05,64,64,,
1.03E-05,65,65,,
1.06E-05,66,66,,
1.02E-05,66,66,,
1.03E-05,65,65,,
1.05E-05,66,66,,
1.04E-05,65,65,,
1.05E-05,62,62,,
1.02E-05,62,62,,
1.02E-05,62,62,,
1.12E-05,59,59,,
1.03E-05,58,58,,
1.04E-05,59,59,,
1.09E-05,58,58,,
1.04E-05,56,56,,
1.05E-05,54,54,,
1.02E-05,53,53,,
1.01E-05,52,52,,
1.03E-05,53,53,,
1.09E-05,50,50,,
1.05E-05,49,49,,
1.15E-05,48,48,,
1.01E-05,44,44,,
1.04E-05,42,42,,
1.03E-05,42,42,,
1.02E-05,45,45,,
1.03E-05,43,43,,
1.03E-05,42,42,,
1.18E-05,44,44,,
1.05E-05,44,44,,
1.02E-05,48,48,,
1.03E-05,46,46,,
1.08E-05,47,47,,
1.14E-05,46,46,,
1.03E-05,45,45,,
1.02E-05,44,44,,
1.03E-05,43,43,,
1.01E-05,40,40,,
1.05E-05,42,42,,
1.03E-05,45,45,,
1.03E-05,45,45,,
1.03E-05,42,42,,
1.03E-05,39,39,,
1.08E-05,38,38,,
1.03E-05,37,37,,
1.03E-05,37,37,,
1.02E-05,38,38,,
1.03E-05,40,40,,
1.03E-05,39,39,,
1.07E-05,43,43,,
1.04E-05,45,45,,
1.66E-05,50,50,,
1.03E-05,51,51,,
1.20E-05,52,52,,
1.02E-05,51,51,,
1.58E-05,52,52,,
1.20E-05,53,53,,
1.15E-05,53,53,,
1.14E-05,51,51,,
1.13E-05,52,52,,
1.88E-05,51,51,,
1.80E-05,50,50,,
1.16E-05,49,49,,
1.14E-05,49,49,,
1.14E-05,46,46,,
1.14E-05,46,46,,
1.12E-05,50,50,,
1.14E-05,52,52,,
1.81E-05,59,59,,
1.30E-05,64,64,,
1.15E-05,63,63,,
1.15E-05,62,62,,
1.16E-05,63,63,,
1.65E-05,63,63,,
1.05E-05,73,73,,
1.00E-05,72,72,,
1.02E-05,68,68,,
1.02E-05,64,64,,
1.25E-05,66,66,,
1.15E-05,66,66,,
1.14E-05,66,66,,
1.03E-05,64,64,,
1.04E-05,62,62,,
1.02E-05,61,61,,
1.02E-05,63,63,,
1.33E-05,61,61,,
1.02E-05,63,63,,
1.14E-05,67,67,,
1.13E-05,66,66,,
