cas operacie,index prvku,dlzka zoznamu,,
1.89E-05,60,83,,
1.88E-05,57,88,,
1.83E-05,1,89,,
1.92E-05,72,87,,
1.90E-05,64,85,,
1.91E-05,54,84,,
1.92E-05,44,85,,
1.86E-05,62,85,,
1.81E-05,74,84,,
1.88E-05,18,89,,
1.83E-05,82,89,,
1.80E-05,3,94,,
1.86E-05,11,93,,
1.85E-05,70,96,,
1.82E-05,6,98,,
1.85E-05,13,97,,
2.05E-05,46,99,,
1.88E-05,21,98,,
6.22E-05,86,99,,
2.03E-05,42,96,,
1.85E-05,78,94,,
1.89E-05,19,93,,
1.81E-05,85,95,,
1.89E-05,22,97,,
1.89E-05,64,96,,
1.88E-05,70,97,,
1.81E-05,13,97,,
1.91E-05,55,96,,
2.49E-05,39,96,,
1.84E-05,89,95,,
2.01E-05,47,94,,
1.87E-05,69,98,,
1.99E-05,51,97,,
1.90E-05,34,98,,
1.89E-05,67,97,,
1.87E-05,22,95,,
1.96E-05,30,93,,
1.83E-05,3,96,,
1.88E-05,68,96,,
1.80E-05,3,95,,
2.16E-05,47,98,,
1.94E-05,74,99,,
2.06E-05,49,100,,
1.88E-05,19,99,,
2.38E-05,50,98,,
1.94E-05,88,98,,
2.04E-05,32,96,,
2.03E-05,58,97,,
2.00E-05,71,100,,
2.05E-05,57,101,,
2.80E-05,58,103,,
1.94E-05,13,102,,
2.42E-05,35,101,,
1.94E-05,66,100,,
2.00E-05,56,103,,
2.32E-05,10,101,,
1.82E-05,8,102,,
1.78E-05,103,104,,
2.20E-05,45,104,,
1.96E-05,85,103,,
2.00E-05,90,106,,
2.35E-05,34,106,,
2.09E-05,50,106,,
2.08E-05,51,108,,
1.87E-05,19,109,,
1.94E-05,91,111,,
2.02E-05,60,110,,
1.82E-05,5,109,,
2.94E-05,53,116,,
2.03E-05,12,114,,
1.87E-05,85,115,,
1.88E-05,98,117,,
2.39E-05,54,116,,
1.92E-05,29,118,,
1.91E-05,81,114,,
1.83E-05,105,111,,
1.91E-05,70,108,,
2.02E-05,77,108,,
1.96E-05,44,114,,
1.97E-05,52,113,,
3.39E-05,68,112,,
2.07E-05,35,110,,
1.97E-05,21,109,,
2.11E-05,99,107,,
1.94E-05,37,108,,
2.79E-05,32,111,,
2.09E-05,54,111,,
2.21E-05,101,109,,
2.03E-05,75,107,,
2.74E-05,82,107,,
8.68E-05,42,106,,
2.04E-05,28,107,,
1.93E-05,91,107,,
2.26E-05,55,111,,
1.91E-05,10,106,,
1.95E-05,16,104,,
2.00E-05,57,109,,
1.96E-05,75,108,,
2.54E-05,21,107,,
1.88E-05,13,105,,
1.95E-05,51,101,,
1.88E-05,14,101,,
1.80E-05,7,100,,
1.88E-05,90,100,,
1.92E-05,68,104,,
1.81E-05,7,103,,
1.95E-05,80,103,,
1.93E-05,70,106,,
1.90E-05,78,105,,
1.89E-05,74,106,,
1.90E-05,93,105,,
1.83E-05,92,107,,
1.78E-05,2,106,,
1.95E-05,43,107,,
1.88E-05,78,103,,
1.90E-05,34,102,,
1.91E-05,74,103,,
1.83E-05,8,107,,
2.19E-05,66,108,,
2.07E-05,99,107,,
1.87E-05,92,108,,
1.89E-05,22,105,,
1.89E-05,9,104,,
1.92E-05,60,104,,
1.85E-05,92,107,,
1.97E-05,37,107,,
2.21E-05,51,104,,
2.57E-05,71,105,,
3.19E-05,102,105,,
2.04E-05,91,107,,
1.92E-05,63,108,,
1.90E-05,72,107,,
1.87E-05,15,104,,
2.10E-05,55,102,,
1.89E-05,97,101,,
3.82E-05,44,100,,
1.85E-05,13,99,,
1.89E-05,66,101,,
2.07E-05,56,102,,
2.06E-05,45,112,,
2.10E-05,53,109,,
1.78E-05,103,108,,
1.93E-05,18,119,,
