cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,,sum,pocet
2.73E-05,20,28,29,,,,
2.44E-05,18,32,33,,,,
1.73E-05,11,36,37,,,,
2.25E-05,39,37,38,,,,
1.73E-05,2,36,37,,,,
1.70E-05,31,26,27,,,,
1.74E-05,32,24,25,,,,
1.71E-05,7,26,27,,,,
1.79E-05,34,24,25,,,,
1.77E-05,26,24,25,,,,
1.70E-05,42,25,26,,,,
1.70E-05,12,24,25,,,,
1.71E-05,20,26,27,,,,
2.34E-05,24,23,24,,,,
1.86E-05,29,23,24,,,,
2.06E-05,38,24,25,,,,
2.38E-05,5,21,22,,,,
1.72E-05,42,20,21,,,,
1.72E-05,42,21,22,,,,
2.08E-05,18,23,24,,,,
2.54E-05,17,22,23,,,,
2.26E-05,17,23,24,,,,
2.27E-05,33,24,25,,,,
1.76E-05,14,25,26,,,,
1.69E-05,31,22,23,,,,
1.70E-05,27,21,22,,,,
1.83E-05,1,20,21,,,,
1.70E-05,6,19,20,,,,
1.71E-05,38,20,21,,,,
1.70E-05,4,20,21,,,,
1.71E-05,25,21,22,,,,
1.69E-05,1,21,22,,,,
1.74E-05,19,22,23,,,,
1.79E-05,35,21,22,,,,
2.58E-05,30,24,25,,,,
1.74E-05,24,28,29,,,,
1.71E-05,10,20,21,,,,
1.71E-05,24,19,20,,,,
1.73E-05,34,21,22,,,,
1.70E-05,36,21,22,,,,
1.90E-05,10,19,20,,,,
1.82E-05,9,22,23,,,,
1.70E-05,19,22,23,,,,
2.39E-05,14,9,10,,,,
3.35E-05,1,11,12,,,,
2.62E-05,40,12,13,,,,
2.97E-05,38,13,14,,,,
2.94E-05,24,14,15,,,,
2.29E-05,6,19,20,,,,
3.71E-05,38,21,22,,,,
3.91E-05,9,20,21,,,,
3.81E-05,17,20,21,,,,
2.47E-05,17,21,22,,,,
2.34E-05,21,22,23,,,,
2.41E-05,6,23,24,,,,
2.21E-05,25,25,26,,,,
3.76E-05,39,28,29,,,,
2.39E-05,21,28,29,,,,
1.81E-05,30,28,29,,,,
1.79E-05,41,28,29,,,,
1.71E-05,34,25,26,,,,
1.72E-05,7,25,26,,,,
1.87E-05,13,30,31,,,,
1.84E-05,25,31,32,,,,
2.86E-05,18,33,34,,,,
1.78E-05,6,34,35,,,,
1.71E-05,17,35,36,,,,
2.27E-05,24,35,36,,,,
4.07E-05,30,36,37,,,,
1.82E-05,34,37,38,,,,
1.79E-05,41,28,29,,,,
1.80E-05,15,29,30,,,,
1.77E-05,32,30,31,,,,
2.79E-05,21,30,31,,,,
1.85E-05,40,32,33,,,,
1.78E-05,1,30,31,,,,
1.80E-05,36,32,33,,,,
3.09E-05,22,34,35,,,,
1.83E-05,16,30,31,,,,
1.78E-05,18,25,26,,,,
1.77E-05,1,24,25,,,,
