cas operacie,cislo,index prvku,dlzka zoznamu,,,sum,pocet
2.58E-05,94,15,175,,,,
2.58E-05,94,122,177,,,,
2.57E-05,95,70,177,,,,
2.46E-05,95,128,182,,,,
2.48E-05,94,135,185,,,,
2.76E-05,92,122,187,,,,
3.13E-05,92,137,192,,,,
2.46E-05,93,55,186,,,,
2.46E-05,94,103,187,,,,
2.89E-05,92,35,190,,,,
2.47E-05,92,172,187,,,,
2.52E-05,92,142,182,,,,
2.62E-05,95,69,182,,,,
2.57E-05,91,114,183,,,,
2.56E-05,93,76,182,,,,
2.49E-05,95,145,185,,,,
2.78E-05,91,154,184,,,,
2.59E-05,92,116,185,,,,
2.45E-05,92,50,176,,,,
2.47E-05,94,77,192,,,,
2.49E-05,92,10,186,,,,
2.45E-05,92,101,190,,,,
3.40E-05,93,126,193,,,,
2.48E-05,91,177,191,,,,
2.46E-05,94,81,195,,,,
2.49E-05,92,187,198,,,,
2.50E-05,91,87,199,,,,
2.44E-05,91,170,201,,,,
2.48E-05,94,102,209,,,,
2.45E-05,93,160,218,,,,
2.55E-05,93,198,217,,,,
2.48E-05,91,185,216,,,,
2.47E-05,91,36,216,,,,
3.39E-05,94,98,214,,,,
2.47E-05,91,28,217,,,,
2.47E-05,91,84,224,,,,
2.46E-05,95,16,240,,,,
2.50E-05,92,120,238,,,,
2.66E-05,95,67,233,,,,
2.66E-05,92,14,233,,,,
3.55E-05,92,153,228,,,,
2.44E-05,91,199,235,,,,
2.47E-05,94,147,230,,,,
2.48E-05,92,110,228,,,,
2.47E-05,91,148,226,,,,
2.90E-05,91,140,220,,,,
2.46E-05,95,173,221,,,,
2.46E-05,95,225,229,,,,
2.45E-05,92,149,229,,,,
2.52E-05,95,173,233,,,,
2.46E-05,91,17,233,,,,
2.45E-05,93,39,238,,,,
2.47E-05,94,64,240,,,,
2.46E-05,93,200,240,,,,
2.47E-05,95,217,238,,,,
2.48E-05,94,124,238,,,,
2.46E-05,94,138,230,,,,
2.47E-05,93,124,231,,,,
2.57E-05,94,205,235,,,,
2.94E-05,93,55,242,,,,
2.47E-05,93,22,247,,,,
2.43E-05,95,104,248,,,,
2.46E-05,92,152,248,,,,
2.49E-05,91,139,246,,,,
2.47E-05,91,21,252,,,,
2.83E-05,91,236,246,,,,
3.84E-05,93,206,237,,,,
2.63E-05,95,182,232,,,,
2.57E-05,94,197,229,,,,
2.47E-05,92,195,238,,,,
2.45E-05,94,211,235,,,,
2.45E-05,92,99,230,,,,
2.48E-05,93,214,232,,,,
2.46E-05,93,43,228,,,,
2.47E-05,91,218,236,,,,
2.90E-05,95,221,233,,,,
4.73E-05,92,105,233,,,,
2.58E-05,94,85,237,,,,
2.53E-05,91,139,241,,,,
2.55E-05,93,47,228,,,,
2.48E-05,91,175,226,,,,
2.46E-05,91,135,213,,,,
2.53E-05,95,204,239,,,,
2.46E-05,91,150,239,,,,
2.46E-05,95,90,239,,,,
2.55E-05,91,40,233,,,,
2.44E-05,92,73,240,,,,
0.0003381,93,221,241,,,,
0.0001174,93,216,239,,,,
2.47E-05,91,91,239,,,,
2.48E-05,94,201,234,,,,
2.58E-05,95,53,232,,,,
2.97E-05,92,116,236,,,,
2.48E-05,93,85,230,,,,
2.49E-05,92,155,221,,,,
2.51E-05,93,104,211,,,,
2.49E-05,91,175,212,,,,
2.63E-05,91,101,202,,,,
2.47E-05,94,27,202,,,,
2.47E-05,93,179,197,,,,
2.46E-05,91,93,204,,,,
2.51E-05,95,27,209,,,,
2.66E-05,93,108,200,,,,
2.48E-05,91,183,203,,,,
2.47E-05,91,180,201,,,,
5.59E-05,95,165,206,,,,
2.47E-05,95,123,203,,,,
2.45E-05,91,124,188,,,,
2.59E-05,93,64,187,,,,
2.50E-05,94,2,188,,,,
2.45E-05,91,99,194,,,,
3.22E-05,93,116,203,,,,
2.46E-05,91,24,197,,,,
2.46E-05,95,124,198,,,,
2.88E-05,94,185,197,,,,
2.44E-05,95,173,195,,,,
2.46E-05,94,8,199,,,,
3.18E-05,93,79,202,,,,
2.95E-05,94,154,204,,,,
2.47E-05,93,197,203,,,,
4.74E-05,91,58,209,,,,
4.51E-05,95,197,209,,,,
4.20E-05,92,159,205,,,,
2.45E-05,92,144,228,,,,
2.53E-05,93,153,216,,,,
2.47E-05,93,79,227,,,,
2.87E-05,95,206,225,,,,
2.48E-05,95,169,226,,,,
2.57E-05,93,115,230,,,,
2.45E-05,91,51,219,,,,
2.98E-05,91,79,216,,,,
3.13E-05,94,95,218,,,,
2.49E-05,91,150,217,,,,
2.57E-05,92,18,217,,,,
