cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,,,
0.0017878,79,79,87,,,,
0.0010924,10,10,80,,,,
0.00168,75,75,77,,,,
0.0004064,12,12,77,,,,
0.0002666,11,11,76,,,,
2.35E-05,0,0,86,,,,
0.0005338,14,14,87,,,,
9.05E-05,3,3,86,,,,
0.0005158,20,20,83,,,,
0.0002864,12,12,85,,,,
6.67E-05,2,2,94,,,,
2.80E-05,0,0,93,,,,
6.82E-05,2,2,93,,,,
0.0007156,31,31,94,,,,
0.0011575,51,51,93,,,,
0.0009657,42,42,92,,,,
0.0001787,7,7,94,,,,
0.0008455,37,37,89,,,,
0.0002683,11,11,84,,,,
0.001994,74,74,83,,,,
0.0015748,69,69,79,,,,
0.0005881,25,25,75,,,,
0.0002665,11,11,71,,,,
0.0001108,4,4,75,,,,
0.0006886,30,30,66,,,,
0.0004852,21,21,69,,,,
0.0002486,10,10,59,,,,
0.0004665,20,20,59,,,,
0.000919,40,40,60,,,,
0.000377,16,16,59,,,,
0.0002712,11,11,60,,,,
0.0003353,14,14,60,,,,
3.08E-05,0,0,61,,,,
0.0011745,51,51,60,,,,
0.0001261,2,2,60,,,,
0.0007843,34,34,61,,,,
0.0001171,4,4,62,,,,
8.94E-05,3,3,63,,,,
0.0024899,43,43,64,,,,
0.0004322,18,18,51,,,,
0.0007883,33,33,50,,,,
0.0004933,21,21,51,,,,
0.0005712,25,25,53,,,,
5.62E-05,1,1,55,,,,
0.000334,14,14,55,,,,
6.75E-05,2,2,48,,,,
0.0001489,4,4,54,,,,
0.0012712,52,52,54,,,,
0.0001117,4,4,47,,,,
0.0003862,16,16,34,,,,
4.52E-05,1,1,34,,,,
0.0002008,8,8,39,,,,
0.0004661,20,20,40,,,,
0.0003562,15,15,51,,,,
0.0009007,39,39,52,,,,
0.0006743,29,29,53,,,,
0.0010291,45,45,51,,,,
0.0003558,15,15,48,,,,
0.0002684,11,11,48,,,,
0.0008729,38,38,46,,,,
0.0002899,12,12,43,,,,
6.76E-05,2,2,44,,,,
0.0002012,8,8,49,,,,
0.0002444,10,10,49,,,,
6.84E-05,2,2,50,,,,
0.0006011,26,26,44,,,,
0.0008229,24,24,43,,,,
0.0007011,17,17,42,,,,
0.0005827,5,5,46,,,,
0.000271,7,7,48,,,,
0.0013302,28,28,48,,,,
0.0016479,36,36,44,,,,
6.66E-05,1,1,47,,,,
0.0009781,26,26,50,,,,
0.0001255,3,3,51,,,,
0.0011912,47,47,52,,,,
0.001525,48,48,55,,,,
0.0002993,8,8,53,,,,
0.0003086,8,8,54,,,,
0.0002203,9,9,53,,,,
0.0007518,33,33,65,,,,
0.0059516,41,41,64,,,,
0.0002875,12,12,59,,,,
0.000491,21,21,62,,,,
0.0003539,15,15,59,,,,
0.0003429,10,10,53,,,,
0.0004018,17,17,48,,,,
0.0004678,19,19,50,,,,
0.0002032,5,5,50,,,,
0.0004338,12,12,50,,,,
0.0001591,4,4,49,,,,
0.000582,19,19,46,,,,
0.0001742,3,3,47,,,,
0.0010683,28,28,57,,,,
0.0001271,3,3,55,,,,
0.0006909,16,16,53,,,,
0.0006852,20,20,58,,,,
0.0006993,30,30,60,,,,
0.0001385,5,5,63,,,,
0.0010921,48,48,62,,,,
0.0012018,53,53,63,,,,
