cas operacie,index prvku,dlzka zoznamu,,,sum,pocet
8.80E-05,7,15,,,,
8.44E-05,3,13,,,,
9.38E-05,4,14,,,,
8.41E-05,9,11,,,,
8.34E-05,5,10,,,,
8.33E-05,4,9,,,,
0.0001431,6,10,,,,
8.63E-05,4,10,,,,
8.52E-05,0,10,,,,
8.40E-05,0,8,,,,
0.0001,1,9,,,,
8.32E-05,0,7,,,,
9.17E-05,4,5,,,,
8.41E-05,2,3,,,,
9.53E-05,0,2,,,,
8.36E-05,1,4,,,,
8.37E-05,1,3,,,,
8.39E-05,0,2,,,,
9.19E-05,4,5,,,,
8.39E-05,3,4,,,,
9.41E-05,0,3,,,,
8.41E-05,0,2,,,,
8.37E-05,0,1,,,,
2.47E-05,0,0,,,,
2.49E-05,0,0,,,,
2.46E-05,0,0,,,,
8.44E-05,1,4,,,,
8.54E-05,10,11,,,,
8.39E-05,8,10,,,,
0.0001041,6,8,,,,
8.36E-05,2,6,,,,
9.02E-05,0,4,,,,
9.15E-05,0,5,,,,
8.39E-05,0,6,,,,
8.38E-05,4,5,,,,
8.37E-05,3,5,,,,
9.48E-05,2,4,,,,
8.47E-05,0,7,,,,
8.62E-05,3,7,,,,
9.25E-05,1,9,,,,
8.41E-05,8,10,,,,
9.37E-05,6,8,,,,
9.25E-05,7,11,,,,
8.36E-05,10,14,,,,
8.44E-05,7,14,,,,
8.42E-05,10,14,,,,
9.42E-05,8,12,,,,
8.55E-05,2,11,,,,
9.24E-05,6,11,,,,
8.46E-05,7,9,,,,
8.44E-05,6,8,,,,
8.47E-05,2,8,,,,
8.37E-05,4,7,,,,
8.42E-05,5,6,,,,
8.39E-05,0,5,,,,
0.0001888,1,6,,,,
3.33E-05,0,0,,,,
0.0001176,0,2,,,,
8.55E-05,0,1,,,,
8.51E-05,5,8,,,,
8.48E-05,5,6,,,,
8.66E-05,0,4,,,,
8.43E-05,3,8,,,,
8.39E-05,6,9,,,,
0.000114,3,7,,,,
8.59E-05,0,8,,,,
9.29E-05,4,7,,,,
8.54E-05,2,5,,,,
9.16E-05,4,5,,,,
8.46E-05,3,5,,,,
8.44E-05,3,4,,,,
2.48E-05,0,0,,,,
8.41E-05,2,5,,,,
8.38E-05,2,4,,,,
0.0002903,2,6,,,,
8.36E-05,3,5,,,,
8.33E-05,1,3,,,,
8.46E-05,0,2,,,,
2.72E-05,0,0,,,,
8.79E-05,0,1,,,,
2.58E-05,0,0,,,,
2.49E-05,0,0,,,,
2.52E-05,0,0,,,,
8.62E-05,0,4,,,,
8.53E-05,0,4,,,,
0.0003373,2,3,,,,
8.46E-05,0,6,,,,
8.36E-05,1,7,,,,
8.35E-05,0,8,,,,
8.73E-05,6,13,,,,
8.43E-05,0,14,,,,
8.37E-05,2,17,,,,
8.40E-05,0,24,,,,
9.00E-05,16,26,,,,
8.48E-05,3,24,,,,
8.36E-05,10,26,,,,
9.09E-05,10,25,,,,
8.38E-05,0,24,,,,
8.39E-05,9,28,,,,
8.40E-05,14,28,,,,
8.45E-05,13,27,,,,
8.38E-05,16,25,,,,
8.44E-05,8,23,,,,
8.39E-05,10,25,,,,
8.36E-05,22,25,,,,
0.0001244,0,24,,,,
8.42E-05,5,28,,,,
8.37E-05,15,28,,,,
8.40E-05,2,28,,,,
8.40E-05,1,28,,,,
8.39E-05,20,26,,,,
9.02E-05,12,26,,,,
8.44E-05,16,25,,,,
8.39E-05,18,24,,,,
8.34E-05,11,23,,,,
8.39E-05,21,26,,,,
8.41E-05,11,22,,,,
8.33E-05,22,24,,,,
8.32E-05,5,23,,,,
8.34E-05,3,27,,,,
8.32E-05,16,30,,,,
8.38E-05,23,29,,,,
8.40E-05,30,31,,,,
8.38E-05,17,30,,,,
8.37E-05,28,29,,,,
8.37E-05,21,33,,,,
9.08E-05,24,34,,,,
0.0001783,13,36,,,,
8.52E-05,0,39,,,,
9.05E-05,11,43,,,,
9.04E-05,39,42,,,,
8.91E-05,13,41,,,,
0.0001177,21,41,,,,
8.29E-05,37,42,,,,
8.64E-05,27,44,,,,
8.50E-05,30,42,,,,
8.40E-05,10,41,,,,
8.38E-05,34,41,,,,
8.39E-05,21,40,,,,
8.39E-05,17,39,,,,
8.48E-05,13,40,,,,
9.17E-05,13,38,,,,
8.35E-05,27,37,,,,
8.59E-05,7,34,,,,
9.19E-05,3,33,,,,
9.15E-05,10,35,,,,
8.51E-05,30,34,,,,
8.40E-05,30,32,,,,
8.38E-05,26,32,,,,
8.40E-05,3,33,,,,
8.43E-05,8,32,,,,
8.38E-05,1,30,,,,
8.41E-05,16,28,,,,
8.39E-05,26,27,,,,
8.37E-05,10,25,,,,
8.32E-05,21,24,,,,
8.45E-05,15,27,,,,
8.44E-05,3,27,,,,
8.58E-05,0,30,,,,
8.56E-05,15,29,,,,
8.45E-05,22,37,,,,
8.38E-05,24,39,,,,
8.51E-05,1,36,,,,
8.40E-05,4,39,,,,
8.37E-05,30,38,,,,
8.39E-05,34,38,,,,
8.62E-05,16,38,,,,
8.53E-05,34,36,,,,
9.20E-05,26,36,,,,
8.39E-05,29,46,,,,
