cas operacie,cislo,index prvku,dlzka zoznamu,,,,,,,,
1.74E-05,91,4,9,,,,,0.0000177,94,9,18
1.69E-05,92,0,16,,,,,0.0000173,94,8,18
2.21E-05,95,13,15,,,,,0.0000182,92,11,18
2.05E-05,91,18,20,,,,,0.0000179,91,15,18
1.77E-05,91,10,14,,,,,0.0000172,94,2,19
1.75E-05,91,11,14,,,,,0.0000221,91,3,19
1.78E-05,92,16,18,,,,,0.0000178,92,17,19
1.77E-05,95,4,17,,,,,0.0000173,93,7,19
1.75E-05,94,10,26,,,,,0.0000186,93,5,19
1.81E-05,91,11,24,,,,,0.0000246,95,7,19
1.74E-05,95,8,25,,,,,0.0000174,95,8,19
1.83E-05,94,22,26,,,,,0.0000175,92,11,19
1.76E-05,91,15,30,,,,,0.0000193,92,9,19
1.88E-05,91,13,26,,,,,0.0000217,93,6,19
2.19E-05,92,15,31,,,,,0.0000174,91,5,19
1.83E-05,91,29,39,,,,,0.0000187,94,5,19
1.76E-05,92,10,53,,,,,0.0000221,91,13,19
2.26E-05,94,32,49,,,,,0.0000194,91,1,19
3.32E-05,94,15,33,,,,,0.0000219,95,0,19
1.79E-05,91,13,33,,,,,0.0000187,95,10,19
1.79E-05,92,20,36,,,,,0.0000197,92,6,20
1.87E-05,92,33,37,,,,,0.0000176,95,10,20
1.80E-05,93,27,40,,,,,0.0000176,95,16,20
1.71E-05,95,0,35,,,,,0.0000307,92,13,20
1.85E-05,95,30,33,,,,,0.0000205,91,18,20
1.76E-05,94,15,32,,,,,0.000018,94,15,20
1.73E-05,92,0,26,,,,,0.0000179,92,4,20
1.74E-05,91,9,22,,,,,0.0000178,91,8,20
1.76E-05,91,9,14,,,,,0.000022,95,18,20
1.76E-05,93,0,13,,,,,0.0000176,94,3,20
1.81E-05,95,1,12,,,,,0.0000338,92,13,20
1.76E-05,95,11,14,,,,,0.0000176,93,18,20
1.72E-05,92,4,6,,,,,0.0000183,94,0,20
2.12E-05,93,5,7,,,,,0.0000238,94,10,21
1.90E-05,93,2,5,,,,,0.0000171,91,2,21
1.89E-05,94,7,10,,,,,0.0000188,93,11,21
1.82E-05,94,4,8,,,,,0.000018,92,10,21
1.83E-05,92,8,13,,,,,0.0000178,93,13,21
