cas operacie,cislo na indexe,index prvku,dlzka zoznamu,,,,,,,,
1.72E-05,22,8,55,,,,,0.0000177,34,21,25
1.95E-05,36,43,45,,,,,0.0000175,29,7,25
1.83E-05,20,6,40,,,,,0.0000175,39,15,25
1.87E-05,26,29,40,,,,,0.0000208,2,4,25
1.86E-05,43,13,42,,,,,0.0000183,91,15,25
1.80E-05,14,16,52,,,,,0.0000171,93,7,25
1.78E-05,43,22,53,,,,,0.0000182,16,13,26
1.89E-05,10,45,57,,,,,0.0000175,21,20,26
1.84E-05,18,6,59,,,,,0.0000288,12,15,26
1.74E-05,14,12,55,,,,,0.0000175,38,11,26
1.76E-05,10,26,50,,,,,0.0000271,13,21,26
1.82E-05,9,36,52,,,,,0.0000172,8,4,26
1.88E-05,42,55,57,,,,,0.000017,37,3,26
1.71E-05,31,1,54,,,,,0.0000181,6,18,26
1.87E-05,95,8,49,,,,,0.0000175,16,18,26
1.69E-05,39,1,36,,,,,0.0000173,1,4,26
2.37E-05,44,4,28,,,,,0.0000347,95,23,27
1.72E-05,43,3,33,,,,,0.0000182,32,21,27
1.80E-05,12,20,24,,,,,0.0000178,41,24,27
2.44E-05,12,8,12,,,,,0.0000174,30,19,27
1.68E-05,7,2,9,,,,,0.000025,36,13,27
1.70E-05,12,1,3,,,,,0.0000183,15,9,27
1.71E-05,20,0,2,,,,,0.0000172,94,8,27
1.73E-05,36,0,2,,,,,0.0000167,13,1,27
1.70E-05,10,0,2,,,,,0.0000177,39,17,27
1.70E-05,15,4,7,,,,,0.000017,38,4,27
1.72E-05,1,0,6,,,,,0.0000175,23,18,27
3.61E-05,33,3,6,,,,,0.0000171,38,0,27
1.70E-05,34,0,5,,,,,0.0000187,28,14,27
1.72E-05,34,0,6,,,,,0.0000175,41,18,27
1.69E-05,41,3,5,,,,,0.0000177,27,22,27
1.75E-05,6,5,16,,,,,0.000018,1,9,28
1.70E-05,16,0,11,,,,,0.0000172,1,7,28
2.59E-05,36,0,11,,,,,0.0000376,39,17,28
1.70E-05,25,1,8,,,,,0.0000176,16,16,28
1.72E-05,25,9,12,,,,,0.0000228,33,22,28
2.49E-05,92,11,13,,,,,0.0000177,8,21,28
1.72E-05,45,0,9,,,,,0.0000173,18,10,28
2.85E-05,40,4,10,,,,,0.0000237,44,4,28
1.71E-05,45,9,11,,,,,0.0000175,18,19,28
1.71E-05,3,6,13,,,,,0.0000173,15,0,28
1.73E-05,11,6,13,,,,,0.0000177,19,24,28
1.75E-05,91,15,24,,,,,0.0000178,41,15,28
1.70E-05,37,3,26,,,,,0.0000192,39,21,28
1.75E-05,18,19,28,,,,,0.0000192,41,18,28
1.81E-05,30,17,23,,,,,0.000024,92,14,29
1.69E-05,21,1,14,,,,,0.0000172,35,8,29
1.87E-05,4,11,21,,,,,0.000017,3,10,29
1.84E-05,40,16,20,,,,,0.0000171,5,5,29
2.64E-05,19,2,21,,,,,0.0000182,8,2,29
1.89E-05,27,18,23,,,,,0.0000269,21,25,29
1.78E-05,26,13,30,,,,,0.000017,23,4,29
1.74E-05,30,19,27,,,,,0.0000179,40,22,29
1.71E-05,93,4,14,,,,,0.0000178,25,18,29
1.72E-05,40,8,17,,,,,0.0000173,93,14,29
1.71E-05,43,4,13,,,,,0.0000175,32,21,29
1.71E-05,1,3,11,,,,,0.0000169,30,0,29
1.87E-05,30,2,8,,,,,0.0000181,20,16,29
1.73E-05,19,10,14,,,,,0.000018,93,4,29
1.72E-05,43,6,21,,,,,0.0000176,91,19,29
1.73E-05,91,11,21,,,,,0.0000188,5,21,30
1.74E-05,91,7,16,,,,,0.0000178,26,13,30
1.71E-05,29,7,18,,,,,0.000017,7,4,30
1.72E-05,42,4,15,,,,,0.0000172,91,7,30
1.72E-05,35,4,7,,,,,0.0000176,92,20,30
1.71E-05,5,4,9,,,,,0.0000172,94,9,30
1.74E-05,37,4,9,,,,,0.0000172,21,6,30
1.72E-05,24,4,9,,,,,0.0000177,42,24,30
1.70E-05,20,5,7,,,,,0.0000177,7,23,30
1.73E-05,1,4,6,,,,,0.0000191,38,10,30
