cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,,,,,,,
1.10E-06,9,9,92,,,,,0.0000009,6,6,12
9.00E-07,8,8,91,,,,,0.0000006,2,2,12
2.60E-06,10,10,89,,,,,0.000001,7,7,12
1.00E-06,6,6,81,,,,,0.0000005,2,2,12
2.30E-06,23,23,78,,,,,0.000001,7,7,12
6.00E-07,1,1,77,,,,,0.0000006,1,1,12
2.60E-06,28,28,80,,,,,0.0000013,11,11,12
7.00E-07,5,5,79,,,,,0.0000008,8,8,12
9.00E-07,7,7,79,,,,,0.0000007,3,3,12
2.40E-06,25,25,89,,,,,0.0000005,2,2,12
2.10E-06,25,25,88,,,,,0.0000005,2,2,12
1.20E-06,12,12,87,,,,,0.0000011,6,6,12
1.60E-06,10,10,93,,,,,0.0000008,5,5,12
4.50E-06,53,53,96,,,,,0.000001,7,7,12
1.80E-06,19,19,96,,,,,0.0000007,5,5,12
1.40E-06,12,12,95,,,,,0.0000006,4,4,12
4.00E-06,52,52,90,,,,,0.0000008,6,6,12
3.30E-06,35,35,87,,,,,0.0000012,11,11,12
1.30E-06,10,10,87,,,,,0.0000011,9,9,12
1.60E-06,12,12,85,,,,,0.0000006,3,3,12
6.00E-07,3,3,81,,,,,0.0000011,10,10,12
1.20E-06,11,11,77,,,,,0.0000007,4,4,12
3.70E-06,47,47,75,,,,,0.0000004,1,1,12
1.00E-06,8,8,75,,,,,0.0000011,10,10,12
4.00E-06,44,44,80,,,,,0.0000011,2,2,12
4.00E-07,0,0,80,,,,,0.0000008,5,5,12
7.00E-07,2,2,71,,,,,0.0000011,11,11,12
2.50E-06,30,30,71,,,,,0.0000014,10,10,12
2.80E-06,17,17,82,,,,,0.0000008,6,6,12
6.60E-06,78,78,81,,,,,0.0000018,9,9,13
2.20E-06,24,24,84,,,,,0.0000009,6,6,13
8.00E-07,0,0,92,,,,,0.0000004,1,1,13
3.50E-06,43,43,90,,,,,0.0000009,6,6,13
9.00E-07,6,6,90,,,,,0.0000011,9,9,13
2.30E-06,29,29,89,,,,,0.0000008,4,4,13
1.80E-06,21,21,94,,,,,0.0000008,6,6,13
1.20E-06,10,10,92,,,,,0.0000007,4,4,13
1.60E-06,13,13,95,,,,,0.000001,5,5,13
