cas operacie,index prvku,dlzka zoznamu,,
2.18E-05,79,79,,
2.04E-05,82,82,,
2.08E-05,87,87,,
2.15E-05,89,89,,
2.67E-05,93,93,,
2.13E-05,93,93,,
2.07E-05,93,93,,
2.06E-05,91,91,,
2.07E-05,88,88,,
2.05E-05,85,85,,
2.21E-05,87,87,,
0.0001758,88,88,,
2.19E-05,87,87,,
2.07E-05,85,85,,
2.04E-05,86,86,,
2.25E-05,92,92,,
2.07E-05,92,92,,
2.38E-05,92,92,,
2.98E-05,89,89,,
2.07E-05,89,89,,
2.12E-05,92,92,,
2.10E-05,94,94,,
2.07E-05,96,96,,
2.12E-05,97,97,,
2.08E-05,96,96,,
2.10E-05,94,94,,
2.07E-05,94,94,,
2.20E-05,94,94,,
2.18E-05,93,93,,
2.15E-05,95,95,,
2.18E-05,95,95,,
2.51E-05,93,93,,
2.23E-05,92,92,,
4.35E-05,90,90,,
4.74E-05,89,89,,
2.41E-05,89,89,,
2.15E-05,91,91,,
9.01E-05,90,90,,
3.76E-05,90,90,,
2.41E-05,94,94,,
2.13E-05,97,97,,
3.13E-05,103,103,,
2.27E-05,99,99,,
2.15E-05,100,100,,
2.13E-05,99,99,,
2.10E-05,104,104,,
2.12E-05,105,105,,
2.11E-05,103,103,,
3.13E-05,108,108,,
3.03E-05,107,107,,
2.77E-05,106,106,,
2.46E-05,105,105,,
3.12E-05,104,104,,
3.21E-05,102,102,,
2.54E-05,101,101,,
3.12E-05,98,98,,
2.23E-05,97,97,,
2.22E-05,97,97,,
2.17E-05,98,98,,
2.22E-05,95,95,,
2.21E-05,94,94,,
2.31E-05,93,93,,
2.09E-05,90,90,,
2.06E-05,91,91,,
2.06E-05,92,92,,
2.08E-05,90,90,,
2.06E-05,90,90,,
2.90E-05,91,91,,
2.09E-05,90,90,,
2.06E-05,89,89,,
2.31E-05,87,87,,
2.08E-05,85,85,,
2.07E-05,87,87,,
2.05E-05,85,85,,
2.16E-05,81,81,,
2.19E-05,80,80,,
2.83E-05,79,79,,
2.21E-05,78,78,,
2.23E-05,76,76,,
2.15E-05,75,75,,
2.28E-05,77,77,,
2.04E-05,79,79,,
2.03E-05,79,79,,
2.08E-05,78,78,,
2.82E-05,80,80,,
2.01E-05,77,77,,
2.25E-05,83,83,,
2.22E-05,88,88,,
2.10E-05,87,87,,
2.07E-05,88,88,,
2.20E-05,86,86,,
2.17E-05,85,85,,
2.71E-05,87,87,,
2.10E-05,92,92,,
2.58E-05,91,91,,
2.23E-05,91,91,,
2.95E-05,90,90,,
2.19E-05,91,91,,
3.12E-05,91,91,,
3.27E-05,96,96,,
2.13E-05,101,101,,
2.11E-05,99,99,,
2.10E-05,97,97,,
2.10E-05,96,96,,
2.10E-05,96,96,,
2.82E-05,99,99,,
2.22E-05,97,97,,
2.22E-05,96,96,,
2.37E-05,95,95,,
2.94E-05,96,96,,
2.22E-05,96,96,,
