cas operacie,vybrane cislo,velkost frontu,,,
3.00E-07,18,353,,,
3.00E-07,23,353,,,
0.0001882,14,352,,,
3.00E-07,21,353,,,
3.00E-07,7,354,,,
3.00E-07,24,353,,,
3.00E-07,7,353,,,
3.00E-07,5,352,,,
3.00E-07,20,352,,,
2.00E-07,43,358,,,
3.00E-07,13,357,,,
3.00E-07,17,361,,,
3.00E-07,44,362,,,
3.00E-07,16,362,,,
4.00E-07,3,361,,,
3.00E-07,34,362,,,
3.00E-07,27,364,,,
2.00E-07,6,363,,,
2.00E-07,48,362,,,
3.00E-07,1,362,,,
3.00E-07,1,364,,,
3.00E-07,35,365,,,
3.00E-07,23,365,,,
3.00E-07,22,366,,,
4.00E-07,23,365,,,
3.00E-07,26,365,,,
3.00E-07,4,365,,,
3.00E-07,15,364,,,
4.00E-07,9,366,,,
3.00E-07,15,366,,,
4.00E-07,39,365,,,
3.00E-07,36,364,,,
2.00E-07,33,367,,,
2.00E-07,38,366,,,
3.00E-07,13,365,,,
3.00E-07,16,364,,,
3.00E-07,6,367,,,
3.00E-07,39,369,,,
3.00E-07,35,368,,,
2.00E-07,15,369,,,
3.00E-07,48,368,,,
3.00E-07,9,367,,,
3.00E-07,36,373,,,
3.00E-07,1,373,,,
3.00E-07,8,373,,,
2.00E-07,29,373,,,
3.00E-07,22,372,,,
3.00E-07,17,372,,,
4.00E-07,29,372,,,
4.00E-07,10,371,,,
4.00E-07,23,370,,,
3.00E-07,29,369,,,
3.00E-07,1,368,,,
3.00E-07,34,371,,,
3.00E-07,19,370,,,
3.00E-07,20,369,,,
2.00E-07,12,370,,,
3.00E-07,32,369,,,
3.00E-07,31,373,,,
3.00E-07,43,376,,,
3.00E-07,16,376,,,
3.00E-07,29,378,,,
3.00E-07,4,378,,,
3.00E-07,3,380,,,
2.00E-07,48,379,,,
3.00E-07,43,379,,,
3.00E-07,21,379,,,
3.00E-07,17,379,,,
3.00E-07,13,378,,,
0.0002053,46,377,,,
4.00E-07,39,376,,,
3.00E-07,21,377,,,
3.00E-07,21,376,,,
3.00E-07,18,376,,,
3.00E-07,12,378,,,
3.00E-07,13,381,,,
3.00E-07,44,380,,,
2.00E-07,2,379,,,
3.00E-07,31,380,,,
3.00E-07,19,379,,,
3.00E-07,5,378,,,
3.00E-07,7,378,,,
3.00E-07,10,380,,,
3.00E-07,13,383,,,
3.00E-07,2,382,,,
4.00E-07,44,381,,,
3.00E-07,17,380,,,
3.00E-07,49,381,,,
5.00E-07,9,383,,,
4.00E-07,1,382,,,
4.00E-07,35,384,,,
3.00E-07,4,383,,,
3.00E-07,37,383,,,
3.00E-07,47,382,,,
5.00E-07,17,383,,,
3.00E-07,48,382,,,
4.00E-07,12,388,,,
3.00E-07,48,391,,,
3.00E-07,6,390,,,
3.00E-07,13,391,,,
3.00E-07,33,391,,,
3.00E-07,38,392,,,
3.00E-07,2,391,,,
3.00E-07,1,390,,,
3.00E-07,28,389,,,
3.00E-07,12,388,,,
3.00E-07,32,389,,,
3.00E-07,37,391,,,
3.00E-07,49,391,,,
3.00E-07,31,392,,,
4.00E-07,26,391,,,
3.00E-07,45,392,,,
3.00E-07,4,393,,,
3.00E-07,6,392,,,
3.00E-07,3,394,,,
3.00E-07,39,393,,,
3.00E-07,4,393,,,
4.00E-07,37,396,,,
2.00E-07,47,395,,,
3.00E-07,32,398,,,
3.00E-07,45,397,,,
3.00E-07,7,397,,,
3.00E-07,32,398,,,
3.00E-07,15,398,,,
3.00E-07,11,400,,,
3.00E-07,21,399,,,
0.0002257,43,398,,,
3.00E-07,21,401,,,
3.00E-07,46,400,,,
2.00E-07,48,399,,,
4.00E-07,47,398,,,
3.00E-07,15,400,,,
3.00E-07,13,399,,,
3.00E-07,50,398,,,
3.00E-07,2,397,,,
4.00E-07,48,396,,,
3.00E-07,10,395,,,
3.00E-07,16,396,,,
4.00E-07,49,401,,,
4.00E-07,42,400,,,
4.00E-07,12,399,,,
3.00E-07,16,398,,,
3.00E-07,48,399,,,
3.00E-07,36,398,,,
4.00E-07,48,405,,,
3.00E-07,48,411,,,
2.00E-07,35,411,,,
3.00E-07,33,411,,,
3.00E-07,34,410,,,
3.00E-07,42,409,,,
2.00E-07,29,408,,,
3.00E-07,45,407,,,
3.00E-07,15,408,,,
4.00E-07,20,412,,,
3.00E-07,44,412,,,
3.00E-07,44,412,,,
4.00E-07,42,416,,,
4.00E-07,46,416,,,
4.00E-07,8,419,,,
3.00E-07,28,419,,,
3.00E-07,33,419,,,
3.00E-07,17,422,,,
4.00E-07,30,423,,,
3.00E-07,2,422,,,
3.00E-07,2,421,,,
3.00E-07,13,423,,,
4.00E-07,23,422,,,
2.00E-07,30,422,,,
5.00E-07,31,427,,,
4.00E-07,42,427,,,
3.00E-07,14,427,,,
3.00E-07,18,426,,,
3.00E-07,34,428,,,
4.00E-07,22,427,,,
