cas operacie,cislo,index prvku,dlzka zoznamu,,sum,pocet
2.46E-05,78,1,19,,,
2.47E-05,82,11,19,,,
2.47E-05,86,8,16,,,
3.19E-05,73,7,10,,,
2.48E-05,75,7,12,,,
2.98E-05,90,3,10,,,
2.46E-05,81,8,10,,,
2.49E-05,90,4,9,,,
3.06E-05,75,5,13,,,
2.47E-05,80,7,11,,,
2.47E-05,82,5,11,,,
2.45E-05,71,3,13,,,
2.48E-05,72,2,12,,,
2.46E-05,79,4,12,,,
3.00E-05,76,0,9,,,
2.47E-05,78,2,9,,,
2.46E-05,73,0,5,,,
2.47E-05,81,0,4,,,
2.47E-05,78,1,7,,,
2.54E-05,74,0,2,,,
2.48E-05,83,0,1,,,
2.49E-05,86,0,1,,,
2.51E-05,75,0,2,,,
2.62E-05,87,0,3,,,
9.90E-05,89,1,4,,,
2.88E-05,74,0,2,,,
2.47E-05,83,0,1,,,
2.45E-05,88,0,2,,,
2.46E-05,83,0,2,,,
2.46E-05,78,0,2,,,
2.46E-05,83,0,2,,,
2.47E-05,77,1,3,,,
2.46E-05,74,0,2,,,
2.52E-05,74,0,2,,,
2.61E-05,75,0,4,,,
2.47E-05,85,1,3,,,
2.47E-05,90,0,2,,,
2.48E-05,84,0,2,,,
2.48E-05,89,0,2,,,
2.55E-05,81,0,2,,,
2.47E-05,80,0,2,,,
2.47E-05,71,0,1,,,
2.45E-05,72,0,1,,,
2.46E-05,84,2,4,,,
2.45E-05,87,3,5,,,
2.46E-05,73,0,2,,,
2.45E-05,86,0,3,,,
2.86E-05,87,1,3,,,
2.49E-05,78,0,2,,,
2.45E-05,74,0,2,,,
2.85E-05,82,0,2,,,
2.49E-05,86,0,2,,,
2.49E-05,90,1,4,,,
2.46E-05,72,6,8,,,
2.45E-05,84,0,3,,,
2.47E-05,80,0,4,,,
3.92E-05,86,0,3,,,
2.55E-05,82,2,5,,,
2.55E-05,90,0,5,,,
2.44E-05,74,0,5,,,
