cas operacie,index prvku,dlzka zoznamu,,,sum,pocet
2.60E-05,17,17,,,,
2.58E-05,15,15,,,,
2.47E-05,16,16,,,,
2.57E-05,15,15,,,,
2.50E-05,13,13,,,,
2.44E-05,14,14,,,,
2.66E-05,14,14,,,,
2.45E-05,15,15,,,,
2.47E-05,13,13,,,,
2.51E-05,10,10,,,,
2.47E-05,14,14,,,,
2.82E-05,16,16,,,,
2.44E-05,13,13,,,,
2.46E-05,16,16,,,,
2.50E-05,15,15,,,,
2.72E-05,15,15,,,,
2.65E-05,16,16,,,,
2.51E-05,18,18,,,,
2.47E-05,18,18,,,,
2.47E-05,18,18,,,,
2.48E-05,20,20,,,,
2.50E-05,19,19,,,,
2.50E-05,18,18,,,,
2.49E-05,21,21,,,,
3.00E-05,18,18,,,,
2.50E-05,23,23,,,,
2.46E-05,21,21,,,,
2.43E-05,19,19,,,,
2.50E-05,21,21,,,,
2.49E-05,17,17,,,,
2.48E-05,16,16,,,,
2.48E-05,16,16,,,,
2.49E-05,18,18,,,,
2.52E-05,17,17,,,,
2.49E-05,18,18,,,,
2.45E-05,20,20,,,,
2.48E-05,27,27,,,,
2.45E-05,27,27,,,,
2.49E-05,26,26,,,,
2.44E-05,24,24,,,,
2.45E-05,23,23,,,,
3.08E-05,24,24,,,,
2.44E-05,23,23,,,,
2.54E-05,23,23,,,,
3.13E-05,22,22,,,,
2.47E-05,25,25,,,,
3.09E-05,23,23,,,,
4.30E-05,24,24,,,,
2.47E-05,33,33,,,,
2.79E-05,32,32,,,,
2.76E-05,33,33,,,,
2.56E-05,32,32,,,,
3.03E-05,32,32,,,,
2.50E-05,34,34,,,,
2.47E-05,35,35,,,,
3.15E-05,36,36,,,,
2.66E-05,36,36,,,,
2.59E-05,36,36,,,,
2.51E-05,35,35,,,,
2.47E-05,37,37,,,,
2.47E-05,36,36,,,,
2.50E-05,33,33,,,,
2.50E-05,34,34,,,,
2.47E-05,34,34,,,,
3.18E-05,35,35,,,,
3.21E-05,34,34,,,,
2.58E-05,32,32,,,,
2.46E-05,33,33,,,,
2.48E-05,32,32,,,,
2.46E-05,34,34,,,,
2.50E-05,37,37,,,,
2.47E-05,38,38,,,,
2.47E-05,42,42,,,,
2.47E-05,41,41,,,,
2.46E-05,40,40,,,,
4.14E-05,41,41,,,,
2.48E-05,42,42,,,,
2.45E-05,39,39,,,,
2.47E-05,39,39,,,,
2.49E-05,41,41,,,,
2.49E-05,48,48,,,,
2.47E-05,51,51,,,,
3.09E-05,52,52,,,,
2.48E-05,52,52,,,,
3.04E-05,50,50,,,,
2.58E-05,49,49,,,,
2.48E-05,50,50,,,,
2.49E-05,48,48,,,,
2.49E-05,47,47,,,,
2.74E-05,46,46,,,,
2.57E-05,45,45,,,,
2.59E-05,44,44,,,,
2.63E-05,45,45,,,,
2.50E-05,43,43,,,,
2.47E-05,42,42,,,,
2.59E-05,41,41,,,,
3.00E-05,55,55,,,,
3.14E-05,54,54,,,,
2.59E-05,55,55,,,,
2.47E-05,57,57,,,,
2.47E-05,59,59,,,,
2.49E-05,60,60,,,,
2.99E-05,59,59,,,,
3.38E-05,60,60,,,,
3.26E-05,58,58,,,,
3.24E-05,57,57,,,,
3.09E-05,56,56,,,,
3.41E-05,61,61,,,,
3.46E-05,60,60,,,,
2.50E-05,63,63,,,,
2.46E-05,62,62,,,,
2.46E-05,61,61,,,,
2.64E-05,61,61,,,,
2.47E-05,63,63,,,,
2.49E-05,64,64,,,,
2.51E-05,66,66,,,,
2.47E-05,65,65,,,,
2.47E-05,63,63,,,,
2.47E-05,62,62,,,,
2.50E-05,65,65,,,,
3.99E-05,72,72,,,,
2.49E-05,76,76,,,,
2.49E-05,77,77,,,,
2.49E-05,77,77,,,,
2.48E-05,76,76,,,,
3.15E-05,73,73,,,,
0.0001383,74,74,,,,
2.49E-05,74,74,,,,
2.50E-05,74,74,,,,
2.50E-05,80,80,,,,
2.45E-05,76,76,,,,
2.68E-05,79,79,,,,
0.0002007,81,81,,,,
2.46E-05,81,81,,,,
2.48E-05,82,82,,,,
2.45E-05,81,81,,,,
2.47E-05,78,78,,,,
2.50E-05,76,76,,,,
2.49E-05,75,75,,,,
2.46E-05,76,76,,,,
2.49E-05,73,73,,,,
2.46E-05,72,72,,,,
2.76E-05,72,72,,,,
2.53E-05,74,74,,,,
2.46E-05,72,72,,,,
2.48E-05,69,69,,,,
2.47E-05,68,68,,,,
2.47E-05,66,66,,,,
2.48E-05,67,67,,,,
2.61E-05,66,66,,,,
