cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,sum,pocet
8.49E-05,28,22,29,,,
9.11E-05,33,9,29,,,
8.45E-05,33,6,30,,,
8.40E-05,17,20,31,,,
8.48E-05,34,16,33,,,
8.38E-05,13,16,30,,,
8.40E-05,9,22,28,,,
8.31E-05,2,9,27,,,
8.39E-05,4,1,26,,,
8.44E-05,32,14,28,,,
8.45E-05,4,7,30,,,
8.33E-05,21,12,34,,,
8.50E-05,31,20,33,,,
8.84E-05,34,25,36,,,
8.32E-05,19,29,35,,,
8.36E-05,1,13,36,,,
8.34E-05,28,21,36,,,
9.02E-05,31,33,38,,,
8.43E-05,6,7,38,,,
8.49E-05,35,35,39,,,
8.38E-05,33,38,41,,,
8.36E-05,32,32,37,,,
8.41E-05,33,29,38,,,
8.61E-05,2,21,29,,,
8.42E-05,20,16,29,,,
8.40E-05,23,24,30,,,
9.02E-05,33,19,32,,,
8.60E-05,4,26,33,,,
8.47E-05,30,26,33,,,
8.45E-05,31,14,34,,,
8.59E-05,34,3,34,,,
8.35E-05,12,1,35,,,
8.35E-05,23,8,34,,,
8.36E-05,32,19,31,,,
8.37E-05,2,27,31,,,
9.31E-05,4,16,33,,,
8.49E-05,18,8,30,,,
8.85E-05,10,0,29,,,
8.59E-05,12,18,27,,,
8.45E-05,13,13,26,,,
8.43E-05,31,18,23,,,
8.45E-05,8,11,24,,,
0.0001471,35,18,21,,,
8.38E-05,4,10,16,,,
8.60E-05,7,3,17,,,
8.37E-05,20,15,17,,,
0.0002389,28,6,17,,,
8.51E-05,8,7,17,,,
8.81E-05,9,5,14,,,
8.32E-05,6,11,15,,,
8.32E-05,31,14,16,,,
8.42E-05,17,5,16,,,
8.35E-05,29,5,12,,,
8.41E-05,26,8,11,,,
8.94E-05,18,3,16,,,
0.0001257,6,12,17,,,
8.35E-05,29,9,14,,,
8.29E-05,31,9,16,,,
8.36E-05,24,5,17,,,
8.38E-05,3,0,14,,,
8.35E-05,27,6,15,,,
8.46E-05,30,11,18,,,
8.32E-05,9,16,19,,,
8.65E-05,3,0,19,,,
8.56E-05,7,2,22,,,
8.44E-05,18,9,20,,,
8.68E-05,23,12,19,,,
8.58E-05,25,4,19,,,
8.33E-05,30,17,22,,,
8.51E-05,1,6,21,,,
8.68E-05,6,18,23,,,
8.41E-05,21,12,24,,,
8.39E-05,23,11,24,,,
8.49E-05,28,11,21,,,
8.38E-05,17,12,22,,,
0.0001599,29,9,17,,,
8.44E-05,14,8,19,,,
8.46E-05,10,5,20,,,
8.36E-05,4,1,21,,,
8.36E-05,28,0,22,,,
8.34E-05,17,1,24,,,
0.0001026,20,11,27,,,
8.32E-05,20,26,28,,,
8.33E-05,32,19,28,,,
8.55E-05,24,20,25,,,
0.000109,18,6,25,,,
8.31E-05,23,3,24,,,
8.41E-05,5,6,24,,,
8.37E-05,11,4,24,,,
8.32E-05,9,20,27,,,
8.58E-05,27,7,28,,,
8.48E-05,4,8,24,,,
8.40E-05,24,3,24,,,
8.77E-05,19,4,24,,,
8.42E-05,9,18,27,,,
9.48E-05,13,19,28,,,
8.39E-05,25,10,30,,,
8.40E-05,11,11,31,,,
8.36E-05,3,21,34,,,
8.38E-05,5,27,33,,,
8.39E-05,24,0,35,,,
8.86E-05,4,24,37,,,
8.52E-05,6,6,36,,,
8.37E-05,6,28,36,,,
8.36E-05,28,18,38,,,
8.44E-05,24,28,35,,,
8.39E-05,31,0,35,,,
8.42E-05,14,3,36,,,
8.48E-05,11,13,35,,,
8.42E-05,2,0,36,,,
8.38E-05,32,21,35,,,
8.37E-05,35,20,35,,,
8.50E-05,35,18,38,,,
8.39E-05,25,21,38,,,
8.37E-05,19,30,39,,,
8.40E-05,24,12,41,,,
8.39E-05,30,14,44,,,
8.36E-05,19,14,45,,,
8.42E-05,11,14,45,,,
9.34E-05,9,10,42,,,
8.42E-05,35,19,44,,,
8.39E-05,18,25,42,,,
8.39E-05,32,22,43,,,
8.38E-05,10,4,44,,,
8.44E-05,28,5,47,,,
8.42E-05,21,16,48,,,
8.37E-05,33,35,49,,,
8.37E-05,13,28,49,,,
8.38E-05,10,17,49,,,
8.41E-05,5,50,52,,,
8.46E-05,10,23,50,,,
8.49E-05,1,3,45,,,
8.40E-05,10,34,44,,,
8.44E-05,27,13,46,,,
8.45E-05,9,17,48,,,
8.41E-05,15,19,51,,,
8.39E-05,16,42,52,,,
8.38E-05,34,18,55,,,
8.82E-05,19,22,55,,,
8.41E-05,31,52,55,,,
8.37E-05,31,13,58,,,
8.32E-05,27,44,57,,,
