cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,sum,pocet,
8.45E-05,35,0,58,,,,
8.44E-05,7,0,57,,,,
8.47E-05,32,0,56,,,,
8.46E-05,21,0,53,,,,
8.49E-05,14,0,56,,,,
8.50E-05,4,0,57,,,,
9.02E-05,15,0,60,,,,
8.52E-05,30,0,61,,,,
9.64E-05,34,0,61,,,,
9.38E-05,6,0,62,,,,
8.48E-05,9,0,61,,,,
8.64E-05,28,0,63,,,,
8.40E-05,24,0,60,,,,
8.49E-05,28,0,59,,,,
8.42E-05,16,0,56,,,,
8.42E-05,11,0,57,,,,
8.49E-05,22,0,57,,,,
8.38E-05,7,0,57,,,,
8.29E-05,28,0,59,,,,
8.35E-05,24,0,63,,,,
8.48E-05,29,0,65,,,,
8.58E-05,22,0,63,,,,
0.0002154,16,0,60,,,,
8.41E-05,30,0,59,,,,
8.44E-05,32,0,60,,,,
8.40E-05,7,0,56,,,,
8.40E-05,10,0,57,,,,
8.38E-05,24,0,58,,,,
8.36E-05,19,0,54,,,,
9.10E-05,23,0,53,,,,
8.38E-05,29,0,54,,,,
8.39E-05,31,0,55,,,,
8.46E-05,8,0,54,,,,
8.39E-05,13,0,55,,,,
8.39E-05,17,0,59,,,,
0.000185,33,0,59,,,,
8.64E-05,34,0,60,,,,
9.15E-05,2,0,59,,,,
8.55E-05,12,0,58,,,,
8.40E-05,33,0,60,,,,
9.49E-05,2,0,60,,,,
8.39E-05,1,0,59,,,,
8.37E-05,2,0,59,,,,
0.0002265,27,0,62,,,,
8.44E-05,33,0,63,,,,
8.41E-05,33,0,61,,,,
8.39E-05,23,0,64,,,,
8.42E-05,8,0,60,,,,
8.42E-05,2,0,54,,,,
8.38E-05,9,0,53,,,,
8.41E-05,32,0,44,,,,
8.35E-05,31,0,46,,,,
8.39E-05,10,0,45,,,,
8.67E-05,30,0,45,,,,
8.32E-05,26,0,46,,,,
8.99E-05,8,0,47,,,,
8.43E-05,7,0,49,,,,
8.40E-05,10,0,49,,,,
8.42E-05,11,0,50,,,,
8.35E-05,3,0,49,,,,
0.0001063,22,0,51,,,,
8.45E-05,14,0,51,,,,
0.0001665,10,0,51,,,,
8.55E-05,5,0,51,,,,
8.64E-05,18,0,52,,,,
8.40E-05,13,0,53,,,,
8.43E-05,9,0,56,,,,
8.41E-05,35,0,56,,,,
8.43E-05,10,0,57,,,,
8.38E-05,2,0,58,,,,
8.38E-05,34,0,60,,,,
8.38E-05,4,0,61,,,,
8.30E-05,17,0,64,,,,
8.53E-05,13,0,65,,,,
8.38E-05,8,0,62,,,,
8.53E-05,18,0,60,,,,
8.40E-05,23,0,62,,,,
8.43E-05,9,0,64,,,,
8.38E-05,28,0,68,,,,
9.23E-05,35,0,68,,,,
8.38E-05,10,0,68,,,,
8.40E-05,30,0,67,,,,
8.40E-05,9,0,62,,,,
8.39E-05,4,0,68,,,,
8.37E-05,25,0,67,,,,
8.40E-05,27,0,69,,,,
8.40E-05,11,0,68,,,,
8.37E-05,14,0,68,,,,
8.38E-05,4,0,65,,,,
8.67E-05,7,0,66,,,,
8.55E-05,33,0,63,,,,
8.41E-05,11,0,61,,,,
9.31E-05,27,0,62,,,,
8.53E-05,28,0,63,,,,
8.39E-05,32,0,63,,,,
8.38E-05,4,0,62,,,,
8.37E-05,30,0,64,,,,
0.0001342,28,0,63,,,,
8.55E-05,34,0,64,,,,
8.67E-05,1,0,69,,,,
8.55E-05,28,0,70,,,,
8.45E-05,29,0,68,,,,
8.44E-05,16,0,68,,,,
0.0002883,32,0,68,,,,
8.53E-05,34,0,70,,,,
8.50E-05,6,0,71,,,,
8.45E-05,29,0,71,,,,
0.0001186,30,0,70,,,,
8.43E-05,24,0,70,,,,
8.44E-05,30,0,72,,,,
8.37E-05,8,0,70,,,,
9.38E-05,10,0,70,,,,
8.36E-05,30,0,72,,,,
8.40E-05,1,0,73,,,,
8.44E-05,25,0,74,,,,
8.86E-05,2,0,74,,,,
8.38E-05,13,0,75,,,,
8.52E-05,8,0,74,,,,
8.41E-05,5,0,72,,,,
9.49E-05,3,0,69,,,,
8.44E-05,20,0,69,,,,
8.97E-05,12,0,69,,,,
8.87E-05,31,0,70,,,,
8.37E-05,6,0,70,,,,
8.37E-05,1,0,71,,,,
8.39E-05,15,0,72,,,,
8.42E-05,7,0,77,,,,
8.37E-05,29,0,77,,,,
8.53E-05,21,0,76,,,,
8.90E-05,32,0,78,,,,
8.43E-05,35,0,80,,,,
9.14E-05,31,0,79,,,,
9.03E-05,3,0,77,,,,
8.55E-05,12,0,79,,,,
8.41E-05,27,0,80,,,,
8.54E-05,34,0,81,,,,
8.44E-05,33,0,69,,,,
9.03E-05,32,0,69,,,,
8.41E-05,26,0,58,,,,
8.65E-05,28,0,50,,,,
8.38E-05,12,0,51,,,,
8.53E-05,35,0,36,,,,
8.59E-05,6,0,37,,,,
8.35E-05,24,0,35,,,,
8.38E-05,6,0,35,,,,
8.42E-05,17,0,37,,,,
8.49E-05,18,0,33,,,,
8.38E-05,1,0,34,,,,
8.37E-05,7,0,35,,,,
8.36E-05,35,0,33,,,,
0.0001687,12,0,33,,,,
9.04E-05,22,0,33,,,,
8.39E-05,8,0,34,,,,
8.38E-05,32,0,30,,,,
8.36E-05,30,0,29,,,,
8.38E-05,19,0,29,,,,
9.54E-05,7,0,31,,,,
0.0001,27,0,30,,,,
8.53E-05,22,0,30,,,,
8.34E-05,22,0,29,,,,
8.34E-05,15,0,31,,,,
8.48E-05,1,0,26,,,,
8.41E-05,17,0,29,,,,
8.34E-05,27,0,31,,,,
8.40E-05,4,0,31,,,,
0.0002559,9,0,34,,,,
8.40E-05,14,0,41,,,,
8.35E-05,13,0,42,,,,
8.32E-05,14,0,39,,,,
8.37E-05,32,0,40,,,,
8.44E-05,5,0,40,,,,
8.41E-05,20,0,41,,,,
