cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,,sum,pocet
0.0002986,9,9,20,,,,
0.0001992,8,8,23,,,,
0.0002026,8,8,23,,,,
0.0004251,16,16,23,,,,
0.0004416,19,19,25,,,,
0.0001553,6,6,26,,,,
2.39E-05,0,0,27,,,,
6.72E-05,2,2,25,,,,
2.40E-05,0,0,24,,,,
0.0002688,11,11,23,,,,
0.0003858,16,16,26,,,,
0.0003469,8,8,26,,,,
0.0006804,12,12,33,,,,
0.0007582,26,26,34,,,,
0.0004966,20,20,34,,,,
0.0005322,23,23,35,,,,
0.0001118,4,4,34,,,,
0.0026073,25,25,37,,,,
6.76E-05,2,2,35,,,,
0.0007776,33,33,35,,,,
0.0001563,6,6,35,,,,
0.0001584,6,6,34,,,,
4.69E-05,1,1,34,,,,
0.0005119,22,22,38,,,,
6.73E-05,2,2,40,,,,
0.000514,22,22,42,,,,
0.0001115,4,4,44,,,,
0.0006246,27,27,44,,,,
0.0010014,44,44,45,,,,
0.0002469,10,10,42,,,,
0.0008196,36,36,41,,,,
0.0004686,20,20,42,,,,
2.27E-05,0,0,40,,,,
4.49E-05,1,1,42,,,,
0.0001785,7,7,43,,,,
0.0002679,11,11,43,,,,
0.0007981,35,35,53,,,,
0.0005116,22,22,48,,,,
0.0008442,37,37,47,,,,
0.000495,21,21,44,,,,
0.0004452,19,19,43,,,,
0.0004905,21,21,42,,,,
0.0012237,46,46,48,,,,
0.0003104,13,13,50,,,,
0.0010089,44,44,55,,,,
0.0002221,9,9,55,,,,
0.0007114,31,31,53,,,,
2.28E-05,0,0,58,,,,
0.0003756,16,16,57,,,,
0.0008796,38,38,61,,,,
0.0002656,11,11,60,,,,
0.0009163,38,38,56,,,,
0.000201,8,8,59,,,,
0.0003722,11,11,59,,,,
0.0013229,52,52,64,,,,
0.0007845,34,34,64,,,,
0.0002006,8,8,61,,,,
0.0001307,3,3,62,,,,
0.0001566,6,6,65,,,,
0.0009914,37,37,63,,,,
0.0007227,29,29,63,,,,
0.0004352,18,18,68,,,,
0.0010957,46,46,69,,,,
8.99E-05,3,3,69,,,,
0.0001344,5,5,73,,,,
0.00078,34,34,74,,,,
0.0007667,25,25,76,,,,
0.000564,24,24,75,,,,
6.85E-05,2,2,74,,,,
0.0007761,34,34,75,,,,
0.0002004,8,8,74,,,,
0.000628,27,27,78,,,,
0.000864,38,38,79,,,,
0.0014353,59,59,79,,,,
0.0008743,38,38,82,,,,
0.0008811,38,38,81,,,,
0.0004914,21,21,81,,,,
0.0004879,21,21,82,,,,
0.0002873,12,12,81,,,,
0.0009516,40,40,82,,,,
0.000579,25,25,81,,,,
0.0014487,64,64,85,,,,
0.0007245,24,24,76,,,,
0.0003575,15,15,73,,,,
0.0006019,26,26,76,,,,
0.0003774,16,16,76,,,,
0.0005292,23,23,77,,,,
0.0001337,5,5,75,,,,
0.0003556,15,15,75,,,,
0.0011724,51,51,74,,,,
0.0003105,13,13,73,,,,
0.000156,6,6,73,,,,
0.001105,48,48,72,,,,
0.0008711,38,38,71,,,,
0.0002932,8,8,68,,,,
8.98E-05,3,3,68,,,,
0.0015185,39,39,70,,,,
0.0004019,17,17,70,,,,
0.0001791,7,7,68,,,,
0.000358,15,15,68,,,,
0.0003806,16,16,68,,,,
0.0005381,23,23,67,,,,
4.49E-05,1,1,67,,,,
0.0011418,39,39,63,,,,
0.0002016,8,8,64,,,,
0.0007315,32,32,64,,,,
0.0006942,30,30,64,,,,
0.0011256,48,48,64,,,,
0.0006024,26,26,61,,,,
0.0007169,31,31,60,,,,
0.0007845,34,34,57,,,,
2.26E-05,0,0,59,,,,
0.0003515,15,15,60,,,,
0.0002663,11,11,59,,,,
0.0007379,24,24,59,,,,
3.30E-05,0,0,59,,,,
0.0004683,11,11,59,,,,
0.0010538,45,45,55,,,,
0.0008863,39,39,58,,,,
0.001104,49,49,60,,,,
0.0001114,4,4,60,,,,
0.0010224,45,45,58,,,,
0.0002221,9,9,60,,,,
0.0005591,23,23,61,,,,
0.0006263,27,27,64,,,,
0.000528,21,21,63,,,,
0.0013384,50,50,63,,,,
0.0002895,12,12,63,,,,
2.27E-05,0,0,59,,,,
0.0005871,25,25,59,,,,
0.0005406,23,23,59,,,,
0.0004655,20,20,54,,,,
0.0013523,55,55,56,,,,
0.00049,21,21,55,,,,
0.0005132,22,22,52,,,,
0.0005569,24,24,61,,,,
0.0011562,49,49,58,,,,
0.0011605,49,49,58,,,,
0.0001112,4,4,55,,,,
0.0001119,4,4,55,,,,
0.0007939,25,25,56,,,,
0.0002856,11,11,56,,,,
0.0006843,30,30,59,,,,
0.0005671,24,24,59,,,,
0.0012632,56,56,63,,,,
0.0011488,51,51,65,,,,
0.0009483,42,42,65,,,,
0.0002451,10,10,65,,,,
0.0004448,19,19,56,,,,
0.0010934,48,48,56,,,,
0.00092,40,40,57,,,,
0.0002885,12,12,58,,,,
0.000811,35,35,54,,,,
0.0005225,22,22,54,,,,
0.0012036,51,51,54,,,,
0.0002008,8,8,53,,,,
0.0004482,18,18,53,,,,
0.0002225,9,9,55,,,,
0.0001775,7,7,56,,,,
0.0002891,12,12,59,,,,
0.0012753,40,40,58,,,,
0.0002965,12,12,60,,,,
0.0010059,44,44,63,,,,
4.50E-05,1,1,64,,,,
0.0003653,15,15,56,,,,
