cas operacie,vybrane cislo,velkost frontu,,,
2.40E-05,48,601,,,
3.16E-05,11,606,,,
2.77E-05,37,607,,,
2.77E-05,4,606,,,
2.75E-05,2,605,,,
3.03E-05,24,604,,,
3.43E-05,25,603,,,
2.95E-05,10,603,,,
3.42E-05,18,602,,,
2.46E-05,31,607,,,
2.41E-05,20,607,,,
2.43E-05,25,606,,,
2.40E-05,26,606,,,
3.28E-05,38,617,,,
2.43E-05,7,619,,,
2.40E-05,10,619,,,
2.40E-05,2,620,,,
3.28E-05,32,620,,,
3.26E-05,37,619,,,
3.26E-05,1,618,,,
3.14E-05,31,617,,,
3.10E-05,24,616,,,
3.20E-05,49,617,,,
3.25E-05,11,616,,,
3.22E-05,21,615,,,
3.20E-05,9,615,,,
3.07E-05,50,614,,,
3.19E-05,12,613,,,
3.29E-05,8,612,,,
3.12E-05,7,611,,,
3.17E-05,48,611,,,
3.21E-05,50,610,,,
3.21E-05,22,609,,,
3.13E-05,49,608,,,
3.16E-05,31,608,,,
2.40E-05,38,617,,,
2.38E-05,49,617,,,
2.93E-05,21,617,,,
9.97E-05,23,616,,,
2.42E-05,44,617,,,
2.39E-05,2,617,,,
2.45E-05,33,619,,,
3.36E-05,11,619,,,
2.97E-05,41,620,,,
2.41E-05,4,620,,,
2.39E-05,20,620,,,
2.42E-05,37,620,,,
2.41E-05,23,620,,,
2.40E-05,37,619,,,
2.40E-05,27,618,,,
2.41E-05,5,621,,,
2.39E-05,16,622,,,
2.40E-05,44,622,,,
2.39E-05,49,622,,,
2.39E-05,2,621,,,
2.38E-05,16,621,,,
2.58E-05,10,620,,,
