cas operacie,vybrane cislo,velkost frontu,,,
2.20E-06,6,452,,,
2.20E-06,32,451,,,
2.00E-06,11,450,,,
2.00E-06,25,451,,,
2.20E-06,10,452,,,
2.50E-06,28,452,,,
2.30E-06,11,451,,,
2.30E-06,46,450,,,
2.60E-06,14,450,,,
2.20E-06,47,451,,,
2.30E-06,43,451,,,
2.40E-06,23,451,,,
2.00E-06,35,454,,,
2.30E-06,9,454,,,
1.90E-06,8,454,,,
2.50E-06,1,454,,,
2.10E-06,43,455,,,
2.00E-06,8,458,,,
2.20E-06,5,458,,,
1.90E-06,2,457,,,
2.30E-06,21,457,,,
2.20E-06,7,459,,,
2.50E-06,28,458,,,
2.50E-06,29,457,,,
2.40E-06,11,463,,,
1.90E-06,19,463,,,
2.30E-06,46,464,,,
1.70E-06,37,471,,,
1.50E-06,3,470,,,
1.40E-06,47,470,,,
1.50E-06,24,469,,,
2.90E-06,38,471,,,
2.10E-06,28,471,,,
1.90E-06,26,472,,,
1.80E-06,29,471,,,
2.10E-06,23,471,,,
1.70E-06,49,476,,,
1.30E-06,41,475,,,
1.40E-06,23,477,,,
1.30E-06,12,477,,,
1.30E-06,42,478,,,
1.30E-06,50,477,,,
1.40E-06,25,478,,,
1.30E-06,29,477,,,
1.40E-06,42,480,,,
1.40E-06,11,480,,,
1.30E-06,24,481,,,
1.40E-06,27,482,,,
1.90E-06,8,484,,,
2.00E-06,1,487,,,
1.90E-06,41,486,,,
2.20E-06,21,485,,,
1.80E-06,3,484,,,
1.70E-06,16,483,,,
2.70E-06,1,489,,,
2.30E-06,32,488,,,
2.60E-06,1,487,,,
2.80E-06,21,486,,,
6.28E-05,29,489,,,
2.20E-06,41,491,,,
1.90E-06,18,490,,,
1.50E-06,32,490,,,
3.00E-06,25,489,,,
1.40E-06,48,489,,,
1.40E-06,39,489,,,
1.60E-06,46,496,,,
2.00E-06,32,497,,,
2.30E-06,2,500,,,
2.10E-06,29,499,,,
2.10E-06,29,498,,,
2.40E-06,28,498,,,
2.30E-06,2,505,,,
1.50E-06,36,505,,,
2.00E-06,9,504,,,
2.00E-06,12,503,,,
1.50E-06,23,511,,,
1.40E-06,44,512,,,
1.30E-06,49,511,,,
1.30E-06,24,511,,,
1.30E-06,3,511,,,
1.30E-06,7,510,,,
1.30E-06,47,509,,,
1.40E-06,10,510,,,
1.40E-06,36,509,,,
1.40E-06,22,508,,,
0.002284,17,508,,,
2.10E-06,34,509,,,
1.80E-06,43,508,,,
1.70E-06,46,507,,,
1.90E-06,48,507,,,
2.80E-06,46,511,,,
2.90E-06,31,510,,,
2.00E-06,14,513,,,
3.80E-06,44,517,,,
2.30E-06,24,516,,,
1.90E-06,17,516,,,
1.40E-06,26,517,,,
1.80E-06,46,520,,,
1.80E-06,7,519,,,
2.00E-06,28,518,,,
1.70E-06,21,517,,,
1.50E-06,5,517,,,
2.00E-06,27,517,,,
1.60E-06,20,519,,,
2.10E-06,42,519,,,
2.00E-06,14,522,,,
2.50E-06,43,529,,,
3.40E-06,26,528,,,
2.30E-06,42,527,,,
2.50E-06,32,527,,,
2.90E-06,26,531,,,
2.00E-06,2,530,,,
3.10E-06,40,529,,,
2.20E-06,32,528,,,
1.70E-06,12,527,,,
2.00E-06,9,527,,,
2.50E-06,41,528,,,
2.30E-06,9,529,,,
1.90E-06,45,529,,,
2.50E-06,35,530,,,
2.40E-06,16,529,,,
2.90E-06,19,531,,,
2.30E-06,33,534,,,
2.20E-06,1,535,,,
2.20E-06,1,536,,,
1.90E-06,6,537,,,
2.10E-06,33,536,,,
2.10E-06,34,536,,,
2.20E-06,41,536,,,
1.70E-06,43,537,,,
2.30E-06,28,542,,,
2.10E-06,16,542,,,
1.90E-06,33,542,,,
2.00E-06,34,543,,,
2.00E-06,29,543,,,
2.00E-06,10,542,,,
2.10E-06,38,543,,,
2.00E-06,38,542,,,
2.10E-06,28,545,,,
2.30E-06,22,550,,,
1.90E-06,45,550,,,
2.00E-06,34,550,,,
2.40E-06,41,549,,,
2.10E-06,37,548,,,
2.10E-06,28,548,,,
1.90E-06,50,548,,,
2.10E-06,13,553,,,
1.90E-06,12,552,,,
2.10E-06,31,551,,,
3.20E-06,22,554,,,
2.30E-06,3,553,,,
2.20E-06,44,552,,,
4.70E-06,18,554,,,
2.00E-06,35,553,,,
2.20E-06,22,555,,,
1.60E-06,11,554,,,
2.90E-06,45,554,,,
2.30E-06,12,556,,,
2.00E-06,6,555,,,
2.10E-06,9,563,,,
1.23E-05,27,563,,,
2.20E-06,39,563,,,
2.40E-06,17,564,,,
2.10E-06,50,564,,,
1.90E-06,45,564,,,
2.30E-06,50,564,,,
1.90E-06,49,563,,,
1.80E-06,29,562,,,
1.60E-06,1,562,,,
1.90E-06,47,563,,,
1.60E-06,46,563,,,
1.60E-06,19,562,,,
1.70E-06,19,562,,,
1.60E-06,1,561,,,
1.70E-06,24,561,,,
1.60E-06,15,561,,,
1.70E-06,41,561,,,
1.60E-06,39,562,,,
2.10E-06,23,561,,,
1.60E-06,6,562,,,
1.60E-06,9,564,,,
1.60E-06,36,563,,,
1.60E-06,21,563,,,
1.80E-06,26,570,,,
1.70E-06,3,569,,,
1.80E-06,9,569,,,
1.60E-06,14,570,,,
1.60E-06,39,569,,,
1.70E-06,9,568,,,
1.70E-06,17,567,,,
1.70E-06,37,567,,,
1.80E-06,38,566,,,
2.00E-06,50,565,,,
1.80E-06,7,564,,,
2.30E-06,16,568,,,
1.80E-06,9,574,,,
1.70E-06,41,576,,,
1.60E-06,16,576,,,
1.60E-06,6,575,,,
1.70E-06,35,583,,,
1.80E-06,37,584,,,
1.70E-06,35,586,,,
1.70E-06,27,585,,,
1.90E-06,43,584,,,
1.80E-06,38,583,,,
1.70E-06,5,582,,,
1.60E-06,2,582,,,
1.60E-06,13,581,,,
1.60E-06,11,582,,,
1.50E-06,46,581,,,
1.60E-06,3,585,,,
1.70E-06,32,587,,,
1.60E-06,3,588,,,
1.60E-06,27,588,,,
1.70E-06,6,588,,,
1.60E-06,43,588,,,
2.40E-06,31,589,,,
2.50E-06,17,590,,,
2.00E-06,39,589,,,
1.80E-06,9,590,,,
1.50E-06,50,592,,,
2.20E-06,10,594,,,
2.10E-06,20,593,,,
1.80E-06,18,592,,,
2.00E-06,26,592,,,
2.50E-06,29,591,,,
2.20E-06,33,590,,,
2.10E-06,34,593,,,
1.80E-06,20,595,,,
1.80E-06,29,595,,,
2.10E-06,26,597,,,
2.10E-06,8,596,,,
3.00E-06,1,597,,,
2.10E-06,48,597,,,
3.00E-06,10,599,,,
2.30E-06,24,600,,,
1.90E-06,7,600,,,
1.90E-06,48,600,,,
2.60E-06,12,602,,,
2.50E-06,48,603,,,
2.30E-06,48,605,,,
2.10E-06,41,604,,,
1.70E-06,38,603,,,
1.80E-06,13,603,,,
2.30E-06,2,603,,,
1.60E-06,15,602,,,
2.00E-06,21,603,,,
2.00E-06,49,608,,,
1.70E-06,14,608,,,
2.00E-06,50,608,,,
1.60E-06,7,609,,,
1.50E-06,44,608,,,
2.10E-06,48,610,,,
1.80E-06,16,609,,,
1.90E-06,32,608,,,
1.70E-06,2,607,,,
1.80E-06,37,610,,,
1.60E-06,41,610,,,
1.60E-06,39,609,,,
1.60E-06,37,609,,,
2.20E-06,31,608,,,
1.70E-06,45,607,,,
1.60E-06,28,607,,,
1.60E-06,5,608,,,
1.50E-06,49,607,,,
1.70E-06,39,606,,,
2.30E-06,19,605,,,
2.60E-06,22,607,,,
1.90E-06,46,606,,,
1.90E-06,32,606,,,
1.70E-06,42,605,,,
