cas operacie,vybrane cislo,velkost frontu,,,,,,,
3.62E-05,29,7,,,,,0.0000299,14,8
3.51E-05,32,6,,,,,0.00003,27,8
3.62E-05,23,5,,,,,0.000029,12,8
3.61E-05,30,4,,,,,0.0000292,32,8
3.64E-05,19,3,,,,,0.000125,1,8
4.24E-05,19,3,,,,,0.0000425,3,8
3.70E-05,30,3,,,,,0.0000387,17,8
3.60E-05,28,2,,,,,0.0000394,25,8
4.03E-05,26,1,,,,,0.0000291,23,8
0.0003413,3,2,,,,,0.000029,32,8
3.43E-05,25,1,,,,,0.0000293,28,8
2.91E-05,19,1,,,,,0.0000275,27,8
2.90E-05,19,1,,,,,0.0000329,10,8
3.06E-05,6,2,,,,,0.0000294,9,8
2.91E-05,13,2,,,,,0.0000291,9,8
3.22E-05,20,3,,,,,0.0000294,7,8
2.96E-05,8,2,,,,,0.0000293,4,8
3.87E-05,8,4,,,,,0.0000291,18,8
3.49E-05,5,3,,,,,0.000029,7,8
2.90E-05,21,5,,,,,0.0000291,34,8
3.40E-05,17,6,,,,,0.0000404,26,8
3.37E-05,28,5,,,,,0.0000278,33,8
3.25E-05,11,5,,,,,0.0000393,17,8
3.82E-05,30,4,,,,,0.000029,30,8
4.22E-05,22,5,,,,,0.000029,20,8
3.79E-05,5,4,,,,,0.0000296,11,9
3.84E-05,19,5,,,,,0.0000294,26,9
3.00E-05,27,8,,,,,0.0000291,33,9
3.01E-05,10,10,,,,,0.0000294,19,9
2.95E-05,19,9,,,,,0.0000276,32,9
2.90E-05,12,8,,,,,0.0000277,7,9
2.89E-05,23,7,,,,,0.0000339,22,9
2.90E-05,32,6,,,,,0.0000422,6,9
5.20E-05,31,5,,,,,0.0000374,22,9
5.70E-05,11,4,,,,,0.0000339,17,9
4.08E-05,30,3,,,,,0.0000339,3,9
2.90E-05,17,7,,,,,0.00004,18,9
3.98E-05,14,7,,,,,0.000035,24,9
3.41E-05,2,6,,,,,0.0000383,16,9
2.95E-05,15,5,,,,,0.0000295,19,9
2.90E-05,26,5,,,,,0.0000435,20,9
2.94E-05,13,5,,,,,0.0000289,26,9
