cas operacie,cislo,index prvku,dlzka zoznamu,,
1.90E-05,79,53,67,,
2.71E-05,81,31,63,,
1.93E-05,87,22,65,,
2.01E-05,84,43,67,,
1.85E-05,82,38,67,,
1.79E-05,87,18,66,,
1.73E-05,81,13,66,,
2.07E-05,71,65,67,,
1.98E-05,72,41,65,,
1.82E-05,79,1,62,,
1.91E-05,79,37,61,,
1.72E-05,84,4,62,,
2.02E-05,81,64,67,,
2.27E-05,79,12,65,,
1.79E-05,85,13,67,,
1.76E-05,81,5,67,,
1.82E-05,87,26,62,,
1.73E-05,81,6,59,,
1.79E-05,88,17,50,,
1.86E-05,71,37,50,,
1.88E-05,73,45,47,,
1.82E-05,86,30,47,,
1.76E-05,90,11,47,,
1.76E-05,73,16,47,,
1.81E-05,82,26,47,,
1.79E-05,75,23,47,,
1.86E-05,86,43,48,,
1.82E-05,89,32,47,,
1.76E-05,76,10,44,,
1.87E-05,74,41,44,,
1.73E-05,87,2,45,,
1.77E-05,86,19,45,,
1.81E-05,82,25,46,,
1.85E-05,84,33,48,,
1.73E-05,89,11,47,,
1.85E-05,72,23,49,,
1.73E-05,71,3,49,,
1.86E-05,80,41,47,,
1.77E-05,82,20,47,,
1.71E-05,89,3,53,,
1.85E-05,88,42,54,,
1.75E-05,74,4,49,,
3.30E-05,86,31,50,,
2.14E-05,89,8,50,,
2.13E-05,87,17,49,,
1.83E-05,81,29,44,,
1.74E-05,71,6,41,,
2.99E-05,81,2,37,,
2.33E-05,86,23,38,,
1.84E-05,72,34,37,,
1.82E-05,75,31,35,,
2.92E-05,88,6,43,,
1.84E-05,81,24,45,,
1.86E-05,77,42,45,,
1.78E-05,73,17,46,,
2.41E-05,89,44,46,,
1.86E-05,72,8,45,,
1.76E-05,87,11,43,,
2.47E-05,83,16,45,,
1.93E-05,82,37,46,,
1.72E-05,74,2,48,,
2.13E-05,79,5,47,,
1.86E-05,85,29,46,,
1.72E-05,77,3,39,,
1.80E-05,88,7,40,,
1.80E-05,86,14,40,,
1.81E-05,84,29,39,,
2.23E-05,72,16,36,,
1.76E-05,86,12,39,,
1.77E-05,76,10,38,,
2.31E-05,87,4,40,,
2.01E-05,89,28,40,,
1.79E-05,83,22,41,,
1.86E-05,88,2,42,,
1.97E-05,82,26,42,,
1.86E-05,87,38,41,,
1.89E-05,76,12,42,,
2.37E-05,84,1,43,,
1.92E-05,79,39,41,,
2.34E-05,79,21,46,,
1.74E-05,87,11,47,,
1.84E-05,72,32,47,,
8.99E-05,78,39,50,,
1.83E-05,89,23,47,,
1.90E-05,81,49,51,,
1.77E-05,82,16,48,,
1.84E-05,77,34,51,,
1.85E-05,76,30,50,,
1.75E-05,84,8,50,,
1.74E-05,79,3,49,,
1.89E-05,90,16,43,,
2.10E-05,82,29,42,,
1.85E-05,89,7,43,,
1.85E-05,86,11,43,,
1.91E-05,90,25,43,,
1.82E-05,73,1,41,,
1.94E-05,78,33,41,,
1.73E-05,75,7,33,,
1.80E-05,84,25,35,,
1.74E-05,78,8,33,,
1.75E-05,75,13,33,,
2.77E-05,73,25,33,,
1.84E-05,89,13,35,,
1.73E-05,86,0,34,,
1.83E-05,81,31,35,,
1.82E-05,75,29,36,,
1.79E-05,79,19,34,,
1.92E-05,87,23,31,,
1.78E-05,75,15,34,,
1.97E-05,78,23,39,,
1.71E-05,80,3,36,,
1.70E-05,85,0,35,,
1.78E-05,80,16,40,,
0.0001079,87,11,44,,
2.51E-05,79,42,45,,
1.71E-05,84,1,48,,
1.81E-05,86,30,49,,
1.85E-05,78,43,49,,
1.75E-05,72,2,51,,
2.31E-05,78,28,50,,
2.19E-05,76,4,43,,
1.86E-05,85,38,43,,
2.32E-05,85,19,50,,
1.74E-05,82,12,45,,
1.76E-05,75,16,45,,
1.81E-05,71,27,44,,
1.89E-05,75,40,46,,
1.84E-05,82,31,45,,
1.81E-05,88,25,46,,
1.91E-05,77,1,47,,
1.84E-05,80,29,43,,
1.80E-05,83,27,44,,
1.79E-05,81,20,43,,
1.75E-05,72,6,46,,
1.96E-05,81,6,46,,
1.77E-05,89,8,46,,
1.72E-05,73,2,47,,
1.71E-05,75,5,47,,
1.81E-05,80,32,47,,
2.26E-05,76,3,47,,
4.33E-05,86,31,45,,
1.74E-05,81,1,45,,
1.76E-05,87,16,43,,
1.85E-05,83,36,45,,
1.83E-05,87,34,44,,
2.72E-05,76,33,42,,
1.87E-05,87,13,40,,
1.97E-05,80,35,39,,
2.28E-05,73,36,38,,
1.95E-05,89,23,37,,
1.93E-05,74,38,43,,
1.98E-05,88,26,43,,
1.91E-05,76,22,42,,
2.69E-05,73,29,42,,
1.88E-05,89,16,41,,
1.73E-05,79,8,41,,
1.82E-05,78,34,43,,
2.05E-05,86,22,41,,
3.34E-05,89,39,41,,
2.01E-05,78,4,41,,
1.88E-05,74,34,41,,
2.41E-05,80,26,43,,
3.04E-05,90,32,45,,
