cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,,,,,,,
3.75E-05,8,20,28,,,,,0.0000184,20,7,10
2.03E-05,2,12,29,,,,,0.0000175,20,1,10
1.81E-05,10,17,31,,,,,0.0000188,6,2,10
1.88E-05,6,25,32,,,,,0.0000261,1,4,10
1.77E-05,5,11,33,,,,,0.0000176,11,5,10
2.30E-05,12,24,35,,,,,0.0000099,20,0,10
2.39E-05,9,32,36,,,,,0.0000175,16,8,10
2.39E-05,2,20,36,,,,,0.0000206,2,4,10
1.95E-05,16,33,40,,,,,0.0000104,9,0,10
1.85E-05,17,4,41,,,,,0.0000191,9,7,10
1.95E-05,4,37,40,,,,,0.0000102,5,0,10
1.89E-05,10,14,29,,,,,0.0000175,2,5,10
1.85E-05,1,5,30,,,,,0.0000179,13,7,10
1.86E-05,9,6,29,,,,,0.0000178,7,3,10
1.90E-05,3,16,31,,,,,0.0000101,2,0,10
2.38E-05,12,15,31,,,,,0.0000184,19,4,10
1.93E-05,4,8,32,,,,,0.0000108,11,0,10
2.63E-05,13,6,33,,,,,0.0000174,15,8,10
3.06E-05,18,7,34,,,,,0.0000176,1,6,10
1.92E-05,7,25,33,,,,,0.00001,6,0,11
1.90E-05,15,9,32,,,,,0.0000179,11,7,11
2.63E-05,9,5,25,,,,,0.0000531,1,3,11
1.97E-05,19,23,25,,,,,0.0000197,2,9,11
2.18E-05,19,23,26,,,,,0.0000176,3,6,11
1.84E-05,6,4,25,,,,,0.0000178,9,8,11
1.87E-05,5,19,21,,,,,0.0000176,18,4,11
1.77E-05,19,8,22,,,,,0.0000179,1,8,11
1.77E-05,5,9,25,,,,,0.0000178,12,9,11
1.80E-05,4,18,26,,,,,0.0000185,7,3,11
1.89E-05,15,17,21,,,,,0.0000175,14,1,11
1.87E-05,12,5,18,,,,,0.0000184,3,3,11
1.88E-05,3,17,19,,,,,0.000019,19,3,11
1.89E-05,17,2,20,,,,,0.0000176,14,1,11
1.84E-05,2,9,20,,,,,0.0000178,20,4,12
1.92E-05,12,19,22,,,,,0.0000176,10,4,12
1.90E-05,14,16,19,,,,,0.000018,7,2,12
1.85E-05,15,9,20,,,,,0.0000177,2,6,12
1.84E-05,7,12,20,,,,,0.0000101,5,0,12
1.78E-05,18,6,21,,,,,0.0000175,1,1,12
1.83E-05,12,14,22,,,,,0.0000179,3,7,12
