cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,,,,,,
1.00E-05,7,0,25,,,,0.0000104,2,0,15
1.00E-05,15,0,28,,,,0.0000102,10,0,15
9.90E-06,9,0,24,,,,0.0000113,1,0,15
9.90E-06,16,0,25,,,,0.0000102,16,0,15
1.01E-05,5,0,26,,,,0.0000101,2,0,15
1.00E-05,15,0,27,,,,0.0000103,13,0,15
1.00E-05,1,0,28,,,,0.0000101,17,0,15
9.90E-06,7,0,29,,,,0.00001,14,0,15
1.02E-05,1,0,30,,,,0.0000113,7,0,15
1.12E-05,2,0,27,,,,0.0000098,4,0,15
1.13E-05,15,0,27,,,,0.0000102,8,0,15
1.00E-05,6,0,27,,,,0.0000102,11,0,15
1.01E-05,5,0,26,,,,0.0000106,13,0,15
1.10E-05,18,0,27,,,,0.0000101,12,0,15
1.77E-05,20,0,27,,,,0.00001,20,0,15
1.10E-05,1,0,29,,,,0.0000112,12,0,15
9.90E-06,10,0,26,,,,0.0000111,10,0,15
1.01E-05,15,0,23,,,,0.0000125,3,0,16
9.90E-06,10,0,24,,,,0.0000102,2,0,16
1.37E-05,13,0,22,,,,0.0000114,13,0,16
1.15E-05,4,0,22,,,,0.0000099,10,0,16
1.48E-05,8,0,22,,,,0.0000104,19,0,16
1.66E-05,17,0,22,,,,0.00001,15,0,16
1.02E-05,3,0,23,,,,0.0000099,5,0,16
1.22E-05,17,0,23,,,,0.0000107,9,0,16
1.10E-05,11,0,21,,,,0.0000121,5,0,16
1.01E-05,11,0,22,,,,0.0000156,8,0,16
1.00E-05,8,0,23,,,,0.00001,4,0,16
1.01E-05,15,0,20,,,,0.0000101,8,0,16
1.08E-05,8,0,17,,,,0.00001,5,0,16
1.01E-05,1,0,19,,,,0.0000101,16,0,16
1.03E-05,6,0,17,,,,0.0000108,2,0,16
1.00E-05,5,0,21,,,,0.0000101,6,0,16
1.61E-05,19,0,22,,,,0.0000103,19,0,16
1.12E-05,2,0,24,,,,0.00001,2,0,16
1.01E-05,9,0,25,,,,0.0000102,17,0,16
1.42E-05,3,0,22,,,,0.0000101,6,0,16
1.01E-05,1,0,23,,,,0.0000105,3,0,16
1.22E-05,1,0,26,,,,0.00001,18,0,16
1.00E-05,10,0,26,,,,0.0000157,5,0,16
1.00E-05,3,0,26,,,,0.0000104,19,0,16
2.13E-05,16,0,28,,,,0.000011,10,0,16
2.43E-05,20,0,30,,,,0.0000109,9,0,16
1.11E-05,20,0,29,,,,0.0000368,10,0,17
1.49E-05,16,0,31,,,,0.0000109,3,0,17
1.81E-05,13,0,33,,,,0.0000108,8,0,17
1.10E-05,5,0,33,,,,0.0000103,6,0,17
1.00E-05,4,0,37,,,,0.00001,8,0,17
9.90E-06,19,0,37,,,,0.00001,19,0,17
1.00E-05,1,0,38,,,,0.0000102,7,0,17
9.90E-06,13,0,39,,,,0.000011,13,0,17
1.40E-05,16,0,40,,,,0.0000104,12,0,17
1.02E-05,14,0,41,,,,0.000017,18,0,17
1.16E-05,9,0,42,,,,0.0000101,13,0,17
1.00E-05,16,0,43,,,,0.0000104,15,0,17
1.03E-05,16,0,41,,,,0.0000101,12,0,17
1.00E-05,20,0,42,,,,0.0000127,13,0,17
9.80E-06,4,0,41,,,,0.0000102,6,0,17
1.04E-05,7,0,41,,,,0.0000107,20,0,17
9.90E-06,6,0,42,,,,0.00001,4,0,18
1.03E-05,15,0,40,,,,0.00001,16,0,18
1.02E-05,20,0,40,,,,0.00001,7,0,18
1.00E-05,20,0,41,,,,0.0000114,1,0,18
1.01E-05,5,0,41,,,,0.0000103,7,0,18
1.49E-05,17,0,43,,,,0.0000107,9,0,18
1.15E-05,12,0,44,,,,0.0000103,10,0,18
1.05E-05,10,0,37,,,,0.0000112,3,0,18
1.12E-05,7,0,37,,,,0.0000179,8,0,18
1.02E-05,3,0,42,,,,0.0000107,8,0,18
1.00E-05,15,0,42,,,,0.0000148,2,0,18
1.00E-05,17,0,40,,,,0.0000101,12,0,18
1.00E-05,16,0,41,,,,0.0000108,6,0,18
1.08E-05,14,0,40,,,,0.0000108,15,0,18
9.90E-06,16,0,41,,,,0.00001,1,0,18
1.00E-05,1,0,42,,,,0.0000109,4,0,18
1.00E-05,16,0,43,,,,0.0000109,18,0,18
1.63E-05,3,0,47,,,,0.0000104,12,0,18
1.09E-05,11,0,48,,,,0.0000099,12,0,18
1.02E-05,12,0,45,,,,0.0000105,20,0,18
1.01E-05,8,0,39,,,,0.0000103,7,0,18
1.01E-05,18,0,34,,,,0.00001,14,0,18
1.01E-05,14,0,36,,,,0.0000103,3,0,18
1.01E-05,13,0,33,,,,0.0000155,20,0,18
1.07E-05,10,0,34,,,,0.0000103,8,0,18
1.02E-05,19,0,33,,,,0.0000101,8,0,18
1.11E-05,8,0,30,,,,0.0000156,16,0,18
1.00E-05,12,0,33,,,,0.0000102,16,0,18
1.00E-05,16,0,32,,,,0.0000103,8,0,18
1.01E-05,10,0,27,,,,0.0000102,4,0,18
9.90E-06,16,0,26,,,,0.0000103,3,0,18
1.04E-05,3,0,23,,,,0.000011,20,0,18
1.01E-05,2,0,24,,,,0.0000111,20,0,18
1.00E-05,11,0,23,,,,0.0000107,4,0,18
1.03E-05,14,0,23,,,,0.00001,2,0,18
1.00E-05,3,0,25,,,,0.0000101,20,0,18
1.27E-05,16,0,27,,,,0.0000108,16,0,18
1.24E-05,12,0,28,,,,0.0000103,14,0,19
1.09E-05,13,0,29,,,,0.0000103,20,0,19
1.04E-05,15,0,30,,,,0.0000232,17,0,19
