cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,,,,,,,
1.30E-06,14,35,36,,,,,0.0000012,1,5,6
1.20E-06,8,35,36,,,,,0.000003,18,5,6
1.10E-06,20,36,37,,,,,0.0000013,4,5,6
1.70E-06,5,37,38,,,,,0.0000016,9,5,6
1.40E-06,16,36,37,,,,,0.0000014,4,5,6
1.10E-06,4,36,37,,,,,0.0000012,15,5,6
1.30E-06,8,37,38,,,,,0.0000012,14,5,6
1.10E-06,9,36,37,,,,,0.0000012,1,5,6
1.20E-06,4,36,37,,,,,0.0000012,1,5,6
1.70E-06,8,38,39,,,,,0.0000012,19,5,6
1.20E-06,15,38,39,,,,,0.0000012,8,5,6
1.60E-06,13,40,41,,,,,0.0000011,14,5,6
1.20E-06,3,41,42,,,,,0.0000012,9,5,6
1.40E-06,16,40,41,,,,,0.0000014,17,5,6
1.20E-06,19,38,39,,,,,0.0000014,10,5,6
1.30E-06,14,31,32,,,,,0.0000023,16,5,6
1.80E-06,17,30,31,,,,,0.0000015,19,5,6
1.30E-06,2,36,37,,,,,0.0000012,12,5,6
1.30E-06,14,36,37,,,,,0.0000014,15,5,6
1.70E-06,15,37,38,,,,,0.0000012,16,5,6
1.40E-06,18,34,35,,,,,0.0000014,10,6,7
1.20E-06,5,31,32,,,,,0.0000023,14,6,7
1.30E-06,3,32,33,,,,,0.0000014,13,6,7
1.60E-06,18,30,31,,,,,0.0000013,19,6,7
1.30E-06,9,33,34,,,,,0.0000024,8,6,7
1.30E-06,5,34,35,,,,,0.0000012,11,6,7
1.20E-06,3,35,36,,,,,0.0000014,20,6,7
1.20E-06,12,36,37,,,,,0.0000013,12,6,7
1.30E-06,19,33,34,,,,,0.0000033,12,6,7
1.20E-06,12,32,33,,,,,0.0000018,9,6,7
1.70E-06,15,33,34,,,,,0.0000011,11,6,7
1.30E-06,10,32,33,,,,,0.0000012,7,6,7
1.20E-06,5,31,32,,,,,0.0000012,8,6,7
1.20E-06,6,33,34,,,,,0.0000016,12,6,7
1.10E-06,6,32,33,,,,,0.0000013,4,6,7
1.10E-06,9,33,34,,,,,0.0000014,14,6,7
1.20E-06,16,34,35,,,,,0.0000013,15,6,7
1.20E-06,15,34,35,,,,,0.0000012,10,6,7
1.30E-06,9,34,35,,,,,0.0000015,7,7,8
1.20E-06,8,35,36,,,,,0.0000019,3,7,8
1.30E-06,12,35,36,,,,,0.0000014,4,7,8
1.10E-06,17,37,38,,,,,0.0000012,16,7,8
1.20E-06,18,38,39,,,,,0.0000021,12,7,8
1.60E-06,16,38,39,,,,,0.0000013,7,7,8
1.30E-06,11,38,39,,,,,0.0000017,12,7,8
1.20E-06,7,39,40,,,,,0.0000012,14,7,8
