cas operacie,cislo,index prvku,dlzka zoznamu,,,
1.72E-05,90,3,30,,,
1.75E-05,72,5,29,,,
1.79E-05,53,20,27,,,
1.75E-05,88,12,26,,,
1.74E-05,88,9,23,,,
1.76E-05,64,20,23,,,
1.72E-05,63,1,23,,,
2.14E-05,90,3,23,,,
1.76E-05,81,11,22,,,
1.78E-05,56,20,22,,,
1.71E-05,66,2,22,,,
1.74E-05,68,6,22,,,
1.90E-05,74,5,22,,,
1.97E-05,63,15,21,,,
1.74E-05,48,1,21,,,
1.78E-05,73,7,22,,,
1.73E-05,58,5,22,,,
1.78E-05,64,17,22,,,
1.73E-05,43,6,25,,,
1.79E-05,83,24,26,,,
1.72E-05,53,7,25,,,
1.80E-05,68,21,26,,,
1.78E-05,53,20,26,,,
1.75E-05,72,14,26,,,
1.78E-05,52,19,26,,,
1.77E-05,62,17,27,,,
1.96E-05,71,4,23,,,
1.72E-05,76,1,25,,,
1.75E-05,71,10,27,,,
1.71E-05,78,1,26,,,
1.79E-05,44,24,28,,,
1.70E-05,41,0,30,,,
3.29E-05,75,17,32,,,
2.74E-05,45,25,29,,,
2.02E-05,57,14,28,,,
1.87E-05,62,15,28,,,
2.01E-05,89,22,27,,,
1.84E-05,61,9,27,,,
1.85E-05,85,8,24,,,
1.87E-05,74,17,22,,,
1.83E-05,50,8,24,,,
1.85E-05,78,12,24,,,
1.85E-05,88,10,25,,,
2.20E-05,75,19,25,,,
2.18E-05,90,16,25,,,
2.78E-05,75,3,26,,,
3.24E-05,69,23,26,,,
1.85E-05,57,4,24,,,
1.83E-05,82,5,25,,,
1.87E-05,73,21,24,,,
1.86E-05,50,14,24,,,
1.84E-05,77,9,24,,,
1.81E-05,86,1,24,,,
1.85E-05,44,4,23,,,
1.83E-05,42,7,22,,,
1.86E-05,54,5,21,,,
1.86E-05,62,17,21,,,
1.95E-05,86,15,20,,,
1.84E-05,54,9,21,,,
1.96E-05,75,15,19,,,
2.27E-05,54,8,19,,,
1.74E-05,82,3,16,,,
1.74E-05,72,5,17,,,
1.71E-05,61,0,15,,,
1.75E-05,43,0,15,,,
1.74E-05,81,0,15,,,
1.73E-05,71,0,14,,,
1.72E-05,90,3,14,,,
1.71E-05,69,7,14,,,
1.76E-05,47,9,14,,,
1.74E-05,85,11,14,,,
2.20E-05,85,1,11,,,
2.00E-05,81,9,12,,,
1.78E-05,79,4,12,,,
1.78E-05,64,10,12,,,
1.75E-05,86,1,12,,,
1.73E-05,47,7,12,,,
1.72E-05,62,2,12,,,
1.73E-05,44,2,11,,,
1.72E-05,60,2,11,,,
1.73E-05,58,5,11,,,
1.72E-05,53,1,11,,,
1.75E-05,78,5,13,,,
1.75E-05,78,5,13,,,
2.72E-05,41,8,11,,,
1.72E-05,46,1,10,,,
1.76E-05,73,2,10,,,
1.87E-05,83,2,9,,,
1.74E-05,84,0,10,,,
1.76E-05,47,9,12,,,
1.77E-05,61,4,13,,,
1.76E-05,58,8,13,,,
1.72E-05,79,5,13,,,
1.85E-05,67,11,14,,,
1.73E-05,74,5,15,,,
1.76E-05,77,13,16,,,
1.80E-05,52,14,16,,,
2.01E-05,76,7,15,,,
1.83E-05,58,8,16,,,
1.75E-05,72,4,20,,,
1.69E-05,52,0,21,,,
1.78E-05,78,17,21,,,
1.78E-05,48,13,21,,,
1.74E-05,59,3,21,,,
1.75E-05,68,10,21,,,
1.92E-05,68,12,21,,,
2.27E-05,64,6,23,,,
1.79E-05,70,17,23,,,
1.73E-05,45,3,23,,,
2.22E-05,79,16,24,,,
1.73E-05,63,0,24,,,
1.78E-05,53,14,24,,,
1.73E-05,74,4,25,,,
2.66E-05,75,20,25,,,
2.82E-05,74,9,25,,,
2.09E-05,42,22,26,,,
2.01E-05,62,5,26,,,
1.81E-05,59,16,26,,,
1.87E-05,75,13,23,,,
1.77E-05,54,13,23,,,
1.75E-05,87,1,25,,,
1.78E-05,60,16,27,,,
1.78E-05,62,9,26,,,
1.79E-05,88,17,26,,,
1.74E-05,58,9,26,,,
1.73E-05,58,2,26,,,
1.75E-05,80,10,26,,,
1.76E-05,68,19,25,,,
1.75E-05,63,6,25,,,
1.75E-05,59,5,25,,,
1.80E-05,76,23,27,,,
1.76E-05,41,11,28,,,
2.76E-05,48,17,28,,,
1.87E-05,41,5,28,,,
2.65E-05,43,13,30,,,
1.93E-05,82,0,32,,,
1.90E-05,46,23,32,,,
1.87E-05,43,17,32,,,
1.91E-05,84,24,32,,,
1.86E-05,85,16,32,,,
1.84E-05,75,6,32,,,
1.80E-05,53,0,32,,,
2.03E-05,73,20,33,,,
1.90E-05,61,25,33,,,
1.87E-05,43,18,33,,,
1.89E-05,80,17,34,,,
2.00E-05,60,30,35,,,
1.91E-05,50,26,35,,,
1.85E-05,55,7,36,,,
1.85E-05,60,15,37,,,
2.34E-05,88,16,37,,,
1.92E-05,68,17,36,,,
1.89E-05,83,20,35,,,
1.89E-05,65,22,34,,,
1.84E-05,76,5,36,,,
3.13E-05,52,19,36,,,
1.91E-05,85,15,36,,,
1.82E-05,90,6,36,,,
1.89E-05,46,21,36,,,
1.81E-05,68,2,35,,,
1.80E-05,62,0,35,,,
1.86E-05,75,13,34,,,
2.10E-05,86,3,34,,,
1.91E-05,48,31,34,,,
1.83E-05,50,10,33,,,
1.85E-05,81,20,33,,,
2.03E-05,72,21,33,,,
3.37E-05,85,20,33,,,
1.89E-05,52,1,33,,,
1.83E-05,89,4,34,,,
1.90E-05,65,23,34,,,
1.90E-05,51,28,34,,,
1.81E-05,55,4,35,,,
1.86E-05,43,13,35,,,
1.81E-05,45,2,36,,,
1.83E-05,44,11,36,,,
1.89E-05,65,26,36,,,
2.27E-05,74,19,36,,,
1.81E-05,89,4,34,,,
1.81E-05,79,4,34,,,
1.89E-05,47,31,35,,,
1.78E-05,75,18,35,,,
1.83E-05,60,26,35,,,
1.78E-05,83,15,36,,,
1.88E-05,69,0,36,,,
1.76E-05,52,6,36,,,
2.52E-05,49,14,35,,,
4.29E-05,90,28,35,,,
4.36E-05,57,18,36,,,
2.05E-05,56,18,37,,,
1.83E-05,47,30,38,,,
1.83E-05,50,28,37,,,
1.75E-05,56,12,37,,,
1.81E-05,58,24,38,,,
1.79E-05,82,21,38,,,
1.77E-05,56,21,38,,,
1.86E-05,85,38,40,,,
2.79E-05,88,25,39,,,
1.89E-05,85,15,39,,,
1.87E-05,45,14,39,,,
1.91E-05,71,24,40,,,
1.92E-05,82,10,40,,,
1.75E-05,56,0,40,,,
1.88E-05,52,32,40,,,
1.80E-05,88,24,42,,,
1.77E-05,60,18,42,,,
1.80E-05,82,24,42,,,
1.71E-05,82,5,39,,,
1.77E-05,53,19,39,,,
2.31E-05,73,34,39,,,
1.99E-05,47,33,37,,,
1.92E-05,47,16,39,,,
1.86E-05,90,31,39,,,
1.73E-05,60,2,39,,,
1.79E-05,47,20,38,,,
1.73E-05,66,3,37,,,
1.83E-05,45,34,37,,,
1.79E-05,68,23,37,,,
2.27E-05,62,11,40,,,
1.81E-05,78,13,40,,,
1.83E-05,56,21,40,,,
1.87E-05,71,36,38,,,
1.78E-05,89,19,38,,,
1.73E-05,43,7,38,,,
2.25E-05,79,7,38,,,
2.62E-05,84,24,38,,,
2.14E-05,47,23,38,,,
1.86E-05,55,14,39,,,
1.78E-05,71,10,38,,,
1.75E-05,81,15,37,,,
1.71E-05,71,0,36,,,
1.82E-05,76,29,36,,,
1.75E-05,49,7,36,,,
1.74E-05,73,0,33,,,
1.81E-05,58,24,37,,,
1.83E-05,51,21,38,,,
2.38E-05,63,31,38,,,
1.84E-05,57,28,39,,,
1.81E-05,74,23,39,,,
1.79E-05,49,20,39,,,
1.79E-05,76,24,39,,,
1.74E-05,61,12,39,,,
1.85E-05,72,36,38,,,
1.86E-05,84,36,38,,,
1.94E-05,50,33,37,,,
1.90E-05,45,22,36,,,
1.90E-05,76,25,36,,,
2.09E-05,44,34,38,,,
3.27E-05,81,28,38,,,
1.94E-05,53,31,38,,,
2.06E-05,79,31,40,,,
1.89E-05,65,21,40,,,
1.90E-05,80,23,40,,,
2.00E-05,65,29,39,,,
1.96E-05,52,28,39,,,
1.97E-05,83,36,40,,,
1.87E-05,77,16,40,,,
1.87E-05,84,35,41,,,
1.74E-05,78,8,41,,,
1.72E-05,54,2,41,,,
1.85E-05,66,11,40,,,
1.75E-05,69,1,41,,,
1.81E-05,88,22,41,,,
1.75E-05,52,10,40,,,
1.87E-05,69,34,39,,,
1.80E-05,46,20,39,,,
1.80E-05,48,18,39,,,
1.73E-05,73,5,39,,,
2.41E-05,53,36,41,,,
2.13E-05,82,30,40,,,
2.20E-05,52,13,39,,,
1.81E-05,58,22,38,,,
1.83E-05,44,31,38,,,
2.66E-05,67,28,39,,,
2.00E-05,44,21,39,,,
1.82E-05,43,22,39,,,
1.79E-05,60,18,36,,,
1.75E-05,81,5,37,,,
1.74E-05,84,8,37,,,
1.73E-05,41,3,37,,,
1.84E-05,88,34,38,,,
1.84E-05,45,6,36,,,
1.90E-05,65,25,36,,,
1.90E-05,89,21,36,,,
1.83E-05,65,4,36,,,
1.89E-05,53,23,36,,,
1.82E-05,84,4,35,,,
1.87E-05,66,6,35,,,
1.84E-05,62,7,36,,,
1.91E-05,79,21,34,,,
1.86E-05,89,2,34,,,
2.81E-05,81,13,34,,,
3.11E-05,54,7,33,,,
2.16E-05,59,31,33,,,
1.86E-05,87,2,33,,,
1.89E-05,55,25,33,,,
1.86E-05,90,12,33,,,
3.92E-05,70,12,33,,,
2.61E-05,58,22,34,,,
1.84E-05,77,5,36,,,
1.87E-05,90,16,36,,,
1.92E-05,50,30,40,,,
1.87E-05,58,17,40,,,
1.91E-05,55,24,39,,,
